"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0668243622904943,0.0496183929568338,0.00184363313724395,0.0667790282756994,0.0330926226007559,-0.0593346783372549,0.0496183929568338,-0.0330926226007559,-0.0330926226007559,0.0330926226007559,0.0307063101288964,-0.0330926226007559,0,0.0330926226007559,-0.0529500379511918,-0.0593346783372549,0.0307063101288964,0.0307063101288964
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.0140537252471916,-0.0965744909529049,0.0918270779213086,0.0716818806796797,-0.0115869320783112,-0.0826892531098575,-0.0965744909529049,0.0115869320783112,0.0115869320783112,-0.0115869320783112,-0.0140359116701479,0.0115869320783112,0,-0.0115869320783112,0.00850715607928123,-0.0826892531098575,-0.0140359116701479,-0.0140359116701479
"SNAIL1",-0.0133022719649004,-0.0967933093336489,0.0934181678178878,-0.0258901982277558,-0.0140537252471916,-0.0797473615465217,-0.0967933093336489,0.0140537252471916,0.0140537252471916,-0.0140537252471916,-0.0115869320783112,0.0140537252471916,0,-0.0140537252471916,0.00694261892152373,-0.0797473615465217,-0.0115869320783112,-0.0115869320783112
"MIR340",-0.0330926226007559,-0.0474294528646679,-0.00179740105217692,-0.0655230474144554,-0.0307063101288964,0.0584706230377157,-0.0474294528646679,0.0307063101288964,0.0307063101288964,-0.0307063101288964,-0.0281180748347788,0.0307063101288964,0,-0.0307063101288964,0.0512744857805901,0.0584706230377157,-0.0281180748347788,-0.0281180748347788
"MIR34",0.0140537252471916,0.0965744909529049,-0.0918270779213086,-0.0716818806796797,0.0115869320783112,0.0826892531098575,0.0965744909529049,-0.0115869320783112,-0.0115869320783112,0.0115869320783112,0.0140359116701479,-0.0115869320783112,0,0.0115869320783112,-0.00850715607928123,0.0826892531098575,0.0140359116701479,0.0140359116701479
"MIR200",-0.0616909633762319,0.0359022600890308,-0.204642839666537,-0.108030339903633,-0.0592854650944449,0.175303919700949,0.0359022600890308,0.0592854650944449,0.0592854650944449,-0.0592854650944449,-0.0578885875266553,0.0592854650944449,0,-0.0592854650944449,0.0688004060771456,0.175303919700949,-0.0578885875266553,-0.0578885875266553
"MIR190",0.0115869320783112,0.0955314661810666,-0.194374848621946,-0.0754707846039016,0.0140359116701479,0.0785171540225042,0.0955314661810666,-0.0140359116701479,-0.0140359116701479,0.0140359116701479,0.0126735138499844,-0.0140359116701479,0,0.0140359116701479,-0.00763759086188993,0.0785171540225042,0.0126735138499844,0.0126735138499844
"MIR1199",0.0330926226007559,0.0474294528646679,0.00179740105217692,0.0655230474144554,0.0307063101288964,-0.0584706230377157,0.0474294528646679,-0.0307063101288964,-0.0307063101288964,0.0307063101288964,0.0281180748347788,-0.0307063101288964,0,0.0307063101288964,-0.0512744857805901,-0.0584706230377157,0.0281180748347788,0.0281180748347788
"HAS2",-0.0307063101288964,-0.0458300621563663,-0.00231022156499743,-0.0673615765911141,-0.0281180748347788,0.056718909404814,-0.0458300621563663,0.0281180748347788,0.0281180748347788,-0.0281180748347788,0.063631100082713,0.0281180748347788,0,-0.0281180748347788,0.0565155759273406,0.056718909404814,-0.036368899917287,-0.036368899917287
"HA",-0.0330926226007559,-0.0474294528646679,-0.00179740105217692,-0.0655230474144554,-0.0307063101288964,0.0584706230377157,-0.0474294528646679,0.0307063101288964,0.0307063101288964,-0.0307063101288964,-0.0281180748347788,0.0307063101288964,0,-0.0307063101288964,0.0512744857805901,0.0584706230377157,-0.0281180748347788,-0.0281180748347788
"GRHL2",0.0252325408658876,0.0295916779771798,-0.00264362047490572,-0.0579290824502747,0.0262419840440055,-0.0171609237860029,0.0295916779771798,-0.0262419840440055,-0.0262419840440055,0.0262419840440055,0.0303183066806057,-0.0262419840440055,0,0.0262419840440055,-0.0260019992056137,-0.0171609237860029,0.0303183066806057,-0.0696816933193943
"EXTGFB",0.0140537252471916,0.0965744909529049,-0.0918270779213086,-0.0716818806796797,0.0115869320783112,0.0826892531098575,0.0965744909529049,-0.0115869320783112,-0.0115869320783112,0.0115869320783112,0.0140359116701479,-0.0115869320783112,0,0.0115869320783112,-0.00850715607928123,0.0826892531098575,0.0140359116701479,0.0140359116701479
"ESRP1",0.0307063101288964,0.0458300621563663,0.00231022156499743,0.0673615765911141,0.0281180748347788,-0.056718909404814,0.0458300621563663,-0.0281180748347788,-0.0281180748347788,0.0281180748347788,0.036368899917287,-0.0281180748347788,0,0.0281180748347788,-0.0565155759273406,-0.056718909404814,0.136368899917287,0.036368899917287
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",0.0330926226007559,0.0474294528646679,0.00179740105217692,0.0655230474144554,0.0307063101288964,-0.0584706230377157,0.0474294528646679,-0.0307063101288964,-0.0307063101288964,0.0307063101288964,0.0281180748347788,-0.0307063101288964,0,0.0307063101288964,-0.0512744857805901,-0.0584706230377157,0.0281180748347788,0.0281180748347788
"CD24",-0.0330926226007559,-0.0474294528646679,-0.00179740105217692,-0.0655230474144554,-0.0307063101288964,0.0584706230377157,-0.0474294528646679,0.0307063101288964,0.0307063101288964,-0.0307063101288964,-0.0281180748347788,0.0307063101288964,0,-0.0307063101288964,0.0512744857805901,0.0584706230377157,-0.0281180748347788,-0.0281180748347788
