"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0331047272095166,-0.0791434042095883,0.00258972573367104,0.0700101770904283,-0.0674099664647321,-0.0791434042095883,0.0657442161419289,-0.0674099664647321,-0.0674099664647321,-0.0674099664647321,-0.0670047435921522,-0.0674099664647321,0,-0.0674099664647321,0,-0.0791434042095883,-0.0670047435921522,-0.0670047435921522
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.0911883572488892,-0.142234161562348,0.0982479561106465,0.093887843190168,-0.0907708999433864,-0.142234161562348,-0.052558728010097,-0.0907708999433864,-0.0907708999433864,-0.0907708999433864,-0.0909749815760394,-0.0907708999433864,0,-0.0907708999433864,0,-0.142234161562348,-0.0909749815760394,-0.0909749815760394
"SNAIL1",0.0912876057956069,-0.14240435363626,0.0983275106054755,-0.00601099343097514,-0.0911883572488892,-0.14240435363626,-0.0521940307088571,-0.0911883572488892,-0.0911883572488892,-0.0911883572488892,-0.0907708999433864,-0.0911883572488892,0,-0.0911883572488892,0,-0.14240435363626,-0.0907708999433864,-0.0907708999433864
"MIR340",-0.0674099664647321,0.0788553857764086,-0.00272842198887215,-0.0697111340282273,0.0670047435921522,0.0788553857764086,-0.0655138013953851,0.0670047435921522,0.0670047435921522,0.0670047435921522,0.0651223906509758,0.0670047435921522,0,0.0670047435921522,0,0.0788553857764086,0.0651223906509758,0.0651223906509758
"MIR34",-0.0911883572488892,0.142234161562348,-0.0982479561106465,-0.093887843190168,0.0907708999433864,0.142234161562348,0.052558728010097,0.0907708999433864,0.0907708999433864,0.0907708999433864,0.0909749815760394,0.0907708999433864,0,0.0907708999433864,0,0.142234161562348,0.0909749815760394,0.0909749815760394
"MIR200",-0.0906742768319236,0.201817474956645,-0.206037456554644,-0.119052884693881,0.0904555951699429,0.201817474956645,0.0163833261411164,0.0904555951699429,0.0904555951699429,0.0904555951699429,0.0895517332143143,0.0904555951699429,0,0.0904555951699429,0,0.201817474956645,0.0895517332143143,0.0895517332143143
"MIR190",-0.0907708999433864,0.142234161562348,-0.198247956110647,-0.0941584791847553,0.0909749815760394,0.142234161562348,0.0522979718171375,0.0909749815760394,0.0909749815760394,0.0909749815760394,0.0923373793962029,0.0909749815760394,0,0.0909749815760394,0,0.142234161562348,0.0923373793962029,0.0923373793962029
"MIR1199",0.0674099664647321,-0.0788553857764086,0.00272842198887215,0.0697111340282273,-0.0670047435921522,-0.0788553857764086,0.0655138013953851,-0.0670047435921522,-0.0670047435921522,-0.0670047435921522,-0.0651223906509758,-0.0670047435921522,0,-0.0670047435921522,0,-0.0788553857764086,-0.0651223906509758,-0.0651223906509758
"HAS2",0.0670047435921522,-0.0778652867665076,0.00298483224528241,0.0696311979770683,-0.0651223906509758,-0.0778652867665076,0.0640667336116837,-0.0651223906509758,-0.0651223906509758,-0.0651223906509758,0.0338875103391232,-0.0651223906509758,0,-0.0651223906509758,0,-0.0778652867665076,-0.0661124896608768,-0.0661124896608768
"HA",0.0674099664647321,-0.0788553857764086,0.00272842198887215,0.0697111340282273,-0.0670047435921522,-0.0788553857764086,0.0655138013953851,-0.0670047435921522,-0.0670047435921522,-0.0670047435921522,-0.0651223906509758,-0.0670047435921522,0,-0.0670047435921522,0,-0.0788553857764086,-0.0651223906509758,-0.0651223906509758
"GRHL2",0.145212212572425,-0.174740170677184,0.0102342471371041,0.0938776922287196,-0.144398145493298,-0.174740170677184,0.138311910790069,-0.144398145493298,-0.144398145493298,-0.144398145493298,-0.143270651998068,-0.144398145493298,0,-0.144398145493298,0,-0.174740170677184,-0.143270651998068,-0.0432706519980678
"EXTGFB",-0.0911883572488892,0.142234161562348,-0.0982479561106465,-0.093887843190168,0.0907708999433864,0.142234161562348,0.052558728010097,0.0907708999433864,0.0907708999433864,0.0907708999433864,0.0909749815760394,0.0907708999433864,0,0.0907708999433864,0,0.142234161562348,0.0909749815760394,0.0909749815760394
"ESRP1",-0.0670047435921522,0.0778652867665076,-0.00298483224528241,-0.0696311979770683,0.0651223906509758,0.0778652867665076,-0.0640667336116837,0.0651223906509758,0.0651223906509758,0.0651223906509758,0.0661124896608768,0.0651223906509758,0,0.0651223906509758,0,0.0778652867665076,0.166112489660877,0.0661124896608768
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0674099664647321,0.0788553857764086,-0.00272842198887215,-0.0697111340282273,0.0670047435921522,0.0788553857764086,-0.0655138013953851,0.0670047435921522,0.0670047435921522,0.0670047435921522,0.0651223906509758,0.0670047435921522,0,0.0670047435921522,0,0.0788553857764086,0.0651223906509758,0.0651223906509758
"CD24",0.0674099664647321,-0.0788553857764086,0.00272842198887215,0.0697111340282273,-0.0670047435921522,-0.0788553857764086,0.0655138013953851,-0.0670047435921522,-0.0670047435921522,-0.0670047435921522,-0.0651223906509758,-0.0670047435921522,0,-0.0670047435921522,0,-0.0788553857764086,-0.0651223906509758,-0.0651223906509758
