"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.024559106434715,0.142672978575767,0.142852960347681,0.0518188929564998,0.108703220663505,-0.100888186008556,-0.142672978575767,-0.108703220663505,0.108703220663505,-0.108703220663505,0.127568596620281,-0.108703220663505,0,0.108703220663505,0,-0.142672978575767,-0.127568596620281,0.127568596620281
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.0508670586103827,0.113087999443172,0.130798463877867,-0.0611404714281293,0.0281346107925459,0.081018926018336,-0.113087999443172,-0.0281346107925459,0.0281346107925459,-0.0281346107925459,0.05507338630275,-0.0281346107925459,0,0.0281346107925459,0,-0.113087999443172,-0.05507338630275,0.05507338630275
"SNAIL1",-0.0316837323662313,-0.115738133165516,-0.118467517179379,-0.0107866909390938,-0.0508670586103827,-0.0545419019483141,0.115738133165516,0.0508670586103827,-0.0508670586103827,0.0508670586103827,-0.0281346107925459,0.0508670586103827,0,-0.0508670586103827,0,0.115738133165516,0.0281346107925459,-0.0281346107925459
"MIR340",0.108703220663505,0.144746711294661,0.132450741207598,0.0284935341048252,0.127568596620281,-0.122950397990123,-0.144746711294661,-0.127568596620281,0.127568596620281,-0.127568596620281,0.105450949561457,-0.127568596620281,0,0.127568596620281,0,-0.144746711294661,-0.105450949561457,0.105450949561457
"MIR34",0.0508670586103827,0.113087999443172,0.130798463877867,-0.0611404714281293,0.0281346107925459,0.081018926018336,-0.113087999443172,-0.0281346107925459,0.0281346107925459,-0.0281346107925459,0.05507338630275,-0.0281346107925459,0,0.0281346107925459,0,-0.113087999443172,-0.05507338630275,0.05507338630275
"MIR200",0.125053076065725,0.026068298132932,-0.0744511846405655,0.0894066973816458,0.129895312866724,-0.216782590540512,-0.026068298132932,-0.129895312866724,0.129895312866724,-0.129895312866724,0.124061294789485,-0.129895312866724,0,0.129895312866724,0,-0.026068298132932,-0.124061294789485,0.124061294789485
"MIR190",-0.0281346107925459,-0.116086695662207,-0.216148782349205,0.0942933807650711,-0.05507338630275,-0.0495978047667063,0.116086695662207,0.05507338630275,-0.05507338630275,0.05507338630275,-0.0231932773109244,0.05507338630275,0,-0.05507338630275,0,0.116086695662207,0.0231932773109244,-0.0231932773109244
"MIR1199",0.108703220663505,0.144746711294661,0.132450741207598,0.0284935341048252,0.127568596620281,-0.122950397990123,-0.144746711294661,-0.127568596620281,0.127568596620281,-0.127568596620281,0.105450949561457,-0.127568596620281,0,0.127568596620281,0,-0.144746711294661,-0.105450949561457,0.105450949561457
"HAS2",0.127568596620281,0.141928737189559,0.14450202325888,0.0562313438570235,0.105450949561457,-0.097131662270397,-0.141928737189559,-0.105450949561457,0.105450949561457,-0.105450949561457,0.0321836228287841,-0.105450949561457,0,0.105450949561457,0,-0.141928737189559,-0.132183622828784,0.132183622828784
"HA",-0.108703220663505,-0.144746711294661,-0.132450741207598,-0.0284935341048252,-0.127568596620281,0.122950397990123,0.144746711294661,0.127568596620281,-0.127568596620281,0.127568596620281,-0.105450949561457,0.127568596620281,0,-0.127568596620281,0,0.144746711294661,0.105450949561457,-0.105450949561457
"GRHL2",-0.0108949944266654,-0.0230404826377768,-0.0169743820783296,-0.0331402624670412,-0.0306605431078767,0.0334987497167749,0.0230404826377768,0.0306605431078767,-0.0306605431078767,0.0306605431078767,-0.00733010078350553,0.0306605431078767,0,-0.0306605431078767,0,0.0230404826377768,0.00733010078350553,-0.107330100783506
"EXTGFB",0.0508670586103827,0.113087999443172,0.130798463877867,-0.0611404714281293,0.0281346107925459,0.081018926018336,-0.113087999443172,-0.0281346107925459,0.0281346107925459,-0.0281346107925459,0.05507338630275,-0.0281346107925459,0,0.0281346107925459,0,-0.113087999443172,-0.05507338630275,0.05507338630275
"ESRP1",0.127568596620281,0.141928737189559,0.14450202325888,0.0562313438570235,0.105450949561457,-0.097131662270397,-0.141928737189559,-0.105450949561457,0.105450949561457,-0.105450949561457,0.132183622828784,-0.105450949561457,0,0.105450949561457,0,-0.141928737189559,-0.232183622828784,0.132183622828784
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.108703220663505,-0.144746711294661,-0.132450741207598,-0.0284935341048252,-0.127568596620281,0.122950397990123,0.144746711294661,0.127568596620281,-0.127568596620281,0.127568596620281,-0.105450949561457,0.127568596620281,0,-0.127568596620281,0,0.144746711294661,0.105450949561457,-0.105450949561457
"CD24",-0.108703220663505,-0.144746711294661,-0.132450741207598,-0.0284935341048252,-0.127568596620281,0.122950397990123,0.144746711294661,0.127568596620281,-0.127568596620281,0.127568596620281,-0.105450949561457,0.127568596620281,0,-0.127568596620281,0,0.144746711294661,0.105450949561457,-0.105450949561457
