"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.000340632374012941,0.0397460852632756,0.0654074027262889,0.237527838637785,-0.0990118497777387,-0.0397460852632756,0.0397460852632756,-0.0990118497777387,0.0990118497777387,-0.0990118497777387,0.0999573698137585,-0.0990118497777387,0,-0.0990118497777387,0.0407829516227226,-0.0397460852632756,-0.0999573698137585,0.0999573698137585
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",-0.0905520776962939,-0.153086953022595,-0.164539160085496,0.103803599445536,0.0890720017949656,0.153086953022595,-0.153086953022595,0.0890720017949656,-0.0890720017949656,0.0890720017949656,-0.0884597568970064,0.0890720017949656,0,0.0890720017949656,-0.150609769189479,0.153086953022595,0.0884597568970064,-0.0884597568970064
"SNAIL1",-0.090084191690339,-0.154035166005819,-0.166289358971733,0.0015274234212569,0.0905520776962939,0.154035166005819,-0.154035166005819,0.0905520776962939,-0.0905520776962939,0.0905520776962939,-0.0890720017949656,0.0905520776962939,0,0.0905520776962939,-0.153086953022595,0.154035166005819,0.0890720017949656,-0.0890720017949656
"MIR340",-0.0990118497777387,-0.0407829516227226,-0.061662603835859,-0.235554154427259,0.0999573698137585,0.0407829516227226,-0.0407829516227226,0.0999573698137585,-0.0999573698137585,0.0999573698137585,-0.0961926639314055,0.0999573698137585,0,0.0999573698137585,-0.0370510399700189,0.0407829516227226,0.0961926639314055,-0.0961926639314055
"MIR34",0.0905520776962939,0.153086953022595,0.164539160085496,-0.103803599445536,-0.0890720017949656,-0.153086953022595,0.153086953022595,-0.0890720017949656,0.0890720017949656,-0.0890720017949656,0.0884597568970064,-0.0890720017949656,0,-0.0890720017949656,0.150609769189479,-0.153086953022595,-0.0884597568970064,0.0884597568970064
"MIR200",-0.1225121986616,-0.176667310311055,-0.0907255940853477,-0.0164014865183984,0.122980802222987,0.176667310311055,-0.176667310311055,0.122980802222987,-0.122980802222987,0.122980802222987,-0.119283185131779,0.122980802222987,0,0.122980802222987,-0.172006293361903,0.176667310311055,0.119283185131779,-0.119283185131779
"MIR190",0.0890720017949656,0.150609769189479,0.0590189902341162,-0.103803599445536,-0.0884597568970064,-0.150609769189479,0.150609769189479,-0.0884597568970064,0.0884597568970064,-0.0884597568970064,0.0849175225645814,-0.0884597568970064,0,-0.0884597568970064,0.143827160493827,-0.150609769189479,-0.0849175225645814,0.0849175225645814
"MIR1199",0.0990118497777387,0.0407829516227226,0.061662603835859,0.235554154427259,-0.0999573698137585,-0.0407829516227226,0.0407829516227226,-0.0999573698137585,0.0999573698137585,-0.0999573698137585,0.0961926639314055,-0.0999573698137585,0,-0.0999573698137585,0.0370510399700189,-0.0407829516227226,-0.0961926639314055,0.0961926639314055
"HAS2",0.0999573698137585,0.0370510399700189,0.0614061935794487,0.234355113659873,-0.0961926639314055,-0.0370510399700189,0.0370510399700189,-0.0961926639314055,0.0961926639314055,-0.0961926639314055,-0.00149710504549214,-0.0961926639314055,0,-0.0961926639314055,0.0351642475171887,-0.0370510399700189,-0.0985028949545079,0.0985028949545079
"HA",-0.0990118497777387,-0.0407829516227226,-0.061662603835859,-0.235554154427259,0.0999573698137585,0.0407829516227226,-0.0407829516227226,0.0999573698137585,-0.0999573698137585,0.0999573698137585,-0.0961926639314055,0.0999573698137585,0,0.0999573698137585,-0.0370510399700189,0.0407829516227226,0.0961926639314055,-0.0961926639314055
"GRHL2",-0.00875866108213983,0.0181898567072021,0.00795066687676485,-0.140408605108639,0.0104844832898897,-0.0181898567072021,0.0181898567072021,0.0104844832898897,-0.0104844832898897,0.0104844832898897,-0.00710200280420024,0.0104844832898897,0,0.0104844832898897,0.0204244935787104,-0.0181898567072021,0.00710200280420024,-0.1071020028042
"EXTGFB",0.0905520776962939,0.153086953022595,0.164539160085496,-0.103803599445536,-0.0890720017949656,-0.153086953022595,0.153086953022595,-0.0890720017949656,0.0890720017949656,-0.0890720017949656,0.0884597568970064,-0.0890720017949656,0,-0.0890720017949656,0.150609769189479,-0.153086953022595,-0.0884597568970064,0.0884597568970064
"ESRP1",-0.0999573698137585,-0.0370510399700189,-0.0614061935794487,-0.234355113659873,0.0961926639314055,0.0370510399700189,-0.0370510399700189,0.0961926639314055,-0.0961926639314055,0.0961926639314055,-0.0985028949545079,0.0961926639314055,0,0.0961926639314055,-0.0351642475171887,0.0370510399700189,0.198502894954508,-0.0985028949545079
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0990118497777387,-0.0407829516227226,-0.061662603835859,-0.235554154427259,0.0999573698137585,0.0407829516227226,-0.0407829516227226,0.0999573698137585,-0.0999573698137585,0.0999573698137585,-0.0961926639314055,0.0999573698137585,0,0.0999573698137585,-0.0370510399700189,0.0407829516227226,0.0961926639314055,-0.0961926639314055
"CD24",-0.0990118497777387,-0.0407829516227226,-0.061662603835859,-0.235554154427259,0.0999573698137585,0.0407829516227226,-0.0407829516227226,0.0999573698137585,-0.0999573698137585,0.0999573698137585,-0.0961926639314055,0.0999573698137585,0,0.0999573698137585,-0.0370510399700189,0.0407829516227226,0.0961926639314055,-0.0961926639314055
