"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0156206782035,0.150256219235621,0.135691297336118,-0.14791714062505,0.11543804496425,-0.150256219235621,-0.150256219235621,-0.11543804496425,-0.11543804496425,0.11543804496425,-0.115212921146151,-0.11543804496425,0,-0.11543804496425,0,0.150256219235621,0.115212921146151,0.115212921146151
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.122892744725951,0.16987098289385,0.186721514386857,-0.11695764551378,0.122475287420448,-0.16987098289385,-0.16987098289385,-0.122475287420448,-0.122475287420448,0.122475287420448,-0.122271205787795,-0.122475287420448,0,-0.122475287420448,0,0.16987098289385,0.122271205787795,0.122271205787795
"SNAIL1",-0.122991993272669,-0.170089801274594,-0.187437504840317,0.0176152074763494,-0.122892744725951,0.170089801274594,0.170089801274594,0.122892744725951,0.122892744725951,-0.122892744725951,0.122475287420448,0.122892744725951,0,0.122892744725951,0,-0.170089801274594,-0.122475287420448,-0.122475287420448
"MIR340",-0.11543804496425,-0.149795389742533,-0.135090280230246,0.147797523400169,-0.115212921146151,0.149795389742533,0.149795389742533,0.115212921146151,0.115212921146151,-0.115212921146151,0.114507038793209,0.115212921146151,0,0.115212921146151,0,-0.149795389742533,-0.114507038793209,-0.114507038793209
"MIR34",-0.122892744725951,-0.16987098289385,-0.186721514386857,0.11695764551378,-0.122475287420448,0.16987098289385,0.16987098289385,0.122475287420448,0.122475287420448,-0.122475287420448,0.122271205787795,0.122475287420448,0,0.122475287420448,0,-0.16987098289385,-0.122271205787795,-0.122271205787795
"MIR200",-0.137301804555342,-0.258278288613595,-0.350647105406849,0.174273440332778,-0.137083122893361,0.258278288613595,0.258278288613595,0.137083122893361,0.137083122893361,-0.137083122893361,0.136179260937732,0.137083122893361,0,0.137083122893361,0,-0.258278288613595,-0.136179260937732,-0.136179260937732
"MIR190",-0.122475287420448,-0.168827958122012,-0.285872257486645,0.117092963511073,-0.122271205787795,0.168827958122012,0.168827958122012,0.122271205787795,0.122271205787795,-0.122271205787795,0.120908807967631,0.122271205787795,0,0.122271205787795,0,-0.168827958122012,-0.120908807967631,-0.120908807967631
"MIR1199",-0.11543804496425,-0.149795389742533,-0.135090280230246,0.147797523400169,-0.115212921146151,0.149795389742533,0.149795389742533,0.115212921146151,0.115212921146151,-0.115212921146151,0.114507038793209,0.115212921146151,0,0.115212921146151,0,-0.149795389742533,-0.114507038793209,-0.114507038793209
"HAS2",-0.115212921146151,-0.149262259506433,-0.134064639204605,0.146918226837419,-0.114507038793209,0.149262259506433,0.149262259506433,0.114507038793209,0.114507038793209,-0.114507038793209,0.014177005789909,0.114507038793209,0,0.114507038793209,0,-0.149262259506433,-0.114177005789909,-0.114177005789909
"HA",0.11543804496425,0.149795389742533,0.135090280230246,-0.147797523400169,0.115212921146151,-0.149795389742533,-0.149795389742533,-0.115212921146151,-0.115212921146151,0.115212921146151,-0.114507038793209,-0.115212921146151,0,-0.115212921146151,0,0.149795389742533,0.114507038793209,0.114507038793209
"GRHL2",0.00741881163529473,0.0245584535945982,0.0167129647096712,-0.0979178714784888,0.00745137431845982,-0.0245584535945982,-0.0245584535945982,-0.00745137431845982,-0.00745137431845982,0.00745137431845982,-0.00701772297414066,-0.00745137431845982,0,-0.00745137431845982,0,0.0245584535945982,0.00701772297414066,-0.0929822770258593
"EXTGFB",0.122892744725951,0.16987098289385,0.186721514386857,-0.11695764551378,0.122475287420448,-0.16987098289385,-0.16987098289385,-0.122475287420448,-0.122475287420448,0.122475287420448,-0.122271205787795,-0.122475287420448,0,-0.122475287420448,0,0.16987098289385,0.122271205787795,0.122271205787795
"ESRP1",0.115212921146151,0.149262259506433,0.134064639204605,-0.146918226837419,0.114507038793209,-0.149262259506433,-0.149262259506433,-0.114507038793209,-0.114507038793209,0.114507038793209,-0.114177005789909,-0.114507038793209,0,-0.114507038793209,0,0.149262259506433,0.014177005789909,0.114177005789909
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.11543804496425,-0.149795389742533,-0.135090280230246,0.147797523400169,-0.115212921146151,0.149795389742533,0.149795389742533,0.115212921146151,0.115212921146151,-0.115212921146151,0.114507038793209,0.115212921146151,0,0.115212921146151,0,-0.149795389742533,-0.114507038793209,-0.114507038793209
"CD24",0.11543804496425,0.149795389742533,0.135090280230246,-0.147797523400169,0.115212921146151,-0.149795389742533,-0.149795389742533,-0.115212921146151,-0.115212921146151,0.115212921146151,-0.114507038793209,-0.115212921146151,0,-0.115212921146151,0,0.149795389742533,0.114507038793209,0.114507038793209
