"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0451758197740714,-0.202344270826731,-0.178795742215373,0.244850697047061,-0.14572371949182,-0.0479937880726883,-0.202344270826731,0.14572371949182,-0.14572371949182,0.14572371949182,-0.14513839756476,0.14572371949182,0,0.14572371949182,-0.0768008174138876,0.0479937880726883,-0.14513839756476,-0.14513839756476
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.0951769515244106,0.0873139048183321,0.0598937469049455,-0.162179750367448,-0.0952149021885472,-0.181968614080135,0.0873139048183321,0.0952149021885472,-0.0952149021885472,0.0952149021885472,-0.0960312287191595,0.0952149021885472,0,0.0952149021885472,0.134771637545713,0.181968614080135,-0.0960312287191595,-0.0960312287191595
"SNAIL1",-0.0954746971645637,-0.0872895916649161,-0.0604506283687482,0.0619268419203059,0.0951769515244106,0.181895674619887,-0.0872895916649161,-0.0951769515244106,0.0951769515244106,-0.0951769515244106,0.0952149021885472,-0.0951769515244106,0,-0.0951769515244106,-0.134641259449233,-0.181895674619887,0.0952149021885472,0.0952149021885472
"MIR340",-0.14572371949182,0.201595422900464,0.177917332599099,-0.244970314271942,0.14513839756476,0.0479937880726883,0.201595422900464,-0.14513839756476,0.14513839756476,-0.14513839756476,0.144432515211819,-0.14513839756476,0,-0.14513839756476,0.0762676871777871,-0.0479937880726883,0.144432515211819,0.144432515211819
"MIR34",0.0951769515244106,0.0873139048183321,0.0598937469049455,-0.162179750367448,-0.0952149021885472,-0.181968614080135,0.0873139048183321,0.0952149021885472,-0.0952149021885472,0.0952149021885472,-0.0960312287191595,0.0952149021885472,0,0.0952149021885472,0.134771637545713,0.181968614080135,-0.0960312287191595,-0.0960312287191595
"MIR200",-0.110622635363701,0.262524946065297,0.34148807752306,-0.275310934701583,0.109966590377759,-0.0590808123185033,0.262524946065297,-0.109966590377759,0.109966590377759,-0.109966590377759,0.110048759646453,-0.109966590377759,0,-0.109966590377759,0.160643980886815,0.0590808123185033,0.110048759646453,0.110048759646453
"MIR190",-0.0952149021885472,-0.0869227705288927,-0.161804574930423,0.162315068364742,0.0960312287191595,0.182620504562534,-0.0869227705288927,-0.0960312287191595,0.0960312287191595,-0.0960312287191595,0.0941238717709306,-0.0960312287191595,0,-0.0960312287191595,-0.135467289719626,-0.182620504562534,0.0941238717709306,0.0941238717709306
"MIR1199",0.14572371949182,-0.201595422900464,-0.177917332599099,0.244970314271942,-0.14513839756476,-0.0479937880726883,-0.201595422900464,0.14513839756476,-0.14513839756476,0.14513839756476,-0.144432515211819,0.14513839756476,0,0.14513839756476,-0.0762676871777871,0.0479937880726883,-0.144432515211819,-0.144432515211819
"HAS2",0.14513839756476,-0.200605323890563,-0.179968614650381,0.243931145606874,-0.144432515211819,-0.0480699495349884,-0.200605323890563,0.144432515211819,-0.144432515211819,0.144432515211819,-0.247402812241522,0.144432515211819,0,0.144432515211819,-0.075848399966047,0.0480699495349884,-0.147402812241522,-0.147402812241522
"HA",-0.14572371949182,0.201595422900464,0.177917332599099,-0.244970314271942,0.14513839756476,0.0479937880726883,0.201595422900464,-0.14513839756476,0.14513839756476,-0.14513839756476,0.144432515211819,-0.14513839756476,0,-0.14513839756476,0.0762676871777871,-0.0479937880726883,0.144432515211819,0.144432515211819
"GRHL2",-0.0145015760116741,0.0439507974065826,0.0299798256431729,-0.144226531685765,0.0142736372295185,-0.0257232949725108,0.0439507974065826,-0.0142736372295185,0.0142736372295185,-0.0142736372295185,0.012972683196561,-0.0142736372295185,0,-0.0142736372295185,0.0345577165806081,0.0257232949725108,0.012972683196561,-0.087027316803439
"EXTGFB",0.0951769515244106,0.0873139048183321,0.0598937469049455,-0.162179750367448,-0.0952149021885472,-0.181968614080135,0.0873139048183321,0.0952149021885472,-0.0952149021885472,0.0952149021885472,-0.0960312287191595,0.0952149021885472,0,0.0952149021885472,0.134771637545713,0.181968614080135,-0.0960312287191595,-0.0960312287191595
"ESRP1",0.14513839756476,-0.200605323890563,-0.179968614650381,0.243931145606874,-0.144432515211819,-0.0480699495349884,-0.200605323890563,0.144432515211819,-0.144432515211819,0.144432515211819,-0.147402812241522,0.144432515211819,0,0.144432515211819,-0.075848399966047,0.0480699495349884,-0.247402812241522,-0.147402812241522
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.14572371949182,0.201595422900464,0.177917332599099,-0.244970314271942,0.14513839756476,0.0479937880726883,0.201595422900464,-0.14513839756476,0.14513839756476,-0.14513839756476,0.144432515211819,-0.14513839756476,0,-0.14513839756476,0.0762676871777871,-0.0479937880726883,0.144432515211819,0.144432515211819
"CD24",-0.14572371949182,0.201595422900464,0.177917332599099,-0.244970314271942,0.14513839756476,0.0479937880726883,0.201595422900464,-0.14513839756476,0.14513839756476,-0.14513839756476,0.144432515211819,-0.14513839756476,0,-0.14513839756476,0.0762676871777871,-0.0479937880726883,0.144432515211819,0.144432515211819
