"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.037822236138734,-0.0761392114865384,-0.0702938726083837,-0.0369816296648731,-0.0614638339260178,-0.0829468542365113,0.0761392114865384,0.0614638339260178,0.0614638339260178,-0.0614638339260178,0.0616889577441177,0.0614638339260178,0,0.0614638339260178,0.0796870420781147,-0.0829468542365113,-0.0616889577441177,-0.0616889577441177
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.0704123559319912,-0.0909299271085188,-0.0712815193450566,-0.137241513283493,0.0711334185505871,0.15726093276564,0.0909299271085188,-0.0711334185505871,-0.0711334185505871,0.0711334185505871,-0.0721538267138524,-0.0711334185505871,0,-0.0711334185505871,-0.0338173933109596,0.15726093276564,0.0721538267138524,0.0721538267138524
"SNAIL1",0.0701146102918381,0.0908083613414388,0.0715201828295434,0.0377979118672058,-0.0704123559319912,-0.156215467168752,-0.0908083613414388,0.0704123559319912,0.0704123559319912,-0.0704123559319912,0.0711334185505871,0.0704123559319912,0,0.0704123559319912,0.0331655028285607,-0.156215467168752,-0.0711334185505871,-0.0711334185505871
"MIR340",-0.0614638339260178,0.0769456630994416,0.0702476405233167,0.0376395244017152,0.0616889577441177,0.0824284210567878,-0.0769456630994416,-0.0616889577441177,-0.0616889577441177,0.0616889577441177,-0.0621595459794118,-0.0616889577441177,0,-0.0616889577441177,-0.079991687927315,0.0824284210567878,0.0621595459794118,0.0621595459794118
"MIR34",0.0704123559319912,0.0909299271085188,0.0712815193450566,0.137241513283493,-0.0711334185505871,-0.15726093276564,-0.0909299271085188,0.0711334185505871,0.0711334185505871,-0.0711334185505871,0.0721538267138524,0.0711334185505871,0,0.0711334185505871,0.0338173933109596,-0.15726093276564,-0.0721538267138524,-0.0721538267138524
"MIR200",0.0867010736385453,0.0105438494210762,-0.0881822563434714,0.114190031617929,-0.0871696771999323,-0.20403628382948,-0.0105438494210762,0.0871696771999323,0.0871696771999323,-0.0871696771999323,0.0865944923190778,0.0871696771999323,0,0.0871696771999323,0.0963754544923376,-0.20403628382948,-0.0865944923190778,-0.0865944923190778
"MIR190",0.0711334185505871,0.0911906833014784,-0.0263830241793596,0.138865329251017,-0.0721538267138524,-0.158825469923398,-0.0911906833014784,0.0721538267138524,0.0721538267138524,-0.0721538267138524,0.0691565515094927,0.0721538267138524,0,0.0721538267138524,0.0319043498326987,-0.158825469923398,-0.0691565515094927,-0.0691565515094927
"MIR1199",-0.0614638339260178,0.0769456630994416,0.0702476405233167,0.0376395244017152,0.0616889577441177,0.0824284210567878,-0.0769456630994416,-0.0616889577441177,-0.0616889577441177,0.0616889577441177,-0.0621595459794118,-0.0616889577441177,0,-0.0616889577441177,-0.079991687927315,0.0824284210567878,0.0621595459794118,0.0621595459794118
"HAS2",0.0616889577441177,-0.0765648557879412,-0.0720425123181885,-0.0394780535783738,-0.0621595459794118,-0.0834185200666888,0.0765648557879412,0.0621595459794118,0.0621595459794118,-0.0621595459794118,-0.0342100909842845,0.0621595459794118,0,0.0621595459794118,0.0822977675918852,-0.0834185200666888,-0.0657899090157155,-0.0657899090157155
"HA",-0.0614638339260178,0.0769456630994416,0.0702476405233167,0.0376395244017152,0.0616889577441177,0.0824284210567878,-0.0769456630994416,-0.0616889577441177,-0.0616889577441177,0.0616889577441177,-0.0621595459794118,-0.0616889577441177,0,-0.0616889577441177,-0.079991687927315,0.0824284210567878,0.0621595459794118,0.0621595459794118
"GRHL2",-0.17991886798155,0.194880547766608,0.188598144576644,0.0624638870932898,0.180211932130036,0.178595114104894,-0.194880547766608,-0.180211932130036,-0.180211932130036,0.180211932130036,-0.181512886162993,-0.180211932130036,0,-0.180211932130036,-0.187575819762567,0.178595114104894,0.181512886162993,0.0815128861629935
"EXTGFB",-0.0704123559319912,-0.0909299271085188,-0.0712815193450566,-0.137241513283493,0.0711334185505871,0.15726093276564,0.0909299271085188,-0.0711334185505871,-0.0711334185505871,0.0711334185505871,-0.0721538267138524,-0.0711334185505871,0,-0.0711334185505871,-0.0338173933109596,0.15726093276564,0.0721538267138524,0.0721538267138524
"ESRP1",0.0616889577441177,-0.0765648557879412,-0.0720425123181885,-0.0394780535783738,-0.0621595459794118,-0.0834185200666888,0.0765648557879412,0.0621595459794118,0.0621595459794118,-0.0621595459794118,0.0657899090157155,0.0621595459794118,0,0.0621595459794118,0.0822977675918852,-0.0834185200666888,-0.165789909015715,-0.0657899090157155
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0614638339260178,0.0769456630994416,0.0702476405233167,0.0376395244017152,0.0616889577441177,0.0824284210567878,-0.0769456630994416,-0.0616889577441177,-0.0616889577441177,0.0616889577441177,-0.0621595459794118,-0.0616889577441177,0,-0.0616889577441177,-0.079991687927315,0.0824284210567878,0.0621595459794118,0.0621595459794118
"CD24",0.0614638339260178,-0.0769456630994416,-0.0702476405233167,-0.0376395244017152,-0.0616889577441177,-0.0824284210567878,0.0769456630994416,0.0616889577441177,0.0616889577441177,-0.0616889577441177,0.0621595459794118,0.0616889577441177,0,0.0616889577441177,0.079991687927315,-0.0824284210567878,-0.0621595459794118,-0.0621595459794118
