"","SNAIL1","CD44s","MIR340","MIR190","HAS2","MIR200","TGFB","ZEB1","MIR34","MIR1199","GRHL2","ESRP1","HA","CD24"
"MIR1199",0.134784588250412,0.0977659304391978,0.0977659304391978,0.0977659304391978,0.0977659304391978,0.0638780298368655,0.0205235636103803,-0.0977209056755778,-0.0638780298368655,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978
"HA",0.134784588250412,0.0977659304391978,0.0977659304391978,0.0977659304391978,0.0977659304391978,0.0638780298368655,0.0205235636103803,-0.0977209056755778,-0.0638780298368655,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978
"CD44s",0.134784588250412,0.0977659304391978,0.0977659304391978,0.0977659304391978,0.0977659304391978,0.0638780298368655,0.0205235636103803,-0.0977209056755778,-0.0638780298368655,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978
"CD24",0.134784588250412,0.0977659304391978,0.0977659304391978,0.0977659304391978,0.0977659304391978,0.0638780298368655,0.0205235636103803,-0.0977209056755778,-0.0638780298368655,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978
"TGFB",0.236588075176426,0.0866618497232378,0.0868659313558908,0.0868659313558908,0.0868659313558908,-0.122620504562534,0.142688939168501,-0.0869038820200275,0.122620504562534,-0.0868659313558908,-0.0868659313558908,-0.0868659313558908,-0.0866618497232378,-0.0866618497232378
"MIR190",0.23672339317372,0.0869343292872705,0.0866618497232378,0.0866618497232378,0.0866618497232378,-0.122620504562534,0.242476624943447,-0.0868659313558908,0.122620504562534,-0.0866618497232378,-0.0866618497232378,-0.0866618497232378,-0.0869343292872705,-0.0869343292872705
"SNAIL1",0.136588075176426,0.0868659313558908,0.0869038820200275,0.0869038820200275,0.0869038820200275,-0.122547565102286,0.142768493663329,-0.086861346928577,0.122547565102286,-0.0869038820200275,-0.0869038820200275,-0.0869038820200275,-0.0868659313558908,-0.0868659313558908
"MIR200",-0.0922798330654296,0.0818345101719291,0.0819166794406226,0.0819166794406226,0.0819166794406226,0.182308958990934,-0.196629210112022,-0.0818229587283452,-0.182308958990934,-0.0819166794406226,-0.0819166794406226,-0.0819166794406226,-0.0818345101719291,-0.0818345101719291
"ZEB1",-0.134844396862852,-0.0977659304391978,-0.0977209056755778,-0.0977209056755778,-0.0977209056755778,-0.0638204261502295,-0.0204773315253133,-0.00226249130267227,0.0638204261502295,0.0977209056755778,0.0977209056755778,0.0977209056755778,0.0977659304391978,0.0977659304391978
"GRHL2",-0.091596275511258,0.000847226284251225,0.000933956553115058,0.000933956553115058,0.000933956553115058,0.0179405534224811,-0.00956666757906485,-0.000966519236280151,-0.0179405534224811,-0.000933956553115058,-0.000933956553115058,-0.000933956553115058,-0.000847226284251225,0.0991527737157488
"MIR34",-0.236588075176426,-0.0866618497232378,-0.0868659313558908,-0.0868659313558908,-0.0868659313558908,0.122620504562534,-0.142688939168501,0.0869038820200275,-0.122620504562534,0.0868659313558908,0.0868659313558908,0.0868659313558908,0.0866618497232378,0.0866618497232378
"MIR340",-0.134784588250412,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978,-0.0638780298368655,-0.0205235636103803,0.0977209056755778,0.0638780298368655,0.0977659304391978,0.0977659304391978,0.0977659304391978,0.0977659304391978,0.0977659304391978
"HAS2",-0.134704652199253,-0.0974358974358974,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978,-0.0638018683745654,-0.0205235636103803,0.0977659304391978,0.0638018683745654,0.0977659304391978,0.0977659304391978,0.0977659304391978,-0.00256410256410256,0.0974358974358974
"ESRP1",-0.134704652199253,-0.197435897435897,-0.0977659304391978,-0.0977659304391978,-0.0977659304391978,-0.0638018683745654,-0.0205235636103803,0.0977659304391978,0.0638018683745654,0.0977659304391978,0.0977659304391978,0.0977659304391978,0.0974358974358974,0.0974358974358974
