"","HA","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TGFB","ZEB1","MIR200","MIR340","SNAIL1","CD44s","CD24","MIR34"
"MIR200",0.122293740439378,0.123361940932394,0.123361940932394,0.123361940932394,0.123361940932394,0.123361940932394,-0.207786369279776,-0.122518454521897,-0.00389724738351225,-0.123361940932394,-0.130242600131335,-0.122293740439378,-0.122293740439378,-0.229402954564252
"HAS2",0.221149710504549,0.104978093342833,0.104978093342833,0.104978093342833,0.104978093342833,0.104978093342833,-0.00929433353776081,-0.116978093342833,-0.105330953421963,-0.104978093342833,-0.112559182457522,-0.121149710504549,-0.121149710504549,-0.130586073194286
"MIR1199",0.104978093342833,0.116978093342833,0.116978093342833,0.116978093342833,0.116978093342833,0.116978093342833,-0.00570458994801722,-0.107477868219015,-0.108453573376267,-0.116978093342833,-0.102727048164956,-0.104978093342833,-0.104978093342833,-0.143000391549199
"HA",0.104978093342833,0.116978093342833,0.116978093342833,0.116978093342833,0.116978093342833,0.116978093342833,-0.00570458994801722,-0.107477868219015,-0.108453573376267,-0.116978093342833,-0.102727048164956,-0.104978093342833,-0.104978093342833,-0.143000391549199
"CD44s",0.104978093342833,0.116978093342833,0.116978093342833,0.116978093342833,0.116978093342833,0.116978093342833,-0.00570458994801722,-0.107477868219015,-0.108453573376267,-0.116978093342833,-0.102727048164956,-0.104978093342833,-0.104978093342833,-0.143000391549199
"CD24",0.104978093342833,0.116978093342833,0.116978093342833,0.116978093342833,0.116978093342833,0.116978093342833,-0.00570458994801722,-0.107477868219015,-0.108453573376267,-0.116978093342833,-0.102727048164956,-0.104978093342833,-0.104978093342833,-0.143000391549199
"TGFB",0.0494483158083094,0.0306728056042278,0.0306728056042278,0.0306728056042278,0.0306728056042278,0.0306728056042278,0.0892627711557353,-0.0451320086402809,-0.107513644433637,-0.0306728056042278,0.0609845387609106,-0.0494483158083094,-0.0494483158083094,0.0722150898161201
"MIR34",0.0494483158083094,0.0306728056042278,0.0306728056042278,0.0306728056042278,0.0306728056042278,0.0306728056042278,0.0892627711557353,-0.0451320086402809,-0.107513644433637,-0.0306728056042278,0.0609845387609106,-0.0494483158083094,-0.0494483158083094,0.0722150898161201
"SNAIL1",0.0306728056042278,0.0451320086402809,0.0451320086402809,0.0451320086402809,0.0451320086402809,0.0451320086402809,0.093558713876499,-0.0339452795888134,-0.111330809519949,-0.0451320086402809,-0.0272805092916944,-0.0306728056042278,-0.0306728056042278,0.0575056319994413
"GRHL2",0.00889614791397325,0.0219924185124121,0.0219924185124121,0.0219924185124121,0.0219924185124121,0.0219924185124121,-0.0040624282565279,-0.0118002986817381,-0.00875806907413558,-0.0219924185124121,-0.0734356365961674,-0.00889614791397325,-0.108896147913973,-0.0358104691835055
"ZEB1",-0.116978093342833,-0.107477868219015,-0.107477868219015,-0.107477868219015,-0.107477868219015,-0.107477868219015,0.00852474713710645,0.0147333887237468,0.105919011164285,0.107477868219015,0.11044235916974,0.116978093342833,0.116978093342833,0.133380575880996
"MIR190",-0.0251976346093993,-0.0494483158083094,-0.0494483158083094,-0.0494483158083094,-0.0494483158083094,-0.0494483158083094,-0.194782941007115,0.0306728056042278,0.112468012099869,0.0494483158083094,-0.0761401544577983,0.0251976346093993,0.0251976346093993,-0.0531798877300706
"MIR340",-0.104978093342833,-0.116978093342833,-0.116978093342833,-0.116978093342833,-0.116978093342833,-0.116978093342833,0.00570458994801722,0.107477868219015,0.108453573376267,0.116978093342833,0.102727048164956,0.104978093342833,0.104978093342833,0.143000391549199
"ESRP1",-0.121149710504549,-0.104978093342833,-0.104978093342833,-0.104978093342833,-0.104978093342833,-0.104978093342833,0.00929433353776081,0.116978093342833,0.105330953421963,0.104978093342833,0.112559182457522,0.0211497105045492,0.121149710504549,0.130586073194286
