"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0849877703962609,0.0499849430228324,-0.000622562184591048,-0.0606626965433753,-0.0132689123199935,-0.0499849430228324,-0.0549827372347463,-0.0132689123199935,-0.0132689123199935,0.0132689123199935,-0.0163756210097728,-0.0132689123199935,0,-0.0132689123199935,-0.0544711673177294,0.0549827372347463,0.0163756210097728,0.0163756210097728
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.00854213793962498,-0.0548825088575592,-0.0664406900309825,-0.000894223074681244,0.0056958381293783,0.0548825088575592,-0.0477384582459962,0.0056958381293783,0.0056958381293783,-0.0056958381293783,0.011206042211011,0.0056958381293783,0,0.0056958381293783,0.00709223391073587,0.0477384582459962,-0.011206042211011,-0.011206042211011
"SNAIL1",0.00676984246252304,0.0558307218407831,0.067474898463759,-0.0970825093481817,-0.00854213793962498,-0.0558307218407831,0.0450396982168204,-0.00854213793962498,-0.00854213793962498,0.00854213793962498,-0.0056958381293783,-0.00854213793962498,0,-0.00854213793962498,-0.00357202530578151,-0.0450396982168204,0.0056958381293783,0.0056958381293783
"MIR340",0.0132689123199935,0.0509066020090075,0.000163383261548573,-0.0595263329070117,-0.0163756210097728,-0.0509066020090075,-0.0580357326264514,-0.0163756210097728,-0.0163756210097728,0.0163756210097728,-0.0147285621862434,-0.0163756210097728,0,-0.0163756210097728,-0.0534049068455284,0.0580357326264514,0.0147285621862434,0.0147285621862434
"MIR34",0.00854213793962498,0.0548825088575592,0.0664406900309825,0.000894223074681244,-0.0056958381293783,-0.0548825088575592,0.0477384582459962,-0.0056958381293783,-0.0056958381293783,0.0056958381293783,-0.011206042211011,-0.0056958381293783,0,-0.0056958381293783,-0.00709223391073587,-0.0477384582459962,0.011206042211011,0.011206042211011
"MIR200",-0.030408433852093,-0.151811989962975,0.00862942204971252,-0.0248315417158877,0.034250983055467,0.151811989962975,-0.0123314746207196,0.034250983055467,0.034250983055467,-0.034250983055467,0.0313750586511942,0.034250983055467,0,0.034250983055467,0.0678864441118057,0.0123314746207196,-0.0313750586511942,-0.0313750586511942
"MIR190",0.0056958381293783,0.0567078022082763,-0.0318607961685929,0.00332994702596676,-0.011206042211011,-0.0567078022082763,0.0425233343868045,-0.011206042211011,-0.011206042211011,0.011206042211011,-0.00548397136632431,-0.011206042211011,0,-0.011206042211011,-0.0034400599976924,-0.0425233343868045,0.00548397136632431,0.00548397136632431
"MIR1199",0.0132689123199935,0.0509066020090075,0.000163383261548573,-0.0595263329070117,-0.0163756210097728,-0.0509066020090075,-0.0580357326264514,-0.0163756210097728,-0.0163756210097728,0.0163756210097728,-0.0147285621862434,-0.0163756210097728,0,-0.0163756210097728,-0.0534049068455284,0.0580357326264514,0.0147285621862434,0.0147285621862434
"HAS2",-0.0163756210097728,-0.0511350863959077,0.000349437251271939,0.0624839667998974,0.0147285621862434,0.0511350863959077,0.055674727295149,0.0147285621862434,0.0147285621862434,-0.0147285621862434,-0.079660876757651,0.0147285621862434,0,0.0147285621862434,0.0569688481453187,-0.055674727295149,-0.0203391232423491,-0.0203391232423491
"HA",0.0132689123199935,0.0509066020090075,0.000163383261548573,-0.0595263329070117,-0.0163756210097728,-0.0509066020090075,-0.0580357326264514,-0.0163756210097728,-0.0163756210097728,0.0163756210097728,-0.0147285621862434,-0.0163756210097728,0,-0.0163756210097728,-0.0534049068455284,0.0580357326264514,0.0147285621862434,0.0147285621862434
"GRHL2",0.027397699514409,0.0216366450762224,0.00179454864278304,0.0547394152500469,-0.0246949968117062,-0.0216366450762224,-0.0102137857834432,-0.0246949968117062,-0.0246949968117062,0.0246949968117062,-0.0273836351464851,-0.0246949968117062,0,-0.0246949968117062,-0.0176570590052518,0.0102137857834432,0.0273836351464851,-0.0726163648535149
"EXTGFB",-0.00854213793962498,-0.0548825088575592,-0.0664406900309825,-0.000894223074681244,0.0056958381293783,0.0548825088575592,-0.0477384582459962,0.0056958381293783,0.0056958381293783,-0.0056958381293783,0.011206042211011,0.0056958381293783,0,0.0056958381293783,0.00709223391073587,0.0477384582459962,-0.011206042211011,-0.011206042211011
"ESRP1",0.0163756210097728,0.0511350863959077,-0.000349437251271939,-0.0624839667998974,-0.0147285621862434,-0.0511350863959077,-0.055674727295149,-0.0147285621862434,-0.0147285621862434,0.0147285621862434,-0.0203391232423491,-0.0147285621862434,0,-0.0147285621862434,-0.0569688481453187,0.055674727295149,-0.079660876757651,0.0203391232423491
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0132689123199935,-0.0509066020090075,-0.000163383261548573,0.0595263329070117,0.0163756210097728,0.0509066020090075,0.0580357326264514,0.0163756210097728,0.0163756210097728,-0.0163756210097728,0.0147285621862434,0.0163756210097728,0,0.0163756210097728,0.0534049068455284,-0.0580357326264514,-0.0147285621862434,-0.0147285621862434
"CD24",-0.0132689123199935,-0.0509066020090075,-0.000163383261548573,0.0595263329070117,0.0163756210097728,0.0509066020090075,0.0580357326264514,0.0163756210097728,0.0163756210097728,-0.0163756210097728,0.0147285621862434,0.0163756210097728,0,0.0163756210097728,0.0534049068455284,-0.0580357326264514,-0.0147285621862434,-0.0147285621862434
