"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0026776945883661,-0.0646600961309955,0.0782259532316734,-0.131158465898042,0.0972060842593842,0.131877848271954,-0.0646600961309955,0.0972060842593842,-0.0972060842593842,-0.0972060842593842,0.0973411585502442,0.0972060842593842,0,0.0972060842593842,0.0335224705405253,-0.131877848271954,-0.0973411585502442,-0.0973411585502442
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.0239399852994434,0.0770095771041462,-0.0698990398428931,-0.0613719681590039,0.0188166456409994,0.098721897151767,0.0770095771041462,0.0188166456409994,-0.0188166456409994,-0.0188166456409994,0.0261635844165096,0.0188166456409994,0,0.0188166456409994,0.0830417475582043,-0.098721897151767,-0.0261635844165096,-0.0261635844165096
"SNAIL1",-0.0203812159814227,-0.0703720862215787,0.0785704797792495,-0.032102993904729,-0.0239399852994434,-0.098648957691519,-0.0703720862215787,-0.0239399852994434,0.0239399852994434,0.0239399852994434,-0.0188166456409994,-0.0239399852994434,0,-0.0239399852994434,-0.0878657371279566,0.098648957691519,0.0188166456409994,0.0188166456409994
"MIR340",0.0972060842593842,-0.0648329071909033,0.0779023286362042,-0.131337891735362,0.0973411585502442,0.131877848271954,-0.0648329071909033,0.0973411585502442,-0.0973411585502442,-0.0973411585502442,0.0971058644325971,0.0973411585502442,0,0.0973411585502442,0.0337509549274255,-0.131877848271954,-0.0971058644325971,-0.0971058644325971
"MIR34",0.0239399852994434,0.0770095771041462,-0.0698990398428931,-0.0613719681590039,0.0188166456409994,0.098721897151767,0.0770095771041462,0.0188166456409994,-0.0188166456409994,-0.0188166456409994,0.0261635844165096,0.0188166456409994,0,0.0188166456409994,0.0830417475582043,-0.098721897151767,-0.0261635844165096,-0.0261635844165096
"MIR200",-0.0877858814683763,-0.0229658147819629,-0.0777330684152579,0.145769226448236,-0.0901288992753117,-0.221304435899023,-0.0229658147819629,-0.0901288992753117,0.0901288992753117,0.0901288992753117,-0.0867599592588778,-0.0901288992753117,0,-0.0901288992753117,-0.124412667713375,0.221304435899023,0.0867599592588778,0.0867599592588778
"MIR190",0.0188166456409994,0.0674919760611214,0.0175744208789752,-0.0707089099722651,0.0261635844165096,0.0985915190552872,0.0674919760611214,0.0261635844165096,-0.0261635844165096,-0.0261635844165096,0.0155368814192344,0.0261635844165096,0,0.0261635844165096,0.0899982692973347,-0.0985915190552872,-0.0155368814192344,-0.0155368814192344
"MIR1199",0.0972060842593842,-0.0648329071909033,0.0779023286362042,-0.131337891735362,0.0973411585502442,0.131877848271954,-0.0648329071909033,0.0973411585502442,-0.0973411585502442,-0.0973411585502442,0.0971058644325971,0.0973411585502442,0,0.0973411585502442,0.0337509549274255,-0.131877848271954,-0.0971058644325971,-0.0971058644325971
"HAS2",0.0973411585502442,-0.0644520998794029,0.0781587388926144,-0.131098083581885,0.0971058644325971,0.131954009734254,-0.0644520998794029,0.0971058644325971,-0.0971058644325971,-0.0971058644325971,-0.00256410256410256,0.0971058644325971,0,0.0971058644325971,0.0337509549274255,-0.131954009734254,-0.0974358974358974,-0.0974358974358974
"HA",-0.0972060842593842,0.0648329071909033,-0.0779023286362042,0.131337891735362,-0.0973411585502442,-0.131877848271954,0.0648329071909033,-0.0973411585502442,0.0973411585502442,0.0973411585502442,-0.0971058644325971,-0.0973411585502442,0,-0.0973411585502442,-0.0337509549274255,0.131877848271954,0.0971058644325971,0.0971058644325971
"GRHL2",0.00121823296842664,-0.0174077675303091,0.0102981140236341,0.090060707279247,0.00105541955260118,-0.016043956043956,-0.0174077675303091,0.00105541955260118,-0.00105541955260118,-0.00105541955260118,0.00131561035919268,0.00105541955260118,0,0.00105541955260118,-0.0168934595524957,0.016043956043956,-0.00131561035919268,-0.101315610359193
"EXTGFB",0.0239399852994434,0.0770095771041462,-0.0698990398428931,-0.0613719681590039,0.0188166456409994,0.098721897151767,0.0770095771041462,0.0188166456409994,-0.0188166456409994,-0.0188166456409994,0.0261635844165096,0.0188166456409994,0,0.0188166456409994,0.0830417475582043,-0.098721897151767,-0.0261635844165096,-0.0261635844165096
"ESRP1",-0.0973411585502442,0.0644520998794029,-0.0781587388926144,0.131098083581885,-0.0971058644325971,-0.131954009734254,0.0644520998794029,-0.0971058644325971,0.0971058644325971,0.0971058644325971,-0.0974358974358974,-0.0971058644325971,0,-0.0971058644325971,-0.0337509549274255,0.131954009734254,-0.00256410256410256,0.0974358974358974
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.0972060842593842,-0.0648329071909033,0.0779023286362042,-0.131337891735362,0.0973411585502442,0.131877848271954,-0.0648329071909033,0.0973411585502442,-0.0973411585502442,-0.0973411585502442,0.0971058644325971,0.0973411585502442,0,0.0973411585502442,0.0337509549274255,-0.131877848271954,-0.0971058644325971,-0.0971058644325971
"CD24",-0.0972060842593842,0.0648329071909033,-0.0779023286362042,0.131337891735362,-0.0973411585502442,-0.131877848271954,0.0648329071909033,-0.0973411585502442,0.0973411585502442,0.0973411585502442,-0.0971058644325971,-0.0973411585502442,0,-0.0973411585502442,-0.0337509549274255,0.131877848271954,0.0971058644325971,0.0971058644325971
