"","SNAIL1","MIR200","CD24","MIR190","MIR1199","HAS2","ESRP1","ZEB1","MIR340","GRHL2","HA","CD44s","TGFB","MIR34"
"GRHL2",0.195640466362284,0.294485272762731,0.153449734105872,0.254056845987919,0.254056845987919,0.254056845987919,0.254056845987919,-0.253698656473103,-0.254056845987919,-0.254056845987919,-0.253449734105872,-0.253449734105872,-0.277440874501602,-0.294485272762731
"MIR200",0.167061065698802,0.242560491439913,0.120526186089272,0.117485923147612,0.117485923147612,0.117485923147612,0.117485923147612,-0.119641499529993,-0.117485923147612,-0.117485923147612,-0.120526186089272,-0.120526186089272,-0.336807216045764,-0.242560491439913
"HAS2",0.169472905221769,0.162363335271215,0.110115798180314,0.104505237124209,0.104505237124209,0.104505237124209,0.104505237124209,-0.107328766535973,-0.104505237124209,-0.104505237124209,-0.210115798180314,-0.110115798180314,-0.144103867309371,-0.162363335271215
"MIR1199",0.170512073886837,0.163810403054917,0.104505237124209,0.107328766535973,0.107328766535973,0.107328766535973,0.107328766535973,-0.105752899809274,-0.107328766535973,-0.107328766535973,-0.104505237124209,-0.104505237124209,-0.140257713463218,-0.163810403054917
"CD44s",0.170512073886837,0.163810403054917,0.104505237124209,0.107328766535973,0.107328766535973,0.107328766535973,0.107328766535973,-0.105752899809274,-0.107328766535973,-0.107328766535973,-0.104505237124209,-0.104505237124209,-0.140257713463218,-0.163810403054917
"TGFB",-0.0595662894691188,-0.0639327659998234,0.0438232453138688,0.0332110004159096,0.0332110004159096,0.0332110004159096,0.0332110004159096,-0.0397005639832721,-0.0332110004159096,-0.0332110004159096,-0.0438232453138688,-0.0438232453138688,0.0565082266559213,0.0639327659998234
"MIR34",-0.0595662894691188,-0.0639327659998234,0.0438232453138688,0.0332110004159096,0.0332110004159096,0.0332110004159096,0.0332110004159096,-0.0397005639832721,-0.0332110004159096,-0.0332110004159096,-0.0438232453138688,-0.0438232453138688,0.0565082266559213,0.0639327659998234
"ZEB1",-0.169794370537555,-0.163176762501921,-0.107328766535973,-0.105752899809274,-0.105752899809274,-0.105752899809274,-0.105752899809274,0.00653324183152177,0.105752899809274,0.105752899809274,0.107328766535973,0.107328766535973,0.1422456931211,0.163176762501921
"MIR190",0.0594309714718251,0.0567619706934349,-0.0272019919078743,-0.0438232453138688,-0.0438232453138688,-0.0438232453138688,-0.0438232453138688,0.0332110004159096,0.0438232453138688,0.0438232453138688,0.0272019919078743,0.0272019919078743,-0.170308651284371,-0.0567619706934349
"SNAIL1",-0.040990109114594,0.0598238430725197,-0.0332110004159096,-0.0397005639832721,-0.0397005639832721,-0.0397005639832721,-0.0397005639832721,0.0358298706612814,0.0397005639832721,0.0397005639832721,0.0332110004159096,0.0332110004159096,-0.0650205576026198,-0.0598238430725197
"MIR340",-0.170512073886837,-0.163810403054917,-0.104505237124209,-0.107328766535973,-0.107328766535973,-0.107328766535973,-0.107328766535973,0.105752899809274,0.107328766535973,0.107328766535973,0.104505237124209,0.104505237124209,0.140257713463218,0.163810403054917
"HA",-0.170512073886837,-0.163810403054917,-0.104505237124209,-0.107328766535973,-0.107328766535973,-0.107328766535973,-0.107328766535973,0.105752899809274,0.107328766535973,0.107328766535973,0.104505237124209,0.104505237124209,0.140257713463218,0.163810403054917
"CD24",-0.170512073886837,-0.163810403054917,-0.104505237124209,-0.107328766535973,-0.107328766535973,-0.107328766535973,-0.107328766535973,0.105752899809274,0.107328766535973,0.107328766535973,0.104505237124209,0.104505237124209,0.140257713463218,0.163810403054917
"ESRP1",-0.169472905221769,-0.162363335271215,-0.110115798180314,-0.104505237124209,-0.104505237124209,-0.104505237124209,-0.104505237124209,0.107328766535973,0.104505237124209,0.104505237124209,0.110115798180314,0.0101157981803143,0.144103867309371,0.162363335271215
