"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.111628172119955,-0.0461249902433755,0.0359867276529827,0.268008387970728,0.0208428491911817,-0.12387635836138,-0.0461249902433755,-0.0208428491911817,0.0208428491911817,0.0208428491911817,-0.0199873786824019,0.0208428491911817,0,0.0208428491911817,0.0394229190820437,0.12387635836138,-0.0199873786824019,-0.0199873786824019
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.252858307074258,0.293457097577195,-0.330218818551282,-0.19428227342528,-0.257905745404429,0.0289728370234159,0.293457097577195,0.257905745404429,-0.257905745404429,-0.257905745404429,0.271171051526878,-0.257905745404429,0,-0.257905745404429,0.140716706548076,-0.0289728370234159,0.271171051526878,0.271171051526878
"SNAIL1",-0.250660660682652,-0.290612458627523,0.317808317357964,0.100301494467262,0.252858307074258,-0.0325954968823996,-0.290612458627523,-0.252858307074258,0.252858307074258,0.252858307074258,-0.257905745404429,0.252858307074258,0,0.252858307074258,-0.132242130276889,0.0325954968823996,-0.257905745404429,-0.257905745404429
"MIR340",0.0208428491911817,0.0499844372479838,-0.0466663393034681,-0.275185421463551,-0.0199873786824019,0.128830275412071,0.0499844372479838,0.0199873786824019,-0.0199873786824019,-0.0199873786824019,0.0293991433882842,-0.0199873786824019,0,-0.0199873786824019,-0.0333300020980376,-0.128830275412071,0.0293991433882842,0.0293991433882842
"MIR34",0.252858307074258,0.293457097577195,-0.330218818551282,-0.19428227342528,-0.257905745404429,0.0289728370234159,0.293457097577195,0.257905745404429,-0.257905745404429,-0.257905745404429,0.271171051526878,-0.257905745404429,0,-0.257905745404429,0.140716706548076,-0.0289728370234159,0.271171051526878,0.271171051526878
"MIR200",-0.0430600970321448,-0.163549558916501,0.0678132169440692,0.3128681984537,0.0465277633864091,-0.199267927194075,-0.163549558916501,-0.0465277633864091,0.0465277633864091,0.0465277633864091,-0.0569632605104847,0.0465277633864091,0,0.0465277633864091,0.0111324892235329,0.199267927194075,-0.0569632605104847,-0.0569632605104847
"MIR190",-0.257905745404429,-0.305321504356856,0.245505442755103,0.19319972944693,0.271171051526878,-0.023888091260704,-0.305321504356856,-0.271171051526878,0.271171051526878,0.271171051526878,-0.283977591036415,0.271171051526878,0,0.271171051526878,-0.148890619591554,0.023888091260704,-0.283977591036415,-0.283977591036415
"MIR1199",-0.0208428491911817,-0.0499844372479838,0.0466663393034681,0.275185421463551,0.0199873786824019,-0.128830275412071,-0.0499844372479838,-0.0199873786824019,0.0199873786824019,0.0199873786824019,-0.0293991433882842,0.0199873786824019,0,0.0199873786824019,0.0333300020980376,0.128830275412071,-0.0293991433882842,-0.0293991433882842
"HAS2",-0.0199873786824019,-0.0614848180552953,0.0343586469957758,0.287415637290889,0.0293991433882842,-0.128144822251371,-0.0614848180552953,-0.0293991433882842,0.0293991433882842,0.0293991433882842,-0.110587262200165,0.0293991433882842,0,0.0293991433882842,0.0452796876326288,0.128144822251371,-0.0105872622001654,-0.0105872622001654
"HA",0.0208428491911817,0.0499844372479838,-0.0466663393034681,-0.275185421463551,-0.0199873786824019,0.128830275412071,0.0499844372479838,0.0199873786824019,-0.0199873786824019,-0.0199873786824019,0.0293991433882842,-0.0199873786824019,0,-0.0199873786824019,-0.0333300020980376,-0.128830275412071,0.0293991433882842,0.0293991433882842
"GRHL2",0.0386551694578578,0.0553880080700973,-0.0569695986459025,-0.155810459476433,-0.0354314638245136,0.0232366978873811,0.0553880080700973,0.0354314638245136,-0.0354314638245136,-0.0354314638245136,0.0473135106588588,-0.0354314638245136,0,-0.0354314638245136,0.0237292863762743,-0.0232366978873811,0.0473135106588588,-0.0526864893411412
"EXTGFB",-0.252858307074258,-0.293457097577195,0.330218818551282,0.19428227342528,0.257905745404429,-0.0289728370234159,-0.293457097577195,-0.257905745404429,0.257905745404429,0.257905745404429,-0.271171051526878,0.257905745404429,0,0.257905745404429,-0.140716706548076,0.0289728370234159,-0.271171051526878,-0.271171051526878
"ESRP1",-0.0199873786824019,-0.0614848180552953,0.0343586469957758,0.287415637290889,0.0293991433882842,-0.128144822251371,-0.0614848180552953,-0.0293991433882842,0.0293991433882842,0.0293991433882842,-0.0105872622001654,0.0293991433882842,0,0.0293991433882842,0.0452796876326288,0.128144822251371,-0.110587262200165,-0.0105872622001654
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",0.0208428491911817,0.0499844372479838,-0.0466663393034681,-0.275185421463551,-0.0199873786824019,0.128830275412071,0.0499844372479838,0.0199873786824019,-0.0199873786824019,-0.0199873786824019,0.0293991433882842,-0.0199873786824019,0,-0.0199873786824019,-0.0333300020980376,-0.128830275412071,0.0293991433882842,0.0293991433882842
"CD24",0.0208428491911817,0.0499844372479838,-0.0466663393034681,-0.275185421463551,-0.0199873786824019,0.128830275412071,0.0499844372479838,0.0199873786824019,-0.0199873786824019,-0.0199873786824019,0.0293991433882842,-0.0199873786824019,0,-0.0199873786824019,-0.0333300020980376,-0.128830275412071,0.0293991433882842,0.0293991433882842
