"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0694730184674156,-0.0374760609712344,0.0117198584475437,0.0716851426558173,0.0386126531248142,-0.0374760609712344,0.0374760609712344,-0.0386126531248142,-0.0386126531248142,-0.0386126531248142,0.014704503642599,-0.0386126531248142,0,0.0386126531248142,0,0.0374760609712344,-0.014704503642599,0.014704503642599
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.0390878115820078,-0.130889184295108,-0.116114195165327,-0.127542665263334,0.0327500506711919,-0.130889184295108,0.130889184295108,-0.0327500506711919,-0.0327500506711919,-0.0327500506711919,0.0484643363854776,-0.0327500506711919,0,0.0327500506711919,0,0.130889184295108,-0.0484643363854776,0.0484643363854776
"SNAIL1",-0.0493954820768327,0.134900854608747,0.114045778299774,0.0328031609638901,-0.0390878115820078,0.134900854608747,-0.134900854608747,0.0390878115820078,0.0390878115820078,0.0390878115820078,-0.0327500506711919,0.0390878115820078,0,-0.0390878115820078,0,-0.134900854608747,0.0327500506711919,-0.0327500506711919
"MIR340",-0.0386126531248142,0.0171419595887459,-0.0126907322339515,-0.0719243771055781,-0.014704503642599,0.0171419595887459,-0.0171419595887459,0.014704503642599,0.014704503642599,0.014704503642599,0.00717784929857749,0.014704503642599,0,-0.014704503642599,0,-0.0171419595887459,-0.00717784929857749,0.00717784929857749
"MIR34",0.0390878115820078,-0.130889184295108,-0.116114195165327,-0.127542665263334,0.0327500506711919,-0.130889184295108,0.130889184295108,-0.0327500506711919,-0.0327500506711919,-0.0327500506711919,0.0484643363854776,-0.0327500506711919,0,0.0327500506711919,0,0.130889184295108,-0.0484643363854776,0.0484643363854776
"MIR200",-0.0530824615928199,0.154179644870149,-0.00551763338265702,0.0907430506319492,-0.0413048920832916,0.154179644870149,-0.154179644870149,0.0413048920832916,0.0413048920832916,0.0413048920832916,-0.031033733496603,0.0413048920832916,0,-0.0413048920832916,0,-0.154179644870149,0.031033733496603,-0.031033733496603
"MIR190",-0.0327500506711919,0.144318128232526,0.0165388236154335,0.127677983260627,-0.0484643363854776,0.144318128232526,-0.144318128232526,0.0484643363854776,0.0484643363854776,0.0484643363854776,-0.0650855897914721,0.0484643363854776,0,-0.0484643363854776,0,-0.144318128232526,0.0650855897914721,-0.0650855897914721
"MIR1199",0.0386126531248142,-0.0171419595887459,0.0126907322339515,0.0719243771055781,0.014704503642599,-0.0171419595887459,0.0171419595887459,-0.014704503642599,-0.014704503642599,-0.014704503642599,-0.00717784929857749,-0.014704503642599,0,0.014704503642599,0,0.0171419595887459,0.00717784929857749,-0.00717784929857749
"HAS2",0.014704503642599,-0.00137653689263013,0.00756252710574632,0.0859131860584158,-0.00717784929857749,-0.00137653689263013,0.00137653689263013,0.00717784929857749,0.00717784929857749,0.00717784929857749,-0.0731844499586435,0.00717784929857749,0,-0.00717784929857749,0,0.00137653689263013,-0.0268155500413565,0.0268155500413565
"HA",-0.0386126531248142,0.0171419595887459,-0.0126907322339515,-0.0719243771055781,-0.014704503642599,0.0171419595887459,-0.0171419595887459,0.014704503642599,0.014704503642599,0.014704503642599,0.00717784929857749,0.014704503642599,0,-0.014704503642599,0,-0.0171419595887459,-0.00717784929857749,0.00717784929857749
"GRHL2",-0.0185568229769908,0.0413160478120968,0.00722846425877388,0.057559852972355,-0.0297909486689478,0.0413160478120968,-0.0413160478120968,0.0297909486689478,0.0297909486689478,0.0297909486689478,-0.0548559963705957,0.0297909486689478,0,-0.0297909486689478,0,-0.0413160478120968,0.0548559963705957,-0.154855996370596
"EXTGFB",0.0390878115820078,-0.130889184295108,-0.116114195165327,-0.127542665263334,0.0327500506711919,-0.130889184295108,0.130889184295108,-0.0327500506711919,-0.0327500506711919,-0.0327500506711919,0.0484643363854776,-0.0327500506711919,0,0.0327500506711919,0,0.130889184295108,-0.0484643363854776,0.0484643363854776
"ESRP1",-0.014704503642599,0.00137653689263013,-0.00756252710574632,-0.0859131860584158,0.00717784929857749,0.00137653689263013,-0.00137653689263013,-0.00717784929857749,-0.00717784929857749,-0.00717784929857749,-0.0268155500413565,-0.00717784929857749,0,0.00717784929857749,0,-0.00137653689263013,-0.0731844499586435,-0.0268155500413565
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.0386126531248142,-0.0171419595887459,0.0126907322339515,0.0719243771055781,0.014704503642599,-0.0171419595887459,0.0171419595887459,-0.014704503642599,-0.014704503642599,-0.014704503642599,-0.00717784929857749,-0.014704503642599,0,0.014704503642599,0,0.0171419595887459,0.00717784929857749,-0.00717784929857749
"CD24",0.0386126531248142,-0.0171419595887459,0.0126907322339515,0.0719243771055781,0.014704503642599,-0.0171419595887459,0.0171419595887459,-0.014704503642599,-0.014704503642599,-0.014704503642599,-0.00717784929857749,-0.014704503642599,0,0.014704503642599,0,0.0171419595887459,0.00717784929857749,-0.00717784929857749
