"","MIR34","MIR190","HAS2","GRHL2","CD44s","CD24","MIR200","TGFB","ZEB1","HA","MIR340","MIR1199","ESRP1","SNAIL1"
"GRHL2",0.265239361670391,0.205486938658911,0.205486938658911,0.205486938658911,0.204706366239137,0.304706366239137,0.141870051215976,0.0347841347271818,-0.206040504272718,-0.204706366239137,-0.205486938658911,-0.205486938658911,-0.205486938658911,-0.228514344109196
"TGFB",0.395760669450167,0.142455577447449,0.142455577447449,0.142455577447449,0.140006597855612,0.140006597855612,-0.244160392522043,0.23680996894474,-0.14423925866187,-0.140006597855612,-0.142455577447449,-0.142455577447449,-0.142455577447449,-0.621820753922344
"MIR34",0.395760669450167,0.142455577447449,0.142455577447449,0.142455577447449,0.140006597855612,0.140006597855612,-0.244160392522043,0.23680996894474,-0.14423925866187,-0.140006597855612,-0.142455577447449,-0.142455577447449,-0.142455577447449,-0.621820753922344
"MIR190",0.386894958889541,0.140006597855612,0.140006597855612,0.140006597855612,0.136464363523187,0.136464363523187,-0.238423756276932,0.330652856418201,-0.142455577447449,-0.136464363523187,-0.140006597855612,-0.140006597855612,-0.140006597855612,-0.607341728211924
"MIR340",0.160255183145371,0.105872987152751,0.105872987152751,0.105872987152751,0.10516710479981,0.10516710479981,0.0472302566452081,0.0323359311495305,-0.106368259552571,-0.10516710479981,-0.105872987152751,-0.105872987152751,-0.105872987152751,-0.20406536020904
"MIR1199",0.160255183145371,0.105872987152751,0.105872987152751,0.105872987152751,0.10516710479981,0.10516710479981,0.0472302566452081,0.0323359311495305,-0.106368259552571,-0.10516710479981,-0.105872987152751,-0.105872987152751,-0.105872987152751,-0.20406536020904
"HA",0.160255183145371,0.105872987152751,0.105872987152751,0.105872987152751,0.10516710479981,0.10516710479981,0.0472302566452081,0.0323359311495305,-0.106368259552571,-0.10516710479981,-0.105872987152751,-0.105872987152751,-0.105872987152751,-0.20406536020904
"CD24",0.160255183145371,0.105872987152751,0.105872987152751,0.105872987152751,0.10516710479981,0.10516710479981,0.0472302566452081,0.0323359311495305,-0.106368259552571,-0.10516710479981,-0.105872987152751,-0.105872987152751,-0.105872987152751,-0.20406536020904
"ESRP1",0.157741854889469,0.10516710479981,0.10516710479981,0.10516710479981,0.00417700578990902,0.104177005789909,0.0488296473535097,0.0305410593546587,-0.105872987152751,-0.104177005789909,-0.10516710479981,-0.10516710479981,-0.10516710479981,-0.199988621599927
"MIR200",-0.0475360964167119,0.0724820548699685,0.0724820548699685,0.0724820548699685,0.073057239750823,0.073057239750823,0.209168593728114,-0.216563991564297,-0.072075931783433,-0.073057239750823,-0.0724820548699685,-0.0724820548699685,-0.0724820548699685,0.178584292710588
"ZEB1",-0.162040897431085,-0.106368259552571,-0.106368259552571,-0.106368259552571,-0.105872987152751,-0.105872987152751,-0.0460781829124892,-0.0335841974463405,0.00671692300932021,0.105872987152751,0.106368259552571,0.106368259552571,0.106368259552571,0.206995982218609
"HAS2",-0.157741854889469,-0.10516710479981,-0.10516710479981,-0.10516710479981,-0.104177005789909,-0.104177005789909,-0.0488296473535097,-0.0305410593546587,0.105872987152751,0.00417700578990902,0.10516710479981,0.10516710479981,0.10516710479981,0.199988621599927
"CD44s",-0.160255183145371,-0.105872987152751,-0.105872987152751,-0.105872987152751,-0.10516710479981,-0.10516710479981,-0.0472302566452081,-0.0323359311495305,0.106368259552571,0.10516710479981,0.105872987152751,0.105872987152751,0.105872987152751,0.20406536020904
"SNAIL1",-0.402106402491742,-0.14423925866187,-0.14423925866187,-0.14423925866187,-0.142455577447449,-0.142455577447449,0.248220689142515,-0.241265020655162,0.145501133041567,0.142455577447449,0.14423925866187,0.14423925866187,0.14423925866187,0.532139418565743
