"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.071927391087368,-0.187505384315605,0.0324668628581872,-0.20167347610812,0.165335991452635,0.187505384315605,0.0722356428581422,-0.165335991452635,-0.165335991452635,0.165335991452635,-0.168532749669654,0.165335991452635,0,-0.165335991452635,0.18629570689625,-0.187505384315605,-0.168532749669654,-0.168532749669654
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.332490248489696,-0.517454302526564,0.247756449887617,-0.685209968604969,0.323723645074136,0.517454302526564,-0.164473035156708,-0.323723645074136,-0.323723645074136,0.323723645074136,-0.309029767523116,0.323723645074136,0,-0.323723645074136,0.497506453765156,-0.517454302526564,-0.309029767523116,-0.309029767523116
"SNAIL1",-0.336871362909092,0.530948102672443,-0.254200363968762,0.603318213420346,-0.332490248489696,-0.530948102672443,0.166734158424396,0.332490248489696,0.332490248489696,-0.332490248489696,0.323723645074136,-0.332490248489696,0,0.332490248489696,-0.517454302526564,0.530948102672443,0.323723645074136,0.323723645074136
"MIR340",-0.165335991452635,0.18629570689625,-0.0310336682211091,0.198144767974149,-0.168532749669654,-0.18629570689625,-0.0775351820286491,0.168532749669654,0.168532749669654,-0.168532749669654,0.172297455552007,-0.168532749669654,0,0.168532749669654,-0.18637186835855,0.18629570689625,0.172297455552007,0.172297455552007
"MIR34",0.332490248489696,-0.517454302526564,0.247756449887617,-0.685209968604969,0.323723645074136,0.517454302526564,-0.164473035156708,-0.323723645074136,-0.323723645074136,0.323723645074136,-0.309029767523116,0.323723645074136,0,-0.323723645074136,0.497506453765156,-0.517454302526564,-0.309029767523116,-0.309029767523116
"MIR200",-0.22934378332002,0.381517862890333,-0.263426649554203,0.426697996266807,-0.227063245987936,-0.381517862890333,0.0381320491293852,0.227063245987936,0.227063245987936,-0.227063245987936,0.226652399644469,-0.227063245987936,0,0.227063245987936,-0.375055998483553,0.381517862890333,0.226652399644469,0.226652399644469
"MIR190",-0.323723645074136,0.497506453765156,-0.338626938210334,0.6632884530434,-0.309029767523116,-0.497506453765156,0.16329963228839,0.309029767523116,0.309029767523116,-0.309029767523116,0.298948023653906,-0.309029767523116,0,0.309029767523116,-0.47611514941733,0.497506453765156,0.298948023653906,0.298948023653906
"MIR1199",-0.165335991452635,0.18629570689625,-0.0310336682211091,0.198144767974149,-0.168532749669654,-0.18629570689625,-0.0775351820286491,0.168532749669654,0.168532749669654,-0.168532749669654,0.172297455552007,-0.168532749669654,0,0.168532749669654,-0.18637186835855,0.18629570689625,0.172297455552007,0.172297455552007
"HAS2",0.168532749669654,-0.18637186835855,0.0302644374518783,-0.189111994193174,0.172297455552007,0.18637186835855,0.0823333541535539,-0.172297455552007,-0.172297455552007,0.172297455552007,-0.251505376344086,0.172297455552007,0,-0.172297455552007,0.171906459553518,-0.18637186835855,-0.151505376344086,-0.151505376344086
"HA",-0.165335991452635,0.18629570689625,-0.0310336682211091,0.198144767974149,-0.168532749669654,-0.18629570689625,-0.0775351820286491,0.168532749669654,0.168532749669654,-0.168532749669654,0.172297455552007,-0.168532749669654,0,0.168532749669654,-0.18637186835855,0.18629570689625,0.172297455552007,0.172297455552007
"GRHL2",-0.0166260111709449,0.0325909345282166,-0.014469497912211,0.123460258892933,-0.0178959558143835,-0.0325909345282166,0.0211664552987566,0.0178959558143835,0.0178959558143835,-0.0178959558143835,0.0261353313564477,-0.0178959558143835,0,0.0178959558143835,-0.0365015490533563,0.0325909345282166,0.0261353313564477,-0.0738646686435523
"EXTGFB",-0.332490248489696,0.517454302526564,-0.247756449887617,0.685209968604969,-0.323723645074136,-0.517454302526564,0.164473035156708,0.323723645074136,0.323723645074136,-0.323723645074136,0.309029767523116,-0.323723645074136,0,0.323723645074136,-0.497506453765156,0.517454302526564,0.309029767523116,0.309029767523116
"ESRP1",-0.168532749669654,0.18637186835855,-0.0302644374518783,0.189111994193174,-0.172297455552007,-0.18637186835855,-0.0823333541535539,0.172297455552007,0.172297455552007,-0.172297455552007,0.151505376344086,-0.172297455552007,0,0.172297455552007,-0.171906459553518,0.18637186835855,0.251505376344086,0.151505376344086
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.165335991452635,0.18629570689625,-0.0310336682211091,0.198144767974149,-0.168532749669654,-0.18629570689625,-0.0775351820286491,0.168532749669654,0.168532749669654,-0.168532749669654,0.172297455552007,-0.168532749669654,0,0.168532749669654,-0.18637186835855,0.18629570689625,0.172297455552007,0.172297455552007
"CD24",-0.165335991452635,0.18629570689625,-0.0310336682211091,0.198144767974149,-0.168532749669654,-0.18629570689625,-0.0775351820286491,0.168532749669654,0.168532749669654,-0.168532749669654,0.172297455552007,-0.168532749669654,0,0.168532749669654,-0.18637186835855,0.18629570689625,0.172297455552007,0.172297455552007
