"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.256568986755672,-0.386508030168514,-0.357565682443621,0.384691965356953,-0.346490952553448,-0.143842575237376,-0.386508030168514,-0.346490952553448,-0.346490952553448,-0.346490952553448,-0.33365889492175,-0.346490952553448,0,0.346490952553448,0.256966777357322,-0.143842575237376,0.33365889492175,-0.33365889492175
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.374087581650105,0.414959043124017,0.415653592187223,-0.384682993716296,0.362588530416708,-0.0155236032583948,0.414959043124017,0.362588530416708,0.362588530416708,0.362588530416708,0.348302816130994,0.362588530416708,0,-0.362588530416708,-0.190591253179226,-0.0155236032583948,-0.348302816130994,0.348302816130994
"SNAIL1",0.383317696494851,-0.427383064519592,-0.430609837215067,0.295456893564551,-0.374087581650105,0.013213853683875,-0.427383064519592,-0.374087581650105,-0.374087581650105,-0.374087581650105,-0.362588530416708,-0.374087581650105,0,0.374087581650105,0.199717719932811,0.013213853683875,0.362588530416708,-0.362588530416708
"MIR340",0.346490952553448,-0.372971163809067,-0.340875899734421,0.372790051481355,-0.33365889492175,-0.140962390905578,-0.372971163809067,-0.33365889492175,-0.33365889492175,-0.33365889492175,-0.31765889492175,-0.33365889492175,0,0.33365889492175,0.246608818484512,-0.140962390905578,0.31765889492175,-0.31765889492175
"MIR34",-0.374087581650105,0.414959043124017,0.415653592187223,-0.384682993716296,0.362588530416708,-0.0155236032583948,0.414959043124017,0.362588530416708,0.362588530416708,0.362588530416708,0.348302816130994,0.362588530416708,0,-0.362588530416708,-0.190591253179226,-0.0155236032583948,-0.348302816130994,0.348302816130994
"MIR200",-0.377873676120387,0.479212455396054,0.555883556673905,-0.430377850748347,0.364596575214421,0.057382591394056,0.479212455396054,0.364596575214421,0.364596575214421,0.364596575214421,0.347916213669638,0.364596575214421,0,-0.364596575214421,-0.257545404750987,0.057382591394056,-0.347916213669638,0.347916213669638
"MIR190",-0.362588530416708,0.399574427739401,0.497182254607605,-0.370609921997757,0.348302816130994,-0.0183919213809502,0.399574427739401,0.348302816130994,0.348302816130994,0.348302816130994,0.330046685340803,0.348302816130994,0,-0.348302816130994,-0.178939079266182,-0.0183919213809502,-0.330046685340803,0.330046685340803
"MIR1199",-0.346490952553448,0.372971163809067,0.340875899734421,-0.372790051481355,0.33365889492175,0.140962390905578,0.372971163809067,0.33365889492175,0.33365889492175,0.33365889492175,0.31765889492175,0.33365889492175,0,-0.33365889492175,-0.246608818484512,0.140962390905578,-0.31765889492175,0.31765889492175
"HAS2",-0.33365889492175,0.35583483479155,0.319593848452369,-0.358001882016926,0.31765889492175,0.137382802177475,0.35583483479155,0.31765889492175,0.31765889492175,0.31765889492175,0.39752688172043,0.31765889492175,0,-0.31765889492175,-0.233820558526441,0.137382802177475,-0.29752688172043,0.29752688172043
"HA",-0.346490952553448,0.372971163809067,0.340875899734421,-0.372790051481355,0.33365889492175,0.140962390905578,0.372971163809067,0.33365889492175,0.33365889492175,0.33365889492175,0.31765889492175,0.33365889492175,0,-0.33365889492175,-0.246608818484512,0.140962390905578,-0.31765889492175,0.31765889492175
"GRHL2",-0.455746483092325,0.481130356776113,0.447135504199867,-0.395618243421396,0.442037593479821,0.252653824925831,0.481130356776113,0.442037593479821,0.442037593479821,0.442037593479821,0.424951730513645,0.442037593479821,0,-0.442037593479821,-0.355886504258793,0.252653824925831,-0.424951730513645,0.524951730513645
"EXTGFB",-0.374087581650105,0.414959043124017,0.415653592187223,-0.384682993716296,0.362588530416708,-0.0155236032583948,0.414959043124017,0.362588530416708,0.362588530416708,0.362588530416708,0.348302816130994,0.362588530416708,0,-0.362588530416708,-0.190591253179226,-0.0155236032583948,-0.348302816130994,0.348302816130994
"ESRP1",-0.33365889492175,0.35583483479155,0.319593848452369,-0.358001882016926,0.31765889492175,0.137382802177475,0.35583483479155,0.31765889492175,0.31765889492175,0.31765889492175,0.29752688172043,0.31765889492175,0,-0.31765889492175,-0.233820558526441,0.137382802177475,-0.19752688172043,0.29752688172043
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.346490952553448,0.372971163809067,0.340875899734421,-0.372790051481355,0.33365889492175,0.140962390905578,0.372971163809067,0.33365889492175,0.33365889492175,0.33365889492175,0.31765889492175,0.33365889492175,0,-0.33365889492175,-0.246608818484512,0.140962390905578,-0.31765889492175,0.31765889492175
"CD24",-0.346490952553448,0.372971163809067,0.340875899734421,-0.372790051481355,0.33365889492175,0.140962390905578,0.372971163809067,0.33365889492175,0.33365889492175,0.33365889492175,0.31765889492175,0.33365889492175,0,-0.33365889492175,-0.246608818484512,0.140962390905578,-0.31765889492175,0.31765889492175
