"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0499773538684828,0.0720593799546362,0.0545546625392272,0.0279653364095984,-0.0629896061182348,0.0720593799546362,-0.0583422733825406,-0.0629896061182348,0.0629896061182348,0.0629896061182348,-0.057361510665736,-0.0629896061182348,0,-0.0629896061182348,0,-0.0720593799546362,0.057361510665736,0.057361510665736
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.126445277592447,0.177556722333596,-0.0274945189537622,-0.133480550291572,-0.125420609660758,0.177556722333596,0.0644826774495757,-0.125420609660758,0.125420609660758,0.125420609660758,-0.140114487211778,-0.125420609660758,0,-0.125420609660758,0,-0.177556722333596,0.140114487211778,0.140114487211778
"SNAIL1",-0.133945632051542,-0.178893945771476,0.0365637313642634,0.0388927910604134,0.126445277592447,-0.178893945771476,-0.0645069906029917,0.126445277592447,-0.126445277592447,-0.126445277592447,0.125420609660758,0.126445277592447,0,0.126445277592447,0,0.178893945771476,-0.125420609660758,-0.125420609660758
"MIR340",0.0629896061182348,0.0678543108302122,0.0386970573612336,0.0179174895196462,-0.057361510665736,0.0678543108302122,-0.0553468816774714,-0.057361510665736,0.057361510665736,0.057361510665736,-0.0317144518422065,-0.057361510665736,0,-0.057361510665736,0,-0.0678543108302122,0.0317144518422065,0.0317144518422065
"MIR34",-0.126445277592447,-0.177556722333596,0.0274945189537622,0.133480550291572,0.125420609660758,-0.177556722333596,-0.0644826774495757,0.125420609660758,-0.125420609660758,-0.125420609660758,0.140114487211778,0.125420609660758,0,0.125420609660758,0,0.177556722333596,-0.140114487211778,-0.140114487211778
"MIR200",0.0349521526267588,-0.0530592048619331,0.0304771727425277,0.125130555369813,-0.0265485287592174,-0.0530592048619331,-0.153532611042406,-0.0265485287592174,0.0265485287592174,0.0265485287592174,-0.00740308915362989,-0.0265485287592174,0,-0.0265485287592174,0,0.0530592048619331,0.00740308915362989,0.00740308915362989
"MIR190",-0.125420609660758,-0.190855288174535,-0.0744163090717155,0.131586098329461,0.140114487211778,-0.190855288174535,-0.0590067973974245,0.140114487211778,-0.140114487211778,-0.140114487211778,0.144201680672269,0.140114487211778,0,0.140114487211778,0,0.190855288174535,-0.144201680672269,-0.144201680672269
"MIR1199",-0.0629896061182348,-0.0678543108302122,-0.0386970573612336,-0.0179174895196462,0.057361510665736,-0.0678543108302122,0.0553468816774714,0.057361510665736,-0.057361510665736,-0.057361510665736,0.0317144518422065,0.057361510665736,0,0.057361510665736,0,0.0678543108302122,-0.0317144518422065,-0.0317144518422065
"HAS2",0.057361510665736,0.0441680960548885,0.0445944932586695,0.0195961465939868,-0.0317144518422065,0.0441680960548885,-0.0458266988899619,-0.0317144518422065,0.0317144518422065,0.0317144518422065,-0.139305210918114,-0.0317144518422065,0,-0.0317144518422065,0,-0.0441680960548885,0.0393052109181141,0.0393052109181141
"HA",-0.0629896061182348,-0.0678543108302122,-0.0386970573612336,-0.0179174895196462,0.057361510665736,-0.0678543108302122,0.0553468816774714,0.057361510665736,-0.057361510665736,-0.057361510665736,0.0317144518422065,0.057361510665736,0,0.057361510665736,0,0.0678543108302122,-0.0317144518422065,-0.0317144518422065
"GRHL2",0.122544194987805,0.123880002889574,0.113272471935741,0.0441958477826643,-0.111375194662178,0.123880002889574,-0.133827853127779,-0.111375194662178,0.111375194662178,0.111375194662178,-0.0944627922337306,-0.111375194662178,0,-0.111375194662178,0,-0.123880002889574,0.0944627922337306,-0.00553720776626935
"EXTGFB",0.126445277592447,0.177556722333596,-0.0274945189537622,-0.133480550291572,-0.125420609660758,0.177556722333596,0.0644826774495757,-0.125420609660758,0.125420609660758,0.125420609660758,-0.140114487211778,-0.125420609660758,0,-0.125420609660758,0,-0.177556722333596,0.140114487211778,0.140114487211778
"ESRP1",-0.057361510665736,-0.0441680960548885,-0.0445944932586695,-0.0195961465939868,0.0317144518422065,-0.0441680960548885,0.0458266988899619,0.0317144518422065,-0.0317144518422065,-0.0317144518422065,0.0393052109181141,0.0317144518422065,0,0.0317144518422065,0,0.0441680960548885,-0.139305210918114,-0.0393052109181141
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.0629896061182348,0.0678543108302122,0.0386970573612336,0.0179174895196462,-0.057361510665736,0.0678543108302122,-0.0553468816774714,-0.057361510665736,0.057361510665736,0.057361510665736,-0.0317144518422065,-0.057361510665736,0,-0.057361510665736,0,-0.0678543108302122,0.0317144518422065,0.0317144518422065
"CD24",-0.0629896061182348,-0.0678543108302122,-0.0386970573612336,-0.0179174895196462,0.057361510665736,-0.0678543108302122,0.0553468816774714,0.057361510665736,-0.057361510665736,-0.057361510665736,0.0317144518422065,0.057361510665736,0,0.057361510665736,0,0.0678543108302122,-0.0317144518422065,-0.0317144518422065
