"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0156206782035,0.0130167223087799,0.0537834512163008,-0.30774169627793,-0.11543804496425,0.208203875777213,-0.0130167223087799,-0.11543804496425,0.11543804496425,-0.11543804496425,-0.115212921146151,-0.11543804496425,0,-0.11543804496425,-0.0965855122180877,0.208203875777213,0.115212921146151,0.115212921146151
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.122892744725951,-0.202533145724288,-0.123279428774284,-0.470033049421084,-0.122475287420448,0.329541685865357,0.202533145724288,-0.122475287420448,0.122475287420448,-0.122475287420448,-0.122271205787795,-0.122475287420448,0,-0.122475287420448,-0.264081744347625,0.329541685865357,0.122271205787795,0.122271205787795
"SNAIL1",-0.122991993272669,0.203286853480184,0.12431363720706,0.371702245172223,0.122892744725951,-0.330830282996405,-0.203286853480184,0.122892744725951,-0.122892744725951,0.122892744725951,0.122475287420448,0.122892744725951,0,0.122892744725951,0.266037415794822,-0.330830282996405,-0.122475287420448,-0.122475287420448
"MIR340",0.11543804496425,0.0138807776083191,0.0542920041520382,-0.306246480966925,-0.115212921146151,0.207051802044494,-0.0138807776083191,-0.115212921146151,0.115212921146151,-0.115212921146151,-0.114507038793209,-0.115212921146151,0,-0.115212921146151,-0.0948337985851859,0.207051802044494,0.114507038793209,0.114507038793209
"MIR34",0.122892744725951,-0.202533145724288,-0.123279428774284,-0.470033049421084,-0.122475287420448,0.329541685865357,0.202533145724288,-0.122475287420448,0.122475287420448,-0.122475287420448,-0.122271205787795,-0.122475287420448,0,-0.122475287420448,-0.264081744347625,0.329541685865357,0.122271205787795,0.122271205787795
"MIR200",-0.137301804555342,0.0915421923284678,-0.0586345468924381,0.42663289885755,0.137083122893361,-0.342739627256333,-0.0915421923284678,0.137083122893361,-0.137083122893361,0.137083122893361,0.136179260937732,0.137083122893361,0,0.137083122893361,0.214969299622909,-0.342739627256333,-0.136179260937732,-0.136179260937732
"MIR190",-0.122475287420448,0.200707852373571,0.0224301718740717,0.467191371477918,0.122271205787795,-0.32745563632168,-0.200707852373571,0.122271205787795,-0.122271205787795,0.122271205787795,0.120908807967631,0.122271205787795,0,0.122271205787795,0.260951309565017,-0.32745563632168,-0.120908807967631,-0.120908807967631
"MIR1199",-0.11543804496425,-0.0138807776083191,-0.0542920041520382,0.306246480966925,0.115212921146151,-0.207051802044494,0.0138807776083191,0.115212921146151,-0.115212921146151,0.115212921146151,0.114507038793209,0.115212921146151,0,0.115212921146151,0.0948337985851859,-0.207051802044494,-0.114507038793209,-0.114507038793209
"HAS2",0.115212921146151,0.0151755224674204,0.05608687594691,-0.303448719176358,-0.114507038793209,0.204843119637792,-0.0151755224674204,-0.114507038793209,0.114507038793209,-0.114507038793209,-0.014177005789909,-0.114507038793209,0,-0.114507038793209,-0.0914795008912656,0.204843119637792,0.114177005789909,0.114177005789909
"HA",0.11543804496425,0.0138807776083191,0.0542920041520382,-0.306246480966925,-0.115212921146151,0.207051802044494,-0.0138807776083191,-0.115212921146151,0.115212921146151,-0.115212921146151,-0.114507038793209,-0.115212921146151,0,-0.115212921146151,-0.0948337985851859,0.207051802044494,0.114507038793209,0.114507038793209
"GRHL2",-0.00741881163529473,0.039222778226911,0.0197600940213999,0.173541789235884,0.00745137431845982,-0.0495110018562802,-0.039222778226911,0.00745137431845982,-0.00745137431845982,0.00745137431845982,0.00701772297414066,0.00745137431845982,0,0.00745137431845982,0.0439758285890816,-0.0495110018562802,-0.00701772297414066,-0.107017722974141
"EXTGFB",0.122892744725951,-0.202533145724288,-0.123279428774284,-0.470033049421084,-0.122475287420448,0.329541685865357,0.202533145724288,-0.122475287420448,0.122475287420448,-0.122475287420448,-0.122271205787795,-0.122475287420448,0,-0.122475287420448,-0.264081744347625,0.329541685865357,0.122271205787795,0.122271205787795
"ESRP1",-0.115212921146151,-0.0151755224674204,-0.05608687594691,0.303448719176358,0.114507038793209,-0.204843119637792,0.0151755224674204,0.114507038793209,-0.114507038793209,0.114507038793209,0.114177005789909,0.114507038793209,0,0.114507038793209,0.0914795008912656,-0.204843119637792,-0.214177005789909,-0.114177005789909
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.11543804496425,0.0138807776083191,0.0542920041520382,-0.306246480966925,-0.115212921146151,0.207051802044494,-0.0138807776083191,-0.115212921146151,0.115212921146151,-0.115212921146151,-0.114507038793209,-0.115212921146151,0,-0.115212921146151,-0.0948337985851859,0.207051802044494,0.114507038793209,0.114507038793209
"CD24",-0.11543804496425,-0.0138807776083191,-0.0542920041520382,0.306246480966925,0.115212921146151,-0.207051802044494,0.0138807776083191,0.115212921146151,-0.115212921146151,0.115212921146151,0.114507038793209,0.115212921146151,0,0.115212921146151,0.0948337985851859,-0.207051802044494,-0.114507038793209,-0.114507038793209
