"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.066801089093566,-0.0792085219324259,-0.0583854960938474,0.105711638064116,0.0321529205361866,-0.0792085219324259,-0.0792085219324259,0.0321529205361866,0.0321529205361866,0.0321529205361866,-0.0290462118464072,0.0321529205361866,0,0.0321529205361866,0.0269425751346829,-0.0266482564556868,0.0290462118464072,-0.0290462118464072
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.0125234476316676,0.0790114111002271,0.0818700327586403,-0.0686758875826882,0.0119541876696183,0.0790114111002271,0.0790114111002271,0.0119541876696183,0.0119541876696183,0.0119541876696183,-0.0127705142002305,0.0119541876696183,0,0.0119541876696183,-0.0865704145158297,-0.0933471493525534,0.0127705142002305,-0.0127705142002305
"SNAIL1",-0.0131898307310579,-0.0790843505604751,-0.0822678052327851,-0.0314758574855971,-0.0125234476316676,-0.0790843505604751,-0.0790843505604751,-0.0125234476316676,-0.0125234476316676,-0.0125234476316676,0.0119541876696183,-0.0125234476316676,0,-0.0125234476316676,0.0861792802263903,0.0941494834152814,-0.0119541876696183,0.0119541876696183
"MIR340",-0.0321529205361866,0.0778836371397992,0.059171441539987,-0.106429341413399,-0.0290462118464072,0.0778836371397992,0.0778836371397992,-0.0290462118464072,-0.0290462118464072,-0.0290462118464072,0.0299873883169955,-0.0290462118464072,0,-0.0290462118464072,-0.027018736596983,0.0239984868704333,-0.0299873883169955,0.0299873883169955
"MIR34",0.0125234476316676,0.0790114111002271,0.0818700327586403,-0.0686758875826882,0.0119541876696183,0.0790114111002271,0.0790114111002271,0.0119541876696183,0.0119541876696183,0.0119541876696183,-0.0127705142002305,0.0119541876696183,0,0.0119541876696183,-0.0865704145158297,-0.0933471493525534,0.0127705142002305,-0.0127705142002305
"MIR200",-0.0602812832594399,0.18683937723003,0.276476143192128,-0.129595797349446,-0.0578757849776529,0.18683937723003,0.18683937723003,-0.0578757849776529,-0.0578757849776529,-0.0578757849776529,0.0579579542463464,-0.0578757849776529,0,-0.0578757849776529,-0.118720897583119,-0.0500727569192594,-0.0579579542463464,0.0579579542463464
"MIR190",-0.0119541876696183,-0.0788810330037474,-0.180808461633375,0.0674580256070454,-0.0127705142002305,-0.0788810330037474,-0.0788810330037474,-0.0127705142002305,-0.0127705142002305,-0.0127705142002305,0.0146778711484594,-0.0127705142002305,0,-0.0127705142002305,0.0872660666897427,0.094259796027912,-0.0146778711484594,0.0146778711484594
"MIR1199",-0.0321529205361866,0.0778836371397992,0.059171441539987,-0.106429341413399,-0.0290462118464072,0.0778836371397992,0.0778836371397992,-0.0290462118464072,-0.0290462118464072,-0.0290462118464072,0.0299873883169955,-0.0290462118464072,0,-0.0290462118464072,-0.027018736596983,0.0239984868704333,-0.0299873883169955,0.0299873883169955
"HAS2",-0.0290462118464072,0.0785690903004999,0.0640432364117819,-0.108267870590057,-0.0299873883169955,0.0785690903004999,0.0785690903004999,-0.0299873883169955,-0.0299873883169955,-0.0299873883169955,-0.0617617866004963,-0.0299873883169955,0,-0.0299873883169955,-0.0245030133265427,0.0245316171065339,-0.0382382133995037,0.0382382133995037
"HA",0.0321529205361866,-0.0778836371397992,-0.059171441539987,0.106429341413399,0.0290462118464072,-0.0778836371397992,-0.0778836371397992,0.0290462118464072,0.0290462118464072,0.0290462118464072,-0.0299873883169955,0.0290462118464072,0,0.0290462118464072,0.027018736596983,-0.0239984868704333,0.0299873883169955,-0.0299873883169955
"GRHL2",0.0261957852540901,-0.0117154215240235,-0.020424753412061,-0.0774925352159052,0.0287031118578022,-0.0117154215240235,-0.0117154215240235,0.0287031118578022,0.0287031118578022,0.0287031118578022,-0.0301775264284874,0.0287031118578022,0,0.0287031118578022,-0.0142851979345955,-0.0388333034267341,0.0301775264284874,-0.130177526428487
"EXTGFB",0.0125234476316676,0.0790114111002271,0.0818700327586403,-0.0686758875826882,0.0119541876696183,0.0790114111002271,0.0790114111002271,0.0119541876696183,0.0119541876696183,0.0119541876696183,-0.0127705142002305,0.0119541876696183,0,0.0119541876696183,-0.0865704145158297,-0.0933471493525534,0.0127705142002305,-0.0127705142002305
"ESRP1",-0.0290462118464072,0.0785690903004999,0.0640432364117819,-0.108267870590057,-0.0299873883169955,0.0785690903004999,0.0785690903004999,-0.0299873883169955,-0.0299873883169955,-0.0299873883169955,0.0382382133995037,-0.0299873883169955,0,-0.0299873883169955,-0.0245030133265427,0.0245316171065339,0.0617617866004963,0.0382382133995037
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.0321529205361866,0.0778836371397992,0.059171441539987,-0.106429341413399,-0.0290462118464072,0.0778836371397992,0.0778836371397992,-0.0290462118464072,-0.0290462118464072,-0.0290462118464072,0.0299873883169955,-0.0290462118464072,0,-0.0290462118464072,-0.027018736596983,0.0239984868704333,-0.0299873883169955,0.0299873883169955
"CD24",-0.0321529205361866,0.0778836371397992,0.059171441539987,-0.106429341413399,-0.0290462118464072,0.0778836371397992,0.0778836371397992,-0.0290462118464072,-0.0290462118464072,-0.0290462118464072,0.0299873883169955,-0.0290462118464072,0,-0.0290462118464072,-0.027018736596983,0.0239984868704333,-0.0299873883169955,0.0299873883169955
