"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.158575372710355,-0.273437110055837,0.274228533197505,-0.201968295563671,-0.239797355111152,0.160723471339392,-0.273437110055837,-0.239797355111152,-0.239797355111152,0.239797355111152,0.256141344305208,-0.239797355111152,0,-0.239797355111152,-0.283056925724039,-0.273437110055837,0.256141344305208,-0.256141344305208
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",-0.059070194815887,-0.0251579795975327,0.0213372212296993,-0.00139896157738479,0.0445350904515606,-0.0772837328462735,-0.0251579795975327,0.0445350904515606,0.0445350904515606,-0.0445350904515606,-0.0614738659617647,0.0445350904515606,0,0.0445350904515606,-0.0142062194932302,-0.0251579795975327,-0.0614738659617647,0.0614738659617647
"SNAIL1",0.0482804599512903,0.0156029103050454,-0.0346228218661353,-0.0986516201120436,-0.059070194815887,0.0863525390704407,0.0156029103050454,-0.059070194815887,-0.059070194815887,0.059070194815887,0.0445350904515606,-0.059070194815887,0,-0.059070194815887,0.0251579795975327,0.0156029103050454,0.0445350904515606,-0.0445350904515606
"MIR340",-0.239797355111152,0.283056925724039,-0.248477261815166,0.199575951066063,0.256141344305208,-0.172013793920037,0.283056925724039,0.256141344305208,0.256141344305208,-0.256141344305208,-0.22484722665815,0.256141344305208,0,0.256141344305208,0.260893940194717,0.283056925724039,-0.22484722665815,0.22484722665815
"MIR34",-0.059070194815887,-0.0251579795975327,0.0213372212296993,-0.00139896157738479,0.0445350904515606,-0.0772837328462735,-0.0251579795975327,0.0445350904515606,0.0445350904515606,-0.0445350904515606,-0.0614738659617647,0.0445350904515606,0,0.0445350904515606,-0.0142062194932302,-0.0251579795975327,-0.0614738659617647,0.0614738659617647
"MIR200",-0.218182229408915,0.310100505902813,-0.404355603457266,0.165056232598284,0.224336556181798,-0.0621972283843884,0.310100505902813,0.224336556181798,0.224336556181798,-0.224336556181798,-0.209463918548273,0.224336556181798,0,0.224336556181798,0.29950728556383,0.310100505902813,-0.209463918548273,0.209463918548273
"MIR190",0.0445350904515606,0.0142062194932302,-0.14002087303437,0.00207555156385299,-0.0614738659617647,0.0879747367576163,0.0142062194932302,-0.0614738659617647,-0.0614738659617647,0.0614738659617647,0.0383131030189854,-0.0614738659617647,0,-0.0614738659617647,0.0300323064497519,0.0142062194932302,0.0383131030189854,-0.0383131030189854
"MIR1199",-0.239797355111152,0.283056925724039,-0.248477261815166,0.199575951066063,0.256141344305208,-0.172013793920037,0.283056925724039,0.256141344305208,0.256141344305208,-0.256141344305208,-0.22484722665815,0.256141344305208,0,0.256141344305208,0.260893940194717,0.283056925724039,-0.22484722665815,0.22484722665815
"HAS2",-0.256141344305208,0.260893940194717,-0.265400338738243,0.19725780558245,0.22484722665815,-0.153658881505718,0.260893940194717,0.22484722665815,0.22484722665815,-0.22484722665815,-0.148279569892473,0.22484722665815,0,0.22484722665815,0.273682200152788,0.260893940194717,-0.248279569892473,0.248279569892473
"HA",-0.239797355111152,0.283056925724039,-0.248477261815166,0.199575951066063,0.256141344305208,-0.172013793920037,0.283056925724039,0.256141344305208,0.256141344305208,-0.256141344305208,-0.22484722665815,0.256141344305208,0,0.256141344305208,0.260893940194717,0.283056925724039,-0.22484722665815,0.22484722665815
"GRHL2",-0.431820900553466,0.430950057902431,-0.418178124785001,0.224484431796258,0.43497948082048,-0.309455957786576,0.430950057902431,0.43497948082048,0.43497948082048,-0.43497948082048,-0.418067078392032,0.43497948082048,0,0.43497948082048,0.418100895891257,0.430950057902431,-0.418067078392032,0.518067078392032
"EXTGFB",-0.059070194815887,-0.0251579795975327,0.0213372212296993,-0.00139896157738479,0.0445350904515606,-0.0772837328462735,-0.0251579795975327,0.0445350904515606,0.0445350904515606,-0.0445350904515606,-0.0614738659617647,0.0445350904515606,0,0.0445350904515606,-0.0142062194932302,-0.0251579795975327,-0.0614738659617647,0.0614738659617647
"ESRP1",0.256141344305208,-0.260893940194717,0.265400338738243,-0.19725780558245,-0.22484722665815,0.153658881505718,-0.260893940194717,-0.22484722665815,-0.22484722665815,0.22484722665815,0.248279569892473,-0.22484722665815,0,-0.22484722665815,-0.273682200152788,-0.260893940194717,0.148279569892473,-0.248279569892473
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.239797355111152,0.283056925724039,-0.248477261815166,0.199575951066063,0.256141344305208,-0.172013793920037,0.283056925724039,0.256141344305208,0.256141344305208,-0.256141344305208,-0.22484722665815,0.256141344305208,0,0.256141344305208,0.260893940194717,0.283056925724039,-0.22484722665815,0.22484722665815
"CD24",-0.239797355111152,0.283056925724039,-0.248477261815166,0.199575951066063,0.256141344305208,-0.172013793920037,0.283056925724039,0.256141344305208,0.256141344305208,-0.256141344305208,-0.22484722665815,0.256141344305208,0,0.256141344305208,0.260893940194717,0.283056925724039,-0.22484722665815,0.22484722665815
