"","MIR1199","HAS2","GRHL2","ESRP1","CD24","MIR34","MIR200","SNAIL1","TGFB","ZEB1","HA","CD44s","MIR340","MIR190"
"GRHL2",0.23970034478182,0.23970034478182,0.23970034478182,0.23970034478182,0.339266693437501,0.252698277029784,0.252698277029784,0.118774458748138,-0.01465646753453,-0.240123659662966,-0.239266693437501,-0.239266693437501,-0.23970034478182,-0.23970034478182
"MIR200",0.166810103216291,0.166810103216291,0.166810103216291,0.166810103216291,0.166070579798049,0.256111645037556,0.256111645037556,0.137134322174114,-0.209376827018534,-0.167216226302826,-0.166070579798049,-0.166070579798049,-0.166810103216291,-0.166810103216291
"MIR340",0.15659053025431,0.15659053025431,0.15659053025431,0.15659053025431,0.156119942019016,0.146851730861027,0.146851730861027,0.0951312777566305,-0.00676482235163907,-0.15699575312689,-0.156119942019016,-0.156119942019016,-0.15659053025431,-0.15659053025431
"HA",0.15659053025431,0.15659053025431,0.15659053025431,0.15659053025431,0.156119942019016,0.146851730861027,0.146851730861027,0.0951312777566305,-0.00676482235163907,-0.15699575312689,-0.156119942019016,-0.156119942019016,-0.15659053025431,-0.15659053025431
"CD24",0.15659053025431,0.15659053025431,0.15659053025431,0.15659053025431,0.156119942019016,0.146851730861027,0.146851730861027,0.0951312777566305,-0.00676482235163907,-0.15699575312689,-0.156119942019016,-0.156119942019016,-0.15659053025431,-0.15659053025431
"ESRP1",0.156119942019016,0.156119942019016,0.156119942019016,0.156119942019016,0.155789909015715,0.146318600624927,0.146318600624927,0.0950513417054714,-0.00650841209522881,-0.15659053025431,-0.155789909015715,-0.255789909015715,-0.156119942019016,-0.156119942019016
"SNAIL1",0.131691948995472,0.131691948995472,0.131691948995472,0.131691948995472,0.131350393018243,0.169160539939691,0.169160539939691,0.00188481226707912,-0.100001771110285,-0.131876267725091,-0.131350393018243,-0.131350393018243,-0.131691948995472,-0.131691948995472
"MIR34",0.131350393018243,0.131350393018243,0.131350393018243,0.131350393018243,0.130942229752937,0.168893095252115,0.168893095252115,0.101682485509365,-0.099763107625798,-0.131691948995472,-0.130942229752937,-0.130942229752937,-0.131350393018243,-0.131350393018243
"MIR190",0.130942229752937,0.130942229752937,0.130942229752937,0.130942229752937,0.129579831932773,0.168241204769716,0.168241204769716,0.101547167512072,-0.199763107625798,-0.131350393018243,-0.129579831932773,-0.129579831932773,-0.130942229752937,-0.130942229752937
"ZEB1",-0.15699575312689,-0.15699575312689,-0.15699575312689,-0.15699575312689,-0.15659053025431,-0.147139749294207,-0.147139749294207,-0.0953705122063913,0.00690351860684018,0.0570787682356396,0.15659053025431,0.15659053025431,0.15699575312689,0.15699575312689
"TGFB",-0.131350393018243,-0.131350393018243,-0.131350393018243,-0.131350393018243,-0.130942229752937,-0.168893095252115,-0.168893095252115,-0.101682485509365,0.099763107625798,0.131691948995472,0.130942229752937,0.130942229752937,0.131350393018243,0.131350393018243
"HAS2",-0.156119942019016,-0.156119942019016,-0.156119942019016,-0.156119942019016,-0.155789909015715,-0.146318600624927,-0.146318600624927,-0.0950513417054714,0.00650841209522881,0.15659053025431,0.0557899090157155,0.155789909015715,0.156119942019016,0.156119942019016
"MIR1199",-0.15659053025431,-0.15659053025431,-0.15659053025431,-0.15659053025431,-0.156119942019016,-0.146851730861027,-0.146851730861027,-0.0951312777566305,0.00676482235163907,0.15699575312689,0.156119942019016,0.156119942019016,0.15659053025431,0.15659053025431
"CD44s",-0.15659053025431,-0.15659053025431,-0.15659053025431,-0.15659053025431,-0.156119942019016,-0.146851730861027,-0.146851730861027,-0.0951312777566305,0.00676482235163907,0.15699575312689,0.156119942019016,0.156119942019016,0.15659053025431,0.15659053025431
