"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.000113736139778035,0.119120805974538,0.0170798556050484,-0.116621957677257,0.0985696551170319,-0.0598703612228446,-0.0598703612228446,-0.0985696551170319,0.0985696551170319,-0.0985696551170319,0.101856462861291,-0.0985696551170319,0,-0.0985696551170319,0,-0.119120805974538,0.101856462861291,0.101856462861291
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.0748777170864635,0.199535300326963,0.142023044553561,-0.231557042725034,0.0749156677506001,0.127809353305452,0.127809353305452,-0.0749156677506001,0.0749156677506001,-0.0749156677506001,0.0708340350975389,-0.0749156677506001,0,-0.0749156677506001,0,-0.199535300326963,0.0708340350975389,0.0708340350975389
"SNAIL1",-0.0732755619751633,-0.198927471491563,-0.141943490058732,0.132265186377032,-0.0748777170864635,-0.127250150776884,-0.127250150776884,0.0748777170864635,-0.0748777170864635,0.0748777170864635,-0.0749156677506001,0.0748777170864635,0,0.0748777170864635,0,0.198927471491563,-0.0749156677506001,-0.0749156677506001
"MIR340",-0.0985696551170319,-0.120503294453801,-0.0177733368810539,0.115904254327974,-0.101856462861291,0.0626929418680059,0.0626929418680059,0.101856462861291,-0.101856462861291,0.101856462861291,-0.103268227567174,0.101856462861291,0,0.101856462861291,0,0.120503294453801,-0.103268227567174,-0.103268227567174
"MIR34",-0.0748777170864635,-0.199535300326963,-0.142023044553561,0.231557042725034,-0.0749156677506001,-0.127809353305452,-0.127809353305452,0.0749156677506001,-0.0749156677506001,0.0749156677506001,-0.0708340350975389,0.0749156677506001,0,0.0749156677506001,0,0.199535300326963,-0.0708340350975389,-0.0708340350975389
"MIR200",-0.0791954033530247,0.0163317388981466,0.19816271150142,-0.102370767567589,-0.0827255501821406,0.181587712164887,0.181587712164887,0.0827255501821406,-0.0827255501821406,0.0827255501821406,-0.0828077194508341,0.0827255501821406,0,0.0827255501821406,0,-0.0163317388981466,-0.0828077194508341,-0.0828077194508341
"MIR190",-0.0749156677506001,-0.197058116493847,-0.240961473428296,0.233180858692557,-0.0708340350975389,-0.130547293331527,-0.130547293331527,0.0708340350975389,-0.0708340350975389,0.0708340350975389,-0.0738313103018985,0.0708340350975389,0,0.0708340350975389,0,0.197058116493847,-0.0738313103018985,-0.0738313103018985
"MIR1199",-0.0985696551170319,-0.120503294453801,-0.0177733368810539,0.115904254327974,-0.101856462861291,0.0626929418680059,0.0626929418680059,0.101856462861291,-0.101856462861291,0.101856462861291,-0.103268227567174,0.101856462861291,0,0.101856462861291,0,0.120503294453801,-0.103268227567174,-0.103268227567174
"HAS2",0.101856462861291,0.122559653935903,0.0182861573938744,-0.113905853048997,0.103268227567174,-0.0624644574811056,-0.0624644574811056,-0.103268227567174,0.103268227567174,-0.103268227567174,-0.00630272952853598,-0.103268227567174,0,-0.103268227567174,0,-0.122559653935903,0.093697270471464,0.093697270471464
"HA",-0.0985696551170319,-0.120503294453801,-0.0177733368810539,0.115904254327974,-0.101856462861291,0.0626929418680059,0.0626929418680059,0.101856462861291,-0.101856462861291,0.101856462861291,-0.103268227567174,0.101856462861291,0,0.101856462861291,0,0.120503294453801,-0.103268227567174,-0.103268227567174
"GRHL2",-0.0084470077691286,0.00359650346736569,0.00804636462341258,-0.0829887772308569,-0.00646068409605794,0.0247139404940038,0.0247139404940038,0.00646068409605794,-0.00646068409605794,0.00646068409605794,-0.00290474307264077,0.00646068409605794,0,0.00646068409605794,0,-0.00359650346736569,-0.00290474307264077,-0.102904743072641
"EXTGFB",-0.0748777170864635,-0.199535300326963,-0.142023044553561,0.231557042725034,-0.0749156677506001,-0.127809353305452,-0.127809353305452,0.0749156677506001,-0.0749156677506001,0.0749156677506001,-0.0708340350975389,0.0749156677506001,0,0.0749156677506001,0,0.199535300326963,-0.0708340350975389,-0.0708340350975389
"ESRP1",-0.101856462861291,-0.122559653935903,-0.0182861573938744,0.113905853048997,-0.103268227567174,0.0624644574811056,0.0624644574811056,0.103268227567174,-0.103268227567174,0.103268227567174,-0.093697270471464,0.103268227567174,0,0.103268227567174,0,0.122559653935903,-0.193697270471464,-0.093697270471464
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.0985696551170319,0.120503294453801,0.0177733368810539,-0.115904254327974,0.101856462861291,-0.0626929418680059,-0.0626929418680059,-0.101856462861291,0.101856462861291,-0.101856462861291,0.103268227567174,-0.101856462861291,0,-0.101856462861291,0,-0.120503294453801,0.103268227567174,0.103268227567174
"CD24",0.0985696551170319,0.120503294453801,0.0177733368810539,-0.115904254327974,0.101856462861291,-0.0626929418680059,-0.0626929418680059,-0.101856462861291,0.101856462861291,-0.101856462861291,0.103268227567174,-0.101856462861291,0,-0.101856462861291,0,-0.120503294453801,0.103268227567174,0.103268227567174
