"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0689134068977794,0.148976737443629,0.163413997584609,0.0710950922284226,0.169129246180529,-0.15884097455644,-0.15884097455644,-0.169129246180529,0.169129246180529,-0.169129246180529,-0.170434964325509,-0.169129246180529,0,-0.169129246180529,-0.148919133756993,0.148976737443629,0.170434964325509,-0.170434964325509
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.375493393982362,0.0439786611748815,-0.458470807383485,-0.421013132997588,-0.373709712767941,0.453741161638682,0.453741161638682,0.373709712767941,-0.373709712767941,0.373709712767941,0.369832161747533,0.373709712767941,0,0.373709712767941,-0.0467166012009572,0.0439786611748815,-0.369832161747533,0.369832161747533
"SNAIL1",0.375876209805416,-0.0425441851233377,0.461334769197328,0.319748590761877,0.375493393982362,-0.454592122008242,-0.454592122008242,-0.375493393982362,0.375493393982362,-0.375493393982362,-0.373709712767941,-0.375493393982362,0,-0.375493393982362,0.0439786611748815,-0.0425441851233377,0.373709712767941,-0.373709712767941
"MIR340",-0.169129246180529,-0.148919133756993,-0.162905444648872,-0.0710352836159825,-0.170434964325509,0.160569085155518,0.160569085155518,0.170434964325509,-0.170434964325509,0.170434964325509,0.169964376090214,0.170434964325509,0,0.170434964325509,0.148842972294693,-0.148919133756993,-0.169964376090214,0.169964376090214
"MIR34",-0.375493393982362,0.0439786611748815,-0.458470807383485,-0.421013132997588,-0.373709712767941,0.453741161638682,0.453741161638682,0.373709712767941,-0.373709712767941,0.373709712767941,0.369832161747533,0.373709712767941,0,0.373709712767941,-0.0467166012009572,0.0439786611748815,-0.369832161747533,0.369832161747533
"MIR200",-0.0511619333723277,-0.217093534142018,-0.0424729454585713,0.201802642720139,-0.0532550292798566,-0.0671332292688647,-0.0671332292688647,0.0532550292798566,-0.0532550292798566,0.0532550292798566,0.0556379380719684,0.0532550292798566,0,0.0532550292798566,0.218470652786086,-0.217093534142018,-0.0556379380719684,0.0556379380719684
"MIR190",0.373709712767941,-0.0467166012009572,0.350827495281575,0.42182504098135,0.369832161747533,-0.451524733998525,-0.451524733998525,-0.369832161747533,0.369832161747533,-0.369832161747533,-0.360840336134454,-0.369832161747533,0,-0.369832161747533,0.0514122533748702,-0.0467166012009572,0.360840336134454,-0.360840336134454
"MIR1199",0.169129246180529,0.148919133756993,0.162905444648872,0.0710352836159825,0.170434964325509,-0.160569085155518,-0.160569085155518,-0.170434964325509,0.170434964325509,-0.170434964325509,-0.169964376090214,-0.170434964325509,0,-0.170434964325509,-0.148842972294693,0.148919133756993,0.169964376090214,-0.169964376090214
"HAS2",0.170434964325509,0.148842972294693,0.166238777982205,0.0735133012019137,0.169964376090214,-0.160035954919418,-0.160035954919418,-0.169964376090214,0.169964376090214,-0.169964376090214,-0.0722746071133168,-0.169964376090214,0,-0.169964376090214,-0.147794754265342,0.148842972294693,0.172274607113317,-0.172274607113317
"HA",0.169129246180529,0.148919133756993,0.162905444648872,0.0710352836159825,0.170434964325509,-0.160569085155518,-0.160569085155518,-0.170434964325509,0.170434964325509,-0.170434964325509,-0.169964376090214,-0.170434964325509,0,-0.170434964325509,-0.148842972294693,0.148919133756993,0.169964376090214,-0.169964376090214
"GRHL2",-0.298510447168766,-0.254672615540435,-0.294647386953248,-0.0948475370067446,-0.299324514247893,0.291474866893444,0.291474866893444,0.299324514247893,-0.299324514247893,0.299324514247893,0.299584705054484,0.299324514247893,0,0.299324514247893,0.254337420009709,-0.254672615540435,-0.299584705054484,0.399584705054484
"EXTGFB",0.375493393982362,-0.0439786611748815,0.458470807383485,0.421013132997588,0.373709712767941,-0.453741161638682,-0.453741161638682,-0.373709712767941,0.373709712767941,-0.373709712767941,-0.369832161747533,-0.373709712767941,0,-0.373709712767941,0.0467166012009572,-0.0439786611748815,0.369832161747533,-0.369832161747533
"ESRP1",0.170434964325509,0.148842972294693,0.166238777982205,0.0735133012019137,0.169964376090214,-0.160035954919418,-0.160035954919418,-0.169964376090214,0.169964376090214,-0.169964376090214,-0.172274607113317,-0.169964376090214,0,-0.169964376090214,-0.147794754265342,0.148842972294693,0.0722746071133168,-0.172274607113317
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.169129246180529,-0.148919133756993,-0.162905444648872,-0.0710352836159825,-0.170434964325509,0.160569085155518,0.160569085155518,0.170434964325509,-0.170434964325509,0.170434964325509,0.169964376090214,0.170434964325509,0,0.170434964325509,0.148842972294693,-0.148919133756993,-0.169964376090214,0.169964376090214
"CD24",-0.169129246180529,-0.148919133756993,-0.162905444648872,-0.0710352836159825,-0.170434964325509,0.160569085155518,0.160569085155518,0.170434964325509,-0.170434964325509,0.170434964325509,0.169964376090214,0.170434964325509,0,0.170434964325509,0.148842972294693,-0.148919133756993,-0.169964376090214,0.169964376090214
