"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0631036035273651,0.0807219061442644,-0.0698089585793694,0.0328651627338869,-0.0994339171604168,-0.0381900707112007,0.0807219061442644,-0.0337881123654781,-0.0381900707112007,0.116979587292806,0.0381900707112007,-0.0381900707112007,-0.0345260850096814,-0.0381900707112007,0,-0.0381900707112007,0.0192212012537169,-0.0429334998734153,-0.0345260850096814,0.0345260850096814
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",0.0156830968002036,0.00826162113435986,0.00146903836163298,0.0182524925319124,0.00571775770082005,-0.0160136465566407,0.00826162113435986,-0.0133160152239997,-0.0160136465566407,-0.00283018916644201,0.0160136465566407,-0.0160136465566407,-0.0199474977217622,-0.0160136465566407,0,-0.0160136465566407,0.0884513181602214,0.102399594470133,-0.0199474977217622,0.0199474977217622
"TGFB",0.0952548967876996,0.114960798747067,-0.0277563402461351,-0.0165667776200475,-0.0400072939696633,-0.0940926193123428,0.114960798747067,0.0249864340680504,-0.0940926193123428,0.0950575825160575,0.0940926193123428,-0.0940926193123428,-0.0964919337939195,-0.0940926193123428,0,-0.0940926193123428,0.0677560025638595,0.038778659081499,-0.0964919337939195,0.0964919337939195
"SNAIL1",-0.0963864385133007,-0.115257962186959,0.0262216190791392,0.0189233516489765,-0.0605922743411529,0.0952548967876996,-0.115257962186959,-0.0238608149775506,0.0952548967876996,-0.0947080915572367,-0.0952548967876996,0.0952548967876996,0.0940926193123428,0.0952548967876996,0,0.0952548967876996,-0.0682781957753477,-0.0376723651661155,0.0940926193123428,-0.0940926193123428
"MIR340",-0.0381900707112007,-0.0793510415856828,0.0708373163232148,-0.0288001220834804,0.0986524127644546,0.0345260850096814,-0.0793510415856828,0.030662541171912,0.0345260850096814,-0.120126985236091,-0.0345260850096814,0.0345260850096814,0.0301930348822388,0.0345260850096814,0,0.0345260850096814,-0.0205161652824939,0.0411363631082615,0.0301930348822388,-0.0301930348822388
"MIR34",0.0952548967876996,0.114960798747067,-0.0277563402461351,-0.0165667776200475,-0.0400072939696633,-0.0940926193123428,0.114960798747067,0.0249864340680504,-0.0940926193123428,0.0950575825160575,0.0940926193123428,-0.0940926193123428,-0.0964919337939195,-0.0940926193123428,0,-0.0940926193123428,0.0677560025638595,0.038778659081499,-0.0964919337939195,0.0964919337939195
"MIR200",0.0351011106921809,-0.0224724844563735,0.0286841152886141,0.0310377611251394,0.0217282002844826,-0.0319557935247236,-0.0224724844563735,-0.134942306381253,-0.0319557935247236,-0.0545895845876944,0.0319557935247236,-0.0319557935247236,-0.0276519960563691,-0.0319557935247236,0,-0.0319557935247236,-0.080496601977502,-0.145651167059245,-0.0276519960563691,0.0276519960563691
"MIR190",-0.0940926193123428,-0.115563050645469,0.0267444616715641,-0.0869894101466666,0.0410750748424581,0.0964919337939195,-0.115563050645469,-0.0226559810698833,0.0964919337939195,-0.0926378728812137,-0.0964919337939195,0.0964919337939195,0.100752585422992,0.0964919337939195,0,0.0964919337939195,-0.0673762994226789,-0.0373243504207653,0.100752585422992,-0.100752585422992
"MIR129",0.0160136465566407,0.00955512282823112,0.104031799867909,0.0185060850931973,0.00578637304321061,-0.0199474977217622,0.00955512282823112,-0.0168577460524567,-0.0199474977217622,-0.00552440836602349,0.0199474977217622,-0.0199474977217622,-0.020394591611479,-0.0199474977217622,0,-0.0199474977217622,0.0881227760657655,0.0998400858957792,-0.020394591611479,0.020394591611479
