"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0329247302879763,0.0797474365761938,0.0906231935065866,0.100050111968159,-0.144236593171632,0.133220136216468,0.154616975444262,0.0797474365761938,-0.133220136216468,0.154568458990617,0.133220136216468,-0.133220136216468,0.132535000678785,-0.133220136216468,0,-0.133220136216468,0.00582287863617538,-0.0908387252888694,-0.132535000678785,-0.132535000678785
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.200473422315658,-0.0845309077968,-0.0890978715198761,-0.120225152346198,0.0353493248932689,-0.200264654048434,-0.115075586421043,-0.0845309077968,0.200264654048434,0.127756108091365,-0.200264654048434,0.200264654048434,-0.200289710425282,0.200264654048434,0,0.200264654048434,0.0953283961728094,0.000124109070365144,0.200289710425282,0.200289710425282
"TGFB",-0.132703949300363,-0.135459280002859,0.0276624201118567,-0.162759305633723,-0.0154767486694325,-0.132718661673469,0.00296668811948765,-0.135459280002859,0.132718661673469,0.0835556007420458,-0.132718661673469,0.132718661673469,-0.132804351476382,0.132718661673469,0,0.132718661673469,0.00972400485486824,0.114394593902325,0.132804351476382,0.132804351476382
"SNAIL1",0.13282518591382,0.12866054069624,-0.0136675864999436,0.168431335537835,-0.071116903900717,0.132703949300363,0.003814041281683,0.12866054069624,-0.132703949300363,-0.0784651889505248,0.132703949300363,-0.132703949300363,0.132718661673469,-0.132703949300363,0,-0.132703949300363,-0.00751655173357699,-0.105618992168135,-0.132718661673469,-0.132718661673469
"MIR340",-0.133220136216468,-0.0790345870057314,-0.0910906288446982,-0.100017591642955,0.143813278290486,-0.132535000678785,-0.154489028085461,-0.0790345870057314,0.132535000678785,-0.154661946058239,-0.132535000678785,0.132535000678785,-0.132280115377171,0.132535000678785,0,0.132535000678785,-0.00596676352826171,0.0900467667143948,0.132280115377171,0.132280115377171
"MIR34",-0.132703949300363,-0.135459280002859,0.0276624201118567,-0.162759305633723,-0.0154767486694325,-0.132718661673469,0.00296668811948765,-0.135459280002859,0.132718661673469,0.0835556007420458,-0.132718661673469,0.132718661673469,-0.132804351476382,0.132718661673469,0,0.132718661673469,0.00972400485486824,0.114394593902325,0.132804351476382,0.132804351476382
"MIR200",0.0834264876417412,-0.0322769433602977,0.0697925392903655,0.0689752040297947,-0.138966754607469,0.0829871975345544,0.204804452990056,-0.0322769433602977,-0.0829871975345544,0.147363975308024,0.0829871975345544,-0.0829871975345544,0.082936564623162,-0.0829871975345544,0,-0.0829871975345544,0.00291217258940792,0.0190494494814669,-0.082936564623162,-0.082936564623162
"MIR190",0.132718661673469,0.12626839233593,-0.00922863216641017,0.0698242653302618,0.0329790699321994,0.132804351476382,0.00632893900803265,0.12626839233593,-0.132804351476382,-0.0762084823962473,0.132804351476382,-0.132804351476382,0.132553724909966,-0.132804351476382,0,-0.132804351476382,-0.00672089819280403,-0.102738418517042,-0.132553724909966,-0.132553724909966
"MIR129",0.200264654048434,0.0801268425057621,-0.00216781885669294,0.123690917350424,-0.0268547455053177,0.200289710425282,0.119510449371459,0.0801268425057621,-0.200289710425282,-0.124172534981242,0.200289710425282,-0.200289710425282,0.200438741721854,-0.200289710425282,0,-0.200289710425282,-0.093849956747758,0.00545561962172597,-0.200438741721854,-0.200438741721854
"MIR1199",-0.133220136216468,-0.0790345870057314,-0.0910906288446982,-0.100017591642955,0.143813278290486,-0.132535000678785,-0.154489028085461,-0.0790345870057314,0.132535000678785,-0.154661946058239,-0.132535000678785,0.132535000678785,-0.132280115377171,0.132535000678785,0,0.132535000678785,-0.00596676352826171,0.0900467667143948,0.132280115377171,0.132280115377171
"HAS2",-0.132535000678785,-0.0791399610837082,-0.089903414232826,-0.101080393575323,0.144570137325491,-0.132280115377171,-0.154067531773554,-0.0791399610837082,0.132280115377171,-0.154753270259153,-0.132280115377171,0.132280115377171,-0.234570191713049,0.132280115377171,0,0.132280115377171,-0.0060377358490566,0.0903988793904512,0.134570191713049,0.134570191713049
