"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.00105868073002708,-0.106478711309786,0.0606789883560814,-0.00312562194019457,0.065881748766053,0.100905884560118,-0.0934645026564311,-0.106478711309786,0.100905884560118,-0.0606789883560814,-0.100905884560118,0.100905884560118,-0.101948482117461,-0.100905884560118,0,-0.100905884560118,0.104970259476915,-0.100224383042541,0.101948482117461,-0.101948482117461
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.0134457808838721,0.0190951916669611,0.0846101777391029,0.00717225352620983,-0.0272122447382604,-0.0136023570842896,-0.00504304641457943,0.0190951916669611,-0.0136023570842896,0.207688178291941,0.0136023570842896,-0.0136023570842896,0.0124748201261338,0.0136023570842896,0,0.0136023570842896,0.0829846300886074,-0.114296893867872,-0.0124748201261338,0.0124748201261338
"TGFB",0.107735305888029,-0.0065264053367918,-0.0279633737059053,0.0636041567746757,0.00421304075579438,0.108397362677789,-0.0999230119106233,-0.0065264053367918,0.108397362677789,0.0279633737059053,-0.108397362677789,0.108397362677789,-0.10916857090401,-0.108397362677789,0,-0.108397362677789,0.0338247345348851,-0.0861584620263965,0.10916857090401,-0.10916857090401
"SNAIL1",-0.108503137773259,0.0060311329369719,0.0270060723839177,-0.0642379939272842,-0.105308252203552,-0.107735305888029,0.0996078385652834,0.0060311329369719,-0.107735305888029,-0.0270060723839177,0.107735305888029,-0.107735305888029,0.108397362677789,0.107735305888029,0,0.107735305888029,-0.0338009984798175,0.0853511664665221,-0.108397362677789,0.108397362677789
"MIR340",0.100905884560118,-0.107849575868368,0.0620812943704161,-0.00257277641173928,0.0652304951027512,0.101948482117461,-0.093373111685859,-0.107849575868368,0.101948482117461,-0.0620812943704161,-0.101948482117461,0.101948482117461,-0.100164285006161,-0.101948482117461,0,-0.101948482117461,0.103675295448138,-0.100072083316681,0.100164285006161,-0.100164285006161
"MIR34",0.107735305888029,-0.0065264053367918,-0.0279633737059053,0.0636041567746757,0.00421304075579438,0.108397362677789,-0.0999230119106233,-0.0065264053367918,0.108397362677789,0.0279633737059053,-0.108397362677789,0.108397362677789,-0.10916857090401,-0.108397362677789,0,-0.108397362677789,0.0338247345348851,-0.0861584620263965,0.10916857090401,-0.10916857090401
"MIR200",0.1275494323529,-0.0427753004743206,-0.030286355760491,0.186259788549921,-0.0147693365431468,0.128480727380136,-0.192589532400235,-0.0427753004743206,0.128480727380136,0.030286355760491,-0.128480727380136,0.128480727380136,-0.125898448899124,-0.128480727380136,0,-0.128480727380136,0.115536140815811,-0.194180365754124,0.125898448899124,-0.125898448899124
"MIR190",0.108397362677789,-0.00801894265022463,-0.024751759099658,0.16516887939203,0.0044451670324889,0.10916857090401,-0.0993731297425165,-0.00801894265022463,0.10916857090401,0.024751759099658,-0.10916857090401,0.10916857090401,-0.10540917240777,-0.10916857090401,0,-0.10916857090401,0.0317881449594623,-0.08496462655863,0.10540917240777,-0.10540917240777
"MIR129",-0.0136023570842896,0.0175553086980667,0.186231516651237,0.00782032340504894,-0.0279395673676003,-0.0124748201261338,-0.00488905811768999,0.0175553086980667,-0.0124748201261338,0.206040257810643,0.0124748201261338,-0.0124748201261338,0.0145612582781457,0.0124748201261338,0,0.0124748201261338,0.0815061906635561,-0.11406653809618,-0.0145612582781457,0.0145612582781457
"MIR1199",-0.100905884560118,0.107849575868368,-0.0620812943704161,0.00257277641173928,-0.0652304951027512,-0.101948482117461,0.093373111685859,0.107849575868368,-0.101948482117461,0.0620812943704161,0.101948482117461,-0.101948482117461,0.100164285006161,0.101948482117461,0,0.101948482117461,-0.103675295448138,0.100072083316681,-0.100164285006161,0.100164285006161
"HAS2",0.101948482117461,-0.105847468386808,0.0616246733658498,-0.00247615805425136,0.067122642690263,0.100164285006161,-0.0931623635299054,-0.105847468386808,0.100164285006161,-0.0616246733658498,-0.100164285006161,0.100164285006161,-0.200927643784787,-0.100164285006161,0,-0.100164285006161,0.104881824901651,-0.0993678579645678,0.100927643784787,-0.100927643784787
"HA",-0.100905884560118,0.107849575868368,-0.0620812943704161,0.00257277641173928,-0.0652304951027512,-0.101948482117461,0.093373111685859,0.107849575868368,-0.101948482117461,0.0620812943704161,0.101948482117461,-0.101948482117461,0.100164285006161,0.101948482117461,0,0.101948482117461,-0.103675295448138,0.100072083316681,-0.100164285006161,0.100164285006161
"GRHL2",-0.00035581388521484,-0.00710114135224113,0.0582522721509982,-0.00281996212292917,0.0571237290496422,0.000879298598243475,0.00638992357711697,-0.00710114135224113,0.000879298598243475,-0.0582522721509982,-0.000879298598243475,0.000879298598243475,0.000649363822138691,-0.000879298598243475,0,-0.000879298598243475,0.000655578671049194,0.00410534394032148,-0.000649363822138691,0.100649363822139
"EXTGFB",0.107735305888029,-0.0065264053367918,-0.0279633737059053,0.0636041567746757,0.00421304075579438,0.108397362677789,-0.0999230119106233,-0.0065264053367918,0.108397362677789,0.0279633737059053,-0.108397362677789,0.108397362677789,-0.10916857090401,-0.108397362677789,0,-0.108397362677789,0.0338247345348851,-0.0861584620263965,0.10916857090401,-0.10916857090401
"ESRP1",0.101948482117461,-0.105847468386808,0.0616246733658498,-0.00247615805425136,0.067122642690263,0.100164285006161,-0.0931623635299054,-0.105847468386808,0.100164285006161,-0.0616246733658498,-0.100164285006161,0.100164285006161,-0.100927643784787,-0.100164285006161,0,-0.100164285006161,0.104881824901651,-0.0993678579645678,0.000927643784786642,-0.100927643784787
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.100905884560118,0.107849575868368,-0.0620812943704161,0.00257277641173928,-0.0652304951027512,-0.101948482117461,0.093373111685859,0.107849575868368,-0.101948482117461,0.0620812943704161,0.101948482117461,-0.101948482117461,0.100164285006161,0.101948482117461,0,0.101948482117461,-0.103675295448138,0.100072083316681,-0.100164285006161,0.100164285006161
"CD24",-0.100905884560118,0.107849575868368,-0.0620812943704161,0.00257277641173928,-0.0652304951027512,-0.101948482117461,0.093373111685859,0.107849575868368,-0.101948482117461,0.0620812943704161,0.101948482117461,-0.101948482117461,0.100164285006161,0.101948482117461,0,0.101948482117461,-0.103675295448138,0.100072083316681,-0.100164285006161,0.100164285006161
