"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0396012423715844,-0.137965736381646,-0.0323830161770168,-0.135190474452052,-0.0201765074532331,-0.140344850398476,0.137965736381646,-0.137965736381646,0.140344850398476,0.0323830161770168,-0.140344850398476,-0.140344850398476,-0.136204248670743,-0.140344850398476,0,-0.140344850398476,0.125437753015339,-0.124111778383764,-0.136204248670743,-0.136204248670743
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.0228466027351742,0.0203122760782899,0.0885532258020334,0.0223008255301261,-0.0239897317128846,0.0196106945932118,-0.0203122760782899,0.0203122760782899,-0.0196106945932118,0.197753703609183,0.0196106945932118,0.0196106945932118,0.0207883443050634,0.0196106945932118,0,0.0196106945932118,0.0534702404050525,-0.0482703131957305,0.0207883443050634,0.0207883443050634
"TGFB",0.111328644044227,-0.00813462491844867,-0.0289403378057786,-0.00790849872580949,-0.0101923894832601,-0.115757068349067,0.00813462491844867,-0.00813462491844867,0.115757068349067,0.0289403378057786,-0.115757068349067,-0.115757068349067,-0.113957582487884,-0.115757068349067,0,-0.115757068349067,-0.0268704883288842,0.0419994751356447,-0.113957582487884,-0.113957582487884
"SNAIL1",-0.11346038783085,0.001461954949966,0.0353071513599497,0.0107526397952065,-0.0937647613681269,0.111328644044227,-0.001461954949966,0.001461954949966,-0.111328644044227,-0.0353071513599497,0.111328644044227,0.111328644044227,0.115757068349067,0.111328644044227,0,0.111328644044227,0.0223843739210988,-0.047695393808092,0.115757068349067,0.115757068349067
"MIR340",-0.140344850398476,0.131952210518001,0.0397684945191795,0.141011612663434,0.0194926911067662,0.136204248670743,-0.131952210518001,0.131952210518001,-0.136204248670743,-0.0397684945191795,0.136204248670743,0.136204248670743,0.140367375263777,0.136204248670743,0,0.136204248670743,-0.132488112727569,0.119816926114498,0.140367375263777,0.140367375263777
"MIR34",0.111328644044227,-0.00813462491844867,-0.0289403378057786,-0.00790849872580949,-0.0101923894832601,-0.115757068349067,0.00813462491844867,-0.00813462491844867,0.115757068349067,0.0289403378057786,-0.115757068349067,-0.115757068349067,-0.113957582487884,-0.115757068349067,0,-0.115757068349067,-0.0268704883288842,0.0419994751356447,-0.113957582487884,-0.113957582487884
"MIR200",0.153273507014375,-0.0471203454195571,-0.058632716908818,0.0509007079304114,-0.0611802443771866,-0.150093046638343,0.0471203454195571,-0.0471203454195571,0.150093046638343,0.058632716908818,-0.150093046638343,-0.150093046638343,-0.149941147904166,-0.150093046638343,0,-0.150093046638343,0.0409155836500024,-0.0325976504736176,-0.149941147904166,-0.149941147904166
"MIR190",-0.115757068349067,0.00465203785377205,0.0280164486724746,-0.100009946034741,-2.11666912988892e-05,0.113957582487884,-0.00465203785377205,0.00465203785377205,-0.113957582487884,-0.0280164486724746,0.113957582487884,0.113957582487884,0.107441291761067,0.113957582487884,0,0.113957582487884,0.033118330924673,-0.0473174694920589,0.107441291761067,0.107441291761067
"MIR129",-0.0196106945932118,0.0226836958503872,0.189390045885715,0.0284152239522168,-0.0164557671184013,0.0207883443050634,-0.0226836958503872,0.0226836958503872,-0.0207883443050634,0.196890507166599,0.0207883443050634,0.0207883443050634,0.025855408388521,0.0207883443050634,0,0.0207883443050634,0.0485421089882147,-0.0445078355914306,0.025855408388521,0.025855408388521
"MIR1199",-0.140344850398476,0.131952210518001,0.0397684945191795,0.141011612663434,0.0194926911067662,0.136204248670743,-0.131952210518001,0.131952210518001,-0.136204248670743,-0.0397684945191795,0.136204248670743,0.136204248670743,0.140367375263777,0.136204248670743,0,0.136204248670743,-0.132488112727569,0.119816926114498,0.140367375263777,0.140367375263777
"HAS2",-0.136204248670743,0.138801525586494,0.0354762570762571,0.143813545030584,0.0284803921474474,0.140367375263777,-0.138801525586494,0.138801525586494,-0.140367375263777,-0.0354762570762571,0.140367375263777,0.140367375263777,0.243166357452072,0.140367375263777,0,0.140367375263777,-0.133126863614724,0.127035235973653,0.143166357452072,0.143166357452072
"HA",-0.140344850398476,0.131952210518001,0.0397684945191795,0.141011612663434,0.0194926911067662,0.136204248670743,-0.131952210518001,0.131952210518001,-0.136204248670743,-0.0397684945191795,0.136204248670743,0.136204248670743,0.140367375263777,0.136204248670743,0,0.136204248670743,-0.132488112727569,0.119816926114498,0.140367375263777,0.140367375263777
"GRHL2",0.223264388800148,-0.209883576281291,-0.0553902948976921,-0.220325239731974,-0.0475572134689069,-0.22127938659459,0.209883576281291,-0.209883576281291,0.22127938659459,0.0553902948976921,-0.22127938659459,-0.22127938659459,-0.225101042645545,-0.22127938659459,0,-0.22127938659459,0.213406078737197,-0.206062636728698,-0.225101042645545,-0.125101042645545
