"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.369121619165596,-0.320511202929204,-0.128174342688556,0.011602763643779,0.121122226506387,-0.457763770535668,-0.320511202929204,-0.320511202929204,-0.457763770535668,0.0767150015045584,0.457763770535668,0.457763770535668,-0.443256770237783,-0.457763770535668,0,-0.457763770535668,-0.313886108379001,-0.325509336035296,0.443256770237783,0.443256770237783
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",-0.0874706704293932,0.0432962816643223,-0.0429626592227954,-0.00565418908176389,-0.0309965137337628,0.0851916168455379,0.0432962816643223,0.0432962816643223,0.0851916168455379,0.0990874255196734,-0.0851916168455379,-0.0851916168455379,0.0807566381434583,0.0851916168455379,0,0.0851916168455379,-0.011629171413118,-0.00900912572188584,-0.0807566381434583,-0.0807566381434583
"TGFB",-0.122958480575634,0.016605126728241,0.0649414347241663,-0.0644258910179236,0.00108990725226276,0.120324965789699,0.016605126728241,0.016605126728241,0.120324965789699,-0.014431048532716,-0.120324965789699,-0.120324965789699,0.119296688154738,0.120324965789699,0,0.120324965789699,0.0372877907861665,0.0856659987680799,-0.119296688154738,-0.119296688154738
"SNAIL1",0.124019300943385,-0.0180549241168047,-0.0651085825740371,0.0645071521913349,-0.101721452539656,-0.122958480575634,-0.0180549241168047,-0.0180549241168047,-0.122958480575634,0.0138992144649452,0.122958480575634,0.122958480575634,-0.120324965789699,-0.122958480575634,0,-0.122958480575634,-0.0377150397773841,-0.0867423928479125,0.120324965789699,0.120324965789699
"MIR340",-0.457763770535668,0.3122677373836,0.126211114268487,-0.0103995116112587,-0.11864746258584,0.443256770237783,0.3122677373836,0.3122677373836,0.443256770237783,-0.0763722155899432,-0.443256770237783,-0.443256770237783,0.422101290203798,0.443256770237783,0,0.443256770237783,0.302183470489313,0.317924809687443,-0.422101290203798,-0.422101290203798
"MIR34",-0.122958480575634,0.016605126728241,0.0649414347241663,-0.0644258910179236,0.00108990725226276,0.120324965789699,0.016605126728241,0.016605126728241,0.120324965789699,-0.014431048532716,-0.120324965789699,-0.120324965789699,0.119296688154738,0.120324965789699,0,0.120324965789699,0.0372877907861665,0.0856659987680799,-0.119296688154738,-0.119296688154738
"MIR200",-0.362121001626024,0.166392202938821,0.12505605908038,0.00193945351899879,-0.109817443437847,0.353141911835126,0.166392202938821,0.166392202938821,0.353141911835126,-0.0644284239142786,-0.353141911835126,-0.353141911835126,0.338103937151582,0.353141911835126,0,0.353141911835126,0.234958236110269,0.324485084820944,-0.338103937151582,-0.338103937151582
"MIR190",0.120324965789699,-0.01610761429043,-0.0626097145305895,-0.0368543365780935,-0.0015077345503129,-0.119296688154738,-0.01610761429043,-0.01610761429043,-0.119296688154738,0.0147390115771507,0.119296688154738,0.119296688154738,-0.113281650560753,-0.119296688154738,0,-0.119296688154738,-0.0332491301027008,-0.085296995078043,0.113281650560753,0.113281650560753
"MIR129",0.0851916168455379,-0.0406168852984461,-0.0589201859654891,0.006527674570634,0.0303240833783353,-0.0807566381434583,-0.0406168852984461,-0.0406168852984461,-0.0807566381434583,-0.0992705277953732,0.0807566381434583,0.0807566381434583,-0.0773289183222958,-0.0807566381434583,0,-0.0807566381434583,0.0126147976964856,0.0113638736102913,0.0773289183222958,0.0773289183222958
"MIR1199",0.457763770535668,-0.3122677373836,-0.126211114268487,0.0103995116112587,0.11864746258584,-0.443256770237783,-0.3122677373836,-0.3122677373836,-0.443256770237783,0.0763722155899432,0.443256770237783,0.443256770237783,-0.422101290203798,-0.443256770237783,0,-0.443256770237783,-0.302183470489313,-0.317924809687443,0.422101290203798,0.422101290203798
"HAS2",0.443256770237783,-0.301098085118057,-0.123928009245656,0.0104961299687466,0.116944529757079,-0.422101290203798,-0.301098085118057,-0.301098085118057,-0.422101290203798,0.0739064621652857,0.422101290203798,0.422101290203798,-0.497928262213977,-0.422101290203798,0,-0.422101290203798,-0.289479425067028,-0.3057769223635,0.397928262213976,0.397928262213976
"HA",-0.457763770535668,0.3122677373836,0.126211114268487,-0.0103995116112587,-0.11864746258584,0.443256770237783,0.3122677373836,0.3122677373836,0.443256770237783,-0.0763722155899432,-0.443256770237783,-0.443256770237783,0.422101290203798,0.443256770237783,0,0.443256770237783,0.302183470489313,0.317924809687443,-0.422101290203798,-0.422101290203798
"GRHL2",-0.172776362462514,0.109050524440059,0.0939104583056556,-0.00702427831411993,-0.0849724024785693,0.167527134407816,0.109050524440059,0.109050524440059,0.167527134407816,-0.0661509355724612,-0.167527134407816,-0.167527134407816,0.157718217210364,0.167527134407816,0,0.167527134407816,0.11078165306457,0.124306705523399,-0.157718217210364,-0.257718217210364
"EXTGFB",-0.122958480575634,0.016605126728241,0.0649414347241663,-0.0644258910179236,0.00108990725226276,0.120324965789699,0.016605126728241,0.016605126728241,0.120324965789699,-0.014431048532716,-0.120324965789699,-0.120324965789699,0.119296688154738,0.120324965789699,0,0.120324965789699,0.0372877907861665,0.0856659987680799,-0.119296688154738,-0.119296688154738
"ESRP1",-0.443256770237783,0.301098085118057,0.123928009245656,-0.0104961299687466,-0.116944529757079,0.422101290203798,0.301098085118057,0.301098085118057,0.422101290203798,-0.0739064621652857,-0.422101290203798,-0.422101290203798,0.397928262213976,0.422101290203798,0,0.422101290203798,0.289479425067028,0.3057769223635,-0.497928262213977,-0.397928262213976
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",0.457763770535668,-0.3122677373836,-0.126211114268487,0.0103995116112587,0.11864746258584,-0.443256770237783,-0.3122677373836,-0.3122677373836,-0.443256770237783,0.0763722155899432,0.443256770237783,0.443256770237783,-0.422101290203798,-0.443256770237783,0,-0.443256770237783,-0.302183470489313,-0.317924809687443,0.422101290203798,0.422101290203798
"CD24",-0.457763770535668,0.3122677373836,0.126211114268487,-0.0103995116112587,-0.11864746258584,0.443256770237783,0.3122677373836,0.3122677373836,0.443256770237783,-0.0763722155899432,-0.443256770237783,-0.443256770237783,0.422101290203798,0.443256770237783,0,0.443256770237783,0.302183470489313,0.317924809687443,-0.422101290203798,-0.422101290203798
