"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.371082087007762,0.37288375469285,0.147011557480329,-0.0155913856738595,0.145206926183146,-0.458929698294306,-0.314556183549738,-0.37288375469285,-0.458929698294306,0.0865470970173277,-0.458929698294306,-0.458929698294306,-0.444958891025912,-0.458929698294306,0,-0.458929698294306,-0.341507525453144,-0.329220796287078,0.444958891025912,0.444958891025912
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.0855832790565807,-0.0581408837725267,-0.0264063234350616,0.00316023873272512,-0.0196226182143551,0.0834260069619391,0.0455716421771905,0.0581408837725267,0.0834260069619391,-0.0382133034031643,0.0834260069619391,0.0834260069619391,0.0789409155061636,0.0834260069619391,0,0.0834260069619391,0.147517772937384,0.144559032027961,-0.0789409155061636,-0.0789409155061636
"TGFB",0.128262625415696,0.133493094571157,0.0895267867335194,-0.0778131897324232,0.0343292131344252,-0.125629110629761,-0.000558104048413655,-0.133493094571157,-0.125629110629761,0.0242592038542676,-0.125629110629761,-0.125629110629761,-0.123829624768578,-0.125629110629761,0,-0.125629110629761,-0.110532272635166,-0.0959505165167324,0.123829624768578,0.123829624768578
"SNAIL1",0.129515403754754,0.135573238650401,0.0900282302831319,-0.0776344151509183,-0.0657587235511612,-0.128262625415696,-0.00170173304436143,-0.135573238650401,-0.128262625415696,0.0249733810309885,-0.128262625415696,-0.128262625415696,-0.125629110629761,-0.128262625415696,0,-0.128262625415696,-0.111173146121992,-0.0976398572253585,0.125629110629761,0.125629110629761
"MIR340",-0.458929698294306,-0.363762935829753,-0.144674380789772,0.0136726864868676,-0.141559905668655,0.444958891025912,0.306532056333507,0.363762935829753,0.444958891025912,-0.0870768570671874,0.444958891025912,0.444958891025912,0.422444022716651,0.444958891025912,0,0.444958891025912,0.326303688522688,0.322336848678184,-0.422444022716651,-0.422444022716651
"MIR34",-0.128262625415696,-0.133493094571157,-0.0895267867335194,0.0778131897324232,-0.0343292131344252,0.125629110629761,0.000558104048413655,0.133493094571157,0.125629110629761,-0.0242592038542676,0.125629110629761,0.125629110629761,0.123829624768578,0.125629110629761,0,0.125629110629761,0.110532272635166,0.0959505165167324,-0.123829624768578,-0.123829624768578
"MIR200",-0.313115633903145,-0.157299033805154,0.036289295661736,0.0145481706493087,-0.0074175851177386,0.305612558872395,0.302417658042147,0.157299033805154,0.305612558872395,0.01716337226387,0.305612558872395,0.305612558872395,0.294422685454674,0.305612558872395,0,0.305612558872395,0.138168853093103,0.135682569496672,-0.294422685454674,-0.294422685454674
"MIR190",-0.125629110629761,-0.132681363751571,-0.0893068131303518,-0.0229928794946987,-0.0331221564956137,0.123829624768578,-0.000829693804427403,0.132681363751571,0.123829624768578,-0.0250951035463046,0.123829624768578,0.123829624768578,0.118315840307425,0.123829624768578,0,0.123829624768578,0.10635553808218,0.0954512762302119,-0.118315840307425,-0.118315840307425
"MIR129",-0.0834260069619391,-0.0545683552846918,0.0744827979038505,0.00347018519651773,-0.0197735719676143,0.0789409155061636,0.0436313896363836,0.0545683552846918,0.0789409155061636,-0.0369839024091806,0.0789409155061636,0.0789409155061636,0.0758112582781457,0.0789409155061636,0,0.0789409155061636,0.146408943368596,0.141666787338941,-0.0758112582781457,-0.0758112582781457
"MIR1199",-0.458929698294306,-0.363762935829753,-0.144674380789772,0.0136726864868676,-0.141559905668655,0.444958891025912,0.306532056333507,0.363762935829753,0.444958891025912,-0.0870768570671874,0.444958891025912,0.444958891025912,0.422444022716651,0.444958891025912,0,0.444958891025912,0.326303688522688,0.322336848678184,-0.422444022716651,-0.422444022716651
"HAS2",-0.444958891025912,-0.346692335197509,-0.140382143346849,0.0137693048443556,-0.140140794978021,0.422444022716651,0.295678526301895,0.346692335197509,0.422444022716651,-0.0829672680260916,0.422444022716651,0.422444022716651,0.499288806431664,0.422444022716651,0,0.422444022716651,0.314309366308352,0.308692482481001,-0.399288806431664,-0.399288806431664
"HA",-0.458929698294306,-0.363762935829753,-0.144674380789772,0.0136726864868676,-0.141559905668655,0.444958891025912,0.306532056333507,0.363762935829753,0.444958891025912,-0.0870768570671874,0.444958891025912,0.444958891025912,0.422444022716651,0.444958891025912,0,0.444958891025912,0.326303688522688,0.322336848678184,-0.422444022716651,-0.422444022716651
"GRHL2",-0.17323636739847,-0.143262791941873,-0.104065727107275,0.00880042116458571,-0.0965454638519225,0.168737029065872,0.105900384211438,0.143262791941873,0.168737029065872,-0.0722206898502043,0.168737029065872,0.168737029065872,0.157654226518101,0.168737029065872,0,0.168737029065872,0.126347156461812,0.127149853786598,-0.157654226518101,-0.257654226518101
"EXTGFB",-0.128262625415696,-0.133493094571157,-0.0895267867335194,0.0778131897324232,-0.0343292131344252,0.125629110629761,0.000558104048413655,0.133493094571157,0.125629110629761,-0.0242592038542676,0.125629110629761,0.125629110629761,0.123829624768578,0.125629110629761,0,0.125629110629761,0.110532272635166,0.0959505165167324,-0.123829624768578,-0.123829624768578
"ESRP1",-0.444958891025912,-0.346692335197509,-0.140382143346849,0.0137693048443556,-0.140140794978021,0.422444022716651,0.295678526301895,0.346692335197509,0.422444022716651,-0.0829672680260916,0.422444022716651,0.422444022716651,0.399288806431664,0.422444022716651,0,0.422444022716651,0.314309366308352,0.308692482481001,-0.499288806431664,-0.399288806431664
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",0.458929698294306,0.363762935829753,0.144674380789772,-0.0136726864868676,0.141559905668655,-0.444958891025912,-0.306532056333507,-0.363762935829753,-0.444958891025912,0.0870768570671874,-0.444958891025912,-0.444958891025912,-0.422444022716651,-0.444958891025912,0,-0.444958891025912,-0.326303688522688,-0.322336848678184,0.422444022716651,0.422444022716651
"CD24",-0.458929698294306,-0.363762935829753,-0.144674380789772,0.0136726864868676,-0.141559905668655,0.444958891025912,0.306532056333507,0.363762935829753,0.444958891025912,-0.0870768570671874,0.444958891025912,0.444958891025912,0.422444022716651,0.444958891025912,0,0.444958891025912,0.326303688522688,0.322336848678184,-0.422444022716651,-0.422444022716651
