"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0418846582998265,-0.0675339007212716,0.0491678226465942,-0.0944261032657179,-0.035727381254715,-0.0500171446949784,0.0675339007212716,-0.106315920437834,-0.0500171446949784,0.0317297128001028,0.0500171446949784,0.0500171446949784,0.0608303707897059,-0.0500171446949784,0,-0.0500171446949784,-0.088655507434376,0.0875404349351674,0.0608303707897059,0.0608303707897059
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",0.181638342504126,-0.0894040074264234,-0.0672493842941369,-0.121024382988155,0.00113936960487543,-0.182403826150612,0.0894040074264234,-0.0915135707438834,-0.182403826150612,-0.112073761381037,0.182403826150612,0.182403826150612,0.181075838177673,-0.182403826150612,0,-0.182403826150612,-0.128304899450711,0.101034200479812,0.181075838177673,0.181075838177673
"TGFB",-0.0795540196125499,-0.0255934827541061,0.0842971918654809,0.128671876387463,-0.0233983912882679,0.0758906387092102,0.0255934827541061,0.101874743469696,0.0758906387092102,0.0239557749459603,-0.0758906387092102,-0.0758906387092102,-0.0806892676723636,0.0758906387092102,0,0.0758906387092102,-0.055026508139372,0.0818941032412439,-0.0806892676723636,-0.0806892676723636
"SNAIL1",0.0768868141164901,0.0215682688864789,-0.08303598536191,-0.12657533811345,-0.0732999858801708,-0.0795540196125499,-0.0215682688864789,-0.10233399605862,-0.0795540196125499,-0.0201721554352477,0.0795540196125499,0.0795540196125499,0.0758906387092102,-0.0795540196125499,0,-0.0795540196125499,0.0597025109876986,-0.0789340195217044,0.0758906387092102,0.0758906387092102
"MIR340",-0.0500171446949784,0.0794695614779888,-0.0531254418426054,0.0875643146478317,0.0253724480082155,0.0608303707897059,-0.0794695614779888,0.107650228608186,0.0608303707897059,-0.0425430502884169,-0.0608303707897059,-0.0608303707897059,-0.0461319850632828,0.0608303707897059,0,0.0608303707897059,0.0745547880099156,-0.0966174985964528,-0.0461319850632828,-0.0461319850632828
"MIR34",-0.0795540196125499,-0.0255934827541061,0.0842971918654809,0.128671876387463,-0.0233983912882679,0.0758906387092102,0.0255934827541061,0.101874743469696,0.0758906387092102,0.0239557749459603,-0.0758906387092102,-0.0758906387092102,-0.0806892676723636,0.0758906387092102,0,0.0758906387092102,-0.055026508139372,0.0818941032412439,-0.0806892676723636,-0.0806892676723636
"MIR200",-0.093931303524147,0.0201015234846469,0.0769504362850718,0.305432787176537,-0.0512529565211234,0.102277815560696,-0.0201015234846469,0.209029134053395,0.102277815560696,0.0337976707014575,-0.102277815560696,-0.102277815560696,-0.0909866763201896,0.102277815560696,0,0.102277815560696,0.00584203122947355,-0.013107981752535,-0.0909866763201896,-0.0909866763201896
"MIR190",-0.0758906387092102,-0.0201732156684816,0.0820534611131712,0.225874342010981,-0.0279944915668194,0.0806892676723636,0.0201732156684816,0.102319886177212,0.0806892676723636,0.0188963820731051,-0.0806892676723636,-0.0806892676723636,-0.0744236035119626,0.0806892676723636,0,0.0806892676723636,-0.0612053138004006,0.077835062650838,-0.0744236035119626,-0.0744236035119626
"MIR129",0.182403826150612,-0.0881721010513079,0.033116724492474,-0.121897868477025,0.000165031742929497,-0.181075838177673,0.0881721010513079,-0.0911132011719709,-0.181075838177673,-0.112936957823622,0.181075838177673,0.181075838177673,0.183013245033113,-0.181075838177673,0,-0.181075838177673,-0.129824406637569,0.100087182307301,0.183013245033113,0.183013245033113
"MIR1199",-0.0500171446949784,0.0794695614779888,-0.0531254418426054,0.0875643146478317,0.0253724480082155,0.0608303707897059,-0.0794695614779888,0.107650228608186,0.0608303707897059,-0.0425430502884169,-0.0608303707897059,-0.0608303707897059,-0.0461319850632828,0.0608303707897059,0,0.0608303707897059,0.0745547880099156,-0.0966174985964528,-0.0461319850632828,-0.0461319850632828
"HAS2",-0.0608303707897059,0.0632419534695589,-0.0479199623905506,0.0967430586091844,0.0390905180176763,0.0461319850632828,-0.0632419534695589,0.105648121126627,0.0461319850632828,-0.0276572055395585,-0.0461319850632828,-0.0461319850632828,0.0337662337662338,0.0461319850632828,0,0.0461319850632828,0.093646342303741,-0.084293554934481,-0.0662337662337662,-0.0662337662337662
"HA",-0.0500171446949784,0.0794695614779888,-0.0531254418426054,0.0875643146478317,0.0253724480082155,0.0608303707897059,-0.0794695614779888,0.107650228608186,0.0608303707897059,-0.0425430502884169,-0.0608303707897059,-0.0608303707897059,-0.0461319850632828,0.0608303707897059,0,0.0608303707897059,0.0745547880099156,-0.0966174985964528,-0.0461319850632828,-0.0461319850632828
"GRHL2",0.00859479397226141,0.0117162627380771,-0.054663651075801,0.000190096988723361,0.0345085917167134,0.0032269969408396,-0.0117162627380771,0.00787873644504269,0.0032269969408396,-0.0496258091308598,-0.0032269969408396,-0.0032269969408396,0.0128239584731731,0.0032269969408396,0,0.0032269969408396,-0.00169110009766255,-0.0156991221702686,0.0128239584731731,-0.0871760415268269
"EXTGFB",-0.0795540196125499,-0.0255934827541061,0.0842971918654809,0.128671876387463,-0.0233983912882679,0.0758906387092102,0.0255934827541061,0.101874743469696,0.0758906387092102,0.0239557749459603,-0.0758906387092102,-0.0758906387092102,-0.0806892676723636,0.0758906387092102,0,0.0758906387092102,-0.055026508139372,0.0818941032412439,-0.0806892676723636,-0.0806892676723636
"ESRP1",0.0608303707897059,-0.0632419534695589,0.0479199623905506,-0.0967430586091844,-0.0390905180176763,-0.0461319850632828,0.0632419534695589,-0.105648121126627,-0.0461319850632828,0.0276572055395585,0.0461319850632828,0.0461319850632828,0.0662337662337662,-0.0461319850632828,0,-0.0461319850632828,-0.093646342303741,0.084293554934481,-0.0337662337662338,0.0662337662337662
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0500171446949784,0.0794695614779888,-0.0531254418426054,0.0875643146478317,0.0253724480082155,0.0608303707897059,-0.0794695614779888,0.107650228608186,0.0608303707897059,-0.0425430502884169,-0.0608303707897059,-0.0608303707897059,-0.0461319850632828,0.0608303707897059,0,0.0608303707897059,0.0745547880099156,-0.0966174985964528,-0.0461319850632828,-0.0461319850632828
"CD24",-0.0500171446949784,0.0794695614779888,-0.0531254418426054,0.0875643146478317,0.0253724480082155,0.0608303707897059,-0.0794695614779888,0.107650228608186,0.0608303707897059,-0.0425430502884169,-0.0608303707897059,-0.0608303707897059,-0.0461319850632828,0.0608303707897059,0,0.0608303707897059,0.0745547880099156,-0.0966174985964528,-0.0461319850632828,-0.0461319850632828
