"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0662460261489685,0.0324509463850186,-0.164187601588313,0.0372397984437933,0.156479892800788,0.0294451218595881,-0.11221552160709,0.0324509463850186,-0.0294451218595881,-0.0957536620655746,-0.0294451218595881,-0.0294451218595881,-0.0339431856069816,-0.0294451218595881,0,0.0294451218595881,-0.0907999935736563,-0.139599887129018,-0.0339431856069816,0.0339431856069816
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",0.19301281878992,0.081064737180198,-0.0257524665311246,0.118619438230845,0.0228598220586842,0.188176353932579,-0.102869647569101,0.081064737180198,-0.188176353932579,-0.0320125360115455,-0.188176353932579,-0.188176353932579,-0.193262798432704,-0.188176353932579,0,0.188176353932579,0.0188845994695616,0.0450106671465587,-0.193262798432704,0.193262798432704
"TGFB",-0.102506999033207,-0.122334845341586,-0.0975434358141906,-0.154108133288482,0.0403862705501609,-0.0906635386830529,-0.0314098863096245,-0.122334845341586,0.0906635386830529,-0.0311660430138252,0.0906635386830529,0.0906635386830529,0.106259082813301,0.0906635386830529,0,-0.0906635386830529,0.0245984778517434,-0.08904772835675,0.106259082813301,-0.106259082813301
"SNAIL1",-0.0939598177844703,-0.126089910627493,-0.0953705137658696,-0.14564071901902,-0.0528905701245533,-0.102506999033207,-0.0206669777098946,-0.126089910627493,0.102506999033207,-0.0238571233967457,0.102506999033207,0.102506999033207,0.0906635386830529,0.102506999033207,0,-0.102506999033207,0.0164095388534049,-0.0808252735802513,0.0906635386830529,-0.0906635386830529
"MIR340",0.0294451218595881,0.0344432695434905,-0.165028985196914,0.0298576846226551,0.15547044962267,0.0339431856069816,-0.115743213071173,0.0344432695434905,-0.0339431856069816,-0.0965950456741754,-0.0339431856069816,-0.0339431856069816,-0.024342505912844,-0.0339431856069816,0,0.0339431856069816,-0.0857640223506348,-0.142767721426916,-0.024342505912844,0.024342505912844
"MIR34",0.102506999033207,0.122334845341586,0.0975434358141906,0.154108133288482,-0.0403862705501609,0.0906635386830529,0.0314098863096245,0.122334845341586,-0.0906635386830529,0.0311660430138252,-0.0906635386830529,-0.0906635386830529,-0.106259082813301,-0.0906635386830529,0,0.0906635386830529,-0.0245984778517434,0.08904772835675,-0.106259082813301,0.106259082813301
"MIR200",-0.0817866177842443,-0.180291901715712,-0.0357335225081429,-0.079589678796082,-0.00276679709014536,-0.0908359939922921,0.0352229781078098,-0.180291901715712,0.0908359939922921,-0.0155258150406534,0.0908359939922921,0.0908359939922921,0.07731700665052,0.0908359939922921,0,-0.0908359939922921,0.101135713616863,0.0326440030232187,0.07731700665052,-0.07731700665052
"MIR190",0.0906635386830529,0.126445869169813,0.0934519267952728,0.0441033917047931,-0.0493927700859083,0.106259082813301,0.0164583283101482,0.126445869169813,-0.106259082813301,0.0203873364586118,-0.106259082813301,-0.106259082813301,-0.0869608371992664,-0.106259082813301,0,0.106259082813301,-0.0145536038441493,0.0774783773691225,-0.0869608371992664,0.0869608371992664
"MIR129",0.188176353932579,0.0815882973896221,0.0719462782387499,0.114815549811572,0.0189487475424223,0.193262798432704,-0.108598012213388,0.0815882973896221,-0.193262798432704,-0.0367993526476951,-0.193262798432704,-0.193262798432704,-0.185960264900662,-0.193262798432704,0,0.193262798432704,0.022498562508576,0.0404291467984655,-0.185960264900662,0.185960264900662
"MIR1199",-0.0294451218595881,-0.0344432695434905,0.165028985196914,-0.0298576846226551,-0.15547044962267,-0.0339431856069816,0.115743213071173,-0.0344432695434905,0.0339431856069816,0.0965950456741754,0.0339431856069816,0.0339431856069816,0.024342505912844,0.0339431856069816,0,-0.0339431856069816,0.0857640223506348,0.142767721426916,0.024342505912844,-0.024342505912844
"HAS2",0.0339431856069816,0.0284369470988119,-0.166398848210613,0.0372972981492251,0.157457204589557,0.024342505912844,-0.109842264704471,0.0284369470988119,-0.024342505912844,-0.0952251826604768,-0.024342505912844,-0.024342505912844,0.0636982065553494,-0.024342505912844,0,0.024342505912844,-0.0926483374677391,-0.13854236931424,-0.0363017934446506,0.0363017934446506
"HA",0.0294451218595881,0.0344432695434905,-0.165028985196914,0.0298576846226551,0.15547044962267,0.0339431856069816,-0.115743213071173,0.0344432695434905,-0.0339431856069816,-0.0965950456741754,-0.0339431856069816,-0.0339431856069816,-0.024342505912844,-0.0339431856069816,0,0.0339431856069816,-0.0857640223506348,-0.142767721426916,-0.024342505912844,0.024342505912844
"GRHL2",0.0177897771149791,0.0212754815572876,0.116094263399562,0.0234296311815466,-0.102707654839127,0.0119671039786757,0.020219873128175,0.0212754815572876,-0.0119671039786757,0.0787535758648948,-0.0119671039786757,-0.0119671039786757,-0.0221581867812234,-0.0119671039786757,0,0.0119671039786757,0.000278628399716817,0.0323940217231129,-0.0221581867812234,-0.0778418132187766
"EXTGFB",0.102506999033207,0.122334845341586,0.0975434358141906,0.154108133288482,-0.0403862705501609,0.0906635386830529,0.0314098863096245,0.122334845341586,-0.0906635386830529,0.0311660430138252,-0.0906635386830529,-0.0906635386830529,-0.106259082813301,-0.0906635386830529,0,0.0906635386830529,-0.0245984778517434,0.08904772835675,-0.106259082813301,0.106259082813301
"ESRP1",-0.0339431856069816,-0.0284369470988119,0.166398848210613,-0.0372972981492251,-0.157457204589557,-0.024342505912844,0.109842264704471,-0.0284369470988119,0.024342505912844,0.0952251826604768,0.024342505912844,0.024342505912844,0.0363017934446506,0.024342505912844,0,-0.024342505912844,0.0926483374677391,0.13854236931424,-0.0636982065553494,-0.0363017934446506
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",0.0294451218595881,0.0344432695434905,-0.165028985196914,0.0298576846226551,0.15547044962267,0.0339431856069816,-0.115743213071173,0.0344432695434905,-0.0339431856069816,-0.0965950456741754,-0.0339431856069816,-0.0339431856069816,-0.024342505912844,-0.0339431856069816,0,0.0339431856069816,-0.0857640223506348,-0.142767721426916,-0.024342505912844,0.024342505912844
