"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0726737869676188,-0.169968716087472,0.0780559924507414,-0.154755158450981,-0.0978283114741666,-0.17323403959062,0.169968716087472,-0.140924658207447,-0.17323403959062,0.0780559924507414,0.17323403959062,-0.17323403959062,0.171714826007063,-0.17323403959062,0,-0.17323403959062,0.159188572548247,0.149152290539273,0.171714826007063,-0.171714826007063
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",0.0733378108433586,-0.238412649682271,0.230013477282481,0.0809486369770318,-0.455011068250618,-0.0690928560764831,0.238412649682271,0.15985674450792,-0.0690928560764831,0.0805893533600304,0.0690928560764831,-0.0690928560764831,0.0629540437487457,-0.0690928560764831,0,-0.0690928560764831,0.160135096963703,0.0236074603347383,0.0629540437487457,-0.0629540437487457
"TGFB",0.285854424463992,-0.451853330855406,0.256660214247327,0.0362195752829729,-0.552695336106059,-0.279719364878881,0.451853330855406,0.14845636297615,-0.279719364878881,0.256660214247327,0.279719364878881,-0.279719364878881,0.271493143799189,-0.279719364878881,0,-0.279719364878881,0.160900674398395,-0.0741963134223486,0.271493143799189,-0.271493143799189
"SNAIL1",-0.290269457804061,0.460146892314208,-0.262388826920173,-0.033505452091034,0.460313850775497,0.285854424463992,-0.460146892314208,-0.149239793863138,0.285854424463992,-0.262388826920173,-0.285854424463992,0.285854424463992,-0.279719364878881,0.285854424463992,0,0.285854424463992,-0.166526119449428,0.0738973150668395,-0.279719364878881,0.279719364878881
"MIR340",-0.17323403959062,0.168963415411179,-0.0788973760593422,0.155958410483501,0.0977957487910015,0.171714826007063,-0.168963415411179,0.140065583084069,0.171714826007063,-0.0788973760593422,-0.171714826007063,0.171714826007063,-0.172819328980725,0.171714826007063,0,0.171714826007063,-0.160291690054242,-0.147964352677562,-0.172819328980725,0.172819328980725
"MIR34",0.285854424463992,-0.451853330855406,0.256660214247327,0.0362195752829729,-0.552695336106059,-0.279719364878881,0.451853330855406,0.14845636297615,-0.279719364878881,0.256660214247327,0.279719364878881,-0.279719364878881,0.271493143799189,-0.279719364878881,0,-0.279719364878881,0.160900674398395,-0.0741963134223486,0.271493143799189,-0.271493143799189
"MIR200",0.24330034606631,-0.378260904392061,0.199948523173273,0.0443927119230252,-0.355435656541199,-0.239030446224454,0.378260904392061,-0.00387285582751496,-0.239030446224454,0.199948523173273,0.239030446224454,-0.239030446224454,0.234422851287745,-0.239030446224454,0,-0.239030446224454,0.196699023083335,0.0328393714275365,0.234422851287745,-0.234422851287745
"MIR190",0.279719364878881,-0.441143721009896,0.25107288472687,0.140344753092361,-0.540996171760655,-0.271493143799189,0.441143721009896,0.147801741347452,-0.271493143799189,0.25107288472687,0.271493143799189,-0.271493143799189,0.258460562345555,-0.271493143799189,0,-0.271493143799189,0.152650760694564,-0.0756072098842544,0.258460562345555,-0.258460562345555
"MIR129",-0.0690928560764831,0.230620841859666,-0.326875401968673,-0.0831746161260879,0.445885227712673,0.0629540437487457,-0.230620841859666,-0.159610363232897,0.0629540437487457,-0.0774766146731353,-0.0629540437487457,0.0629540437487457,-0.0538631346578366,0.0629540437487457,0,0.0629540437487457,-0.154632016881567,-0.0219949699328955,-0.0538631346578366,0.0538631346578366
"MIR1199",0.17323403959062,-0.168963415411179,0.0788973760593422,-0.155958410483501,-0.0977957487910015,-0.171714826007063,0.168963415411179,-0.140065583084069,-0.171714826007063,0.0788973760593422,0.171714826007063,-0.171714826007063,0.172819328980725,-0.171714826007063,0,-0.171714826007063,0.160291690054242,0.147964352677562,0.172819328980725,-0.172819328980725
"HAS2",0.171714826007063,-0.169068789489155,0.0760663258310317,-0.152963241401375,-0.0976065340322503,-0.172819328980725,0.169068789489155,-0.141330072019791,-0.172819328980725,0.0760663258310317,0.172819328980725,-0.172819328980725,0.0695114409400124,-0.172819328980725,0,-0.172819328980725,0.157381824901651,0.149900972395871,0.169511440940012,-0.169511440940012
"HA",-0.17323403959062,0.168963415411179,-0.0788973760593422,0.155958410483501,0.0977957487910015,0.171714826007063,-0.168963415411179,0.140065583084069,0.171714826007063,-0.0788973760593422,-0.171714826007063,0.171714826007063,-0.172819328980725,0.171714826007063,0,0.171714826007063,-0.160291690054242,-0.147964352677562,-0.172819328980725,0.172819328980725
"GRHL2",-0.299693692955519,0.299415862993083,-0.0961309348408455,0.267983545261906,0.121988162106781,0.298855580913173,-0.299415862993083,0.245033631614658,0.298855580913173,-0.0961309348408455,-0.298855580913173,0.298855580913173,-0.298855580913173,0.298855580913173,0,0.298855580913173,-0.274444069959334,-0.250092991560844,-0.298855580913173,0.398855580913173
"EXTGFB",-0.285854424463992,0.451853330855406,-0.256660214247327,-0.0362195752829729,0.552695336106059,0.279719364878881,-0.451853330855406,-0.14845636297615,0.279719364878881,-0.256660214247327,-0.279719364878881,0.279719364878881,-0.271493143799189,0.279719364878881,0,0.279719364878881,-0.160900674398395,0.0741963134223486,-0.271493143799189,0.271493143799189
"ESRP1",0.171714826007063,-0.169068789489155,0.0760663258310317,-0.152963241401375,-0.0976065340322503,-0.172819328980725,0.169068789489155,-0.141330072019791,-0.172819328980725,0.0760663258310317,0.172819328980725,-0.172819328980725,0.169511440940012,-0.172819328980725,0,-0.172819328980725,0.157381824901651,0.149900972395871,0.0695114409400124,-0.169511440940012
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.17323403959062,0.168963415411179,-0.0788973760593422,0.155958410483501,0.0977957487910015,0.171714826007063,-0.168963415411179,0.140065583084069,0.171714826007063,-0.0788973760593422,-0.171714826007063,0.171714826007063,-0.172819328980725,0.171714826007063,0,0.171714826007063,-0.160291690054242,-0.147964352677562,-0.172819328980725,0.172819328980725
"CD24",-0.17323403959062,0.168963415411179,-0.0788973760593422,0.155958410483501,0.0977957487910015,0.171714826007063,-0.168963415411179,0.140065583084069,0.171714826007063,-0.0788973760593422,-0.171714826007063,0.171714826007063,-0.172819328980725,0.171714826007063,0,0.171714826007063,-0.160291690054242,-0.147964352677562,-0.172819328980725,0.172819328980725
