"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0349317783316511,-0.07923589385184,0.0948749919956191,0.00385794341511175,0.0776841302466521,0.06513952654764,-0.07923589385184,-0.07923589385184,-0.06513952654764,-0.058962627130691,0.06513952654764,0.06513952654764,0.0647522760263412,-0.06513952654764,0,-0.06513952654764,0.00629861444213672,-0.0912002581010253,0.0647522760263412,0.0647522760263412
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",0.0137492939641042,-0.018460927688904,0.008756710147373,0.00590477390979196,0.0252504723983972,0.013818883386512,-0.018460927688904,-0.018460927688904,-0.013818883386512,0.0185908763773138,0.013818883386512,0.013818883386512,0.0141446162855348,-0.013818883386512,0,-0.013818883386512,0.10078747581656,-0.117841786436974,0.0141446162855348,0.0141446162855348
"TGFB",0.0716381356436954,-0.13277166277087,0.13331088585051,0.0975873529338448,0.0936032469445605,0.0715351490319549,-0.13277166277087,-0.13277166277087,-0.0715351490319549,-0.0438442737562353,0.0715351490319549,0.0715351490319549,0.0714494592290414,-0.0715351490319549,0,-0.0715351490319549,0.0237745612164423,-0.164982586669716,0.0714494592290414,0.0714494592290414
"SNAIL1",0.0716482386948168,-0.132834697439938,0.133356471627747,0.0977011185766206,-0.00630881636985308,0.0716381356436954,-0.132834697439938,-0.132834697439938,-0.0716381356436954,-0.0437986879789978,0.0716381356436954,0.0716381356436954,0.0715351490319549,-0.0716381356436954,0,-0.0716381356436954,0.0238220333265776,-0.165057336258594,0.0715351490319549,0.0715351490319549
"MIR340",-0.06513952654764,0.0790348337165813,-0.0949684790632414,-0.00382542308990849,-0.0775864421971568,-0.0647522760263412,0.0790348337165813,0.0790348337165813,0.0647522760263412,0.0589314647748169,-0.0647522760263412,-0.0647522760263412,-0.0641575436559079,0.0647522760263412,0,0.0647522760263412,-0.00625065281144127,0.0910784183203369,-0.0641575436559079,-0.0641575436559079
"MIR34",-0.0716381356436954,0.13277166277087,-0.13331088585051,-0.0975873529338448,-0.0936032469445605,-0.0715351490319549,0.13277166277087,0.13277166277087,0.0715351490319549,0.0438442737562353,-0.0715351490319549,-0.0715351490319549,-0.0714494592290414,0.0715351490319549,0,0.0715351490319549,-0.0237745612164423,0.164982586669716,-0.0714494592290414,-0.0714494592290414
"MIR200",-0.0777523126639746,0.201878651972876,-0.148368470314157,-0.210671480588428,-0.135332876172956,-0.0774887385996626,0.201878651972876,0.201878651972876,0.0774887385996626,0.0738701234637219,-0.0774887385996626,-0.0774887385996626,-0.0772355740427005,0.0774887385996626,0,0.0774887385996626,-0.0113517796331935,0.221980945117113,-0.0772355740427005,-0.0772355740427005
"MIR190",0.0715351490319549,-0.132535998984539,0.133178901688609,0.197634768770734,0.0936032469445605,0.0714494592290414,-0.132535998984539,-0.132535998984539,-0.0714494592290414,-0.0437122895943347,0.0714494592290414,0.0714494592290414,0.0717000857954575,-0.0714494592290414,0,-0.0714494592290414,0.0236710058143022,-0.164700407377335,0.0717000857954575,0.0717000857954575
"MIR129",-0.013818883386512,0.0185841183264156,-0.108547505126453,-0.00587659695853809,-0.0252367493299191,-0.0141446162855348,0.0185841183264156,0.0185841183264156,0.0141446162855348,-0.0186693487811852,-0.0141446162855348,-0.0141446162855348,-0.0139955849889625,0.0141446162855348,0,0.0141446162855348,-0.100828543578367,0.117918571694204,-0.0139955849889625,-0.0139955849889625
"MIR1199",-0.06513952654764,0.0790348337165813,-0.0949684790632414,-0.00382542308990849,-0.0775864421971568,-0.0647522760263412,0.0790348337165813,0.0790348337165813,0.0647522760263412,0.0589314647748169,-0.0647522760263412,-0.0647522760263412,-0.0641575436559079,0.0647522760263412,0,0.0647522760263412,-0.00625065281144127,0.0910784183203369,-0.0641575436559079,-0.0641575436559079
"HAS2",-0.0647522760263412,0.078613337404674,-0.0952424516659811,-0.00392204144739642,-0.0776810495765324,-0.0641575436559079,0.078613337404674,0.078613337404674,0.0641575436559079,0.0590227889757301,-0.0641575436559079,-0.0641575436559079,0.0345701917130489,0.0641575436559079,0,0.0641575436559079,-0.0060377358490566,0.0906382774752665,-0.0654298082869511,-0.0654298082869511
"HA",-0.06513952654764,0.0790348337165813,-0.0949684790632414,-0.00382542308990849,-0.0775864421971568,-0.0647522760263412,0.0790348337165813,0.0790348337165813,0.0647522760263412,0.0589314647748169,-0.0647522760263412,-0.0647522760263412,-0.0641575436559079,0.0647522760263412,0,0.0647522760263412,-0.00625065281144127,0.0910784183203369,-0.0641575436559079,-0.0641575436559079
"GRHL2",0.141838275348451,-0.175127086335,0.115029802914886,0.0116576124701963,0.102352850555662,0.141397163747215,-0.175127086335,-0.175127086335,-0.141397163747215,-0.0771914676640261,0.141397163747215,0.141397163747215,0.141269775212184,-0.141397163747215,0,-0.141397163747215,0.0048230922323997,-0.184355282920435,0.141269775212184,0.0412697752121836
"EXTGFB",0.0716381356436954,-0.13277166277087,0.13331088585051,0.0975873529338448,0.0936032469445605,0.0715351490319549,-0.13277166277087,-0.13277166277087,-0.0715351490319549,-0.0438442737562353,0.0715351490319549,0.0715351490319549,0.0714494592290414,-0.0715351490319549,0,-0.0715351490319549,0.0237745612164423,-0.164982586669716,0.0714494592290414,0.0714494592290414
"ESRP1",-0.0647522760263412,0.078613337404674,-0.0952424516659811,-0.00392204144739642,-0.0776810495765324,-0.0641575436559079,0.078613337404674,0.078613337404674,0.0641575436559079,0.0590227889757301,-0.0641575436559079,-0.0641575436559079,-0.0654298082869511,0.0641575436559079,0,0.0641575436559079,-0.0060377358490566,0.0906382774752665,-0.165429808286951,-0.0654298082869511
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
