"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.00820307311738188,-0.0931811555135052,-0.0450926635586632,-0.0908282306292283,0.0449226551046451,-0.0914607753088176,0.0971931655093943,-0.0931811555135052,-0.0914607753088176,-0.0677102978771898,-0.0914607753088176,0.0914607753088176,-0.091252255797349,-0.0914607753088176,0,-0.0914607753088176,0.0978929473280959,-0.102736100550554,-0.091252255797349,0.091252255797349
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.216679443498518,0.201297538351713,-0.0191059680319142,0.206610008404268,-0.181469782406615,0.216348893742081,-0.0182706405189017,0.201297538351713,0.216348893742081,0.216035104434021,0.216348893742081,-0.216348893742081,0.216373950118929,0.216348893742081,0,0.216348893742081,-0.266372744456327,0.248876447269276,0.216373950118929,-0.216373950118929
"TGFB",0.201817393680296,-0.254420763327912,-0.0648023221962165,-0.271125352839762,0.203625730822395,-0.201626132829921,-0.0542380223811735,-0.254420763327912,-0.201626132829921,-0.186983387219757,-0.201626132829921,0.201626132829921,-0.202483030859055,-0.201626132829921,0,-0.201626132829921,0.242097413252537,-0.232284939949326,-0.202483030859055,0.202483030859055
"SNAIL1",0.202241721827396,-0.254862006011388,-0.0651822036731957,-0.270556524625883,0.10433721855123,-0.201817393680296,-0.0544451362938255,-0.254862006011388,-0.201817393680296,-0.187819126469112,-0.201817393680296,0.201817393680296,-0.201626132829921,-0.201817393680296,0,-0.201817393680296,0.241812580591725,-0.232793237153691,-0.201626132829921,0.201626132829921
"MIR340",0.0914607753088176,-0.0927973134371024,-0.0448122023557962,-0.090405466401586,0.0444342148571687,-0.091252255797349,0.0973211128681953,-0.0927973134371024,-0.091252255797349,-0.0670558884038336,-0.091252255797349,0.091252255797349,-0.0909973704957347,-0.091252255797349,0,-0.091252255797349,0.0974612926518369,-0.102309661318144,-0.0909973704957347,0.0909973704957347
"MIR34",0.201817393680296,-0.254420763327912,-0.0648023221962165,-0.271125352839762,0.203625730822395,-0.201626132829921,-0.0542380223811735,-0.254420763327912,-0.201626132829921,-0.186983387219757,-0.201626132829921,0.201626132829921,-0.202483030859055,-0.201626132829921,0,-0.201626132829921,0.242097413252537,-0.232284939949326,-0.202483030859055,0.202483030859055
"MIR200",-0.0333781838576431,-0.0550475309993175,-0.0726682829259857,0.0389191627878914,0.132532415591707,0.0329037505418814,-0.175061146329218,-0.0550475309993175,0.0329037505418814,-0.146203407201454,0.0329037505418814,-0.0329037505418814,0.0315366619342865,0.0329037505418814,0,0.0329037505418814,0.0549180649962138,-0.052848990869531,0.0315366619342865,-0.0315366619342865
"MIR190",0.201626132829921,-0.254813536305131,-0.0639664225041796,-0.173922887216244,0.202790076226295,-0.202483030859055,-0.0535834007524749,-0.254813536305131,-0.202483030859055,-0.186499445292789,-0.202483030859055,0.202483030859055,-0.205490549656048,-0.202483030859055,0,-0.202483030859055,0.24461726137128,-0.232480294844051,-0.205490549656048,0.205490549656048
"MIR129",0.216348893742081,-0.200989561757934,-0.0802664169053243,-0.207765263405677,0.180715013640319,-0.216373950118929,0.0186094147720585,-0.200989561757934,-0.216373950118929,-0.21532885279918,-0.216373950118929,0.216373950118929,-0.217715231788079,-0.216373950118929,0,-0.216373950118929,0.26727623521608,-0.24854371115461,-0.217715231788079,0.217715231788079
"MIR1199",-0.0914607753088176,0.0927973134371024,0.0448122023557962,0.090405466401586,-0.0444342148571687,0.091252255797349,-0.0973211128681953,0.0927973134371024,0.091252255797349,0.0670558884038336,0.091252255797349,-0.091252255797349,0.0909973704957347,0.091252255797349,0,0.091252255797349,-0.0974612926518369,0.102309661318144,0.0909973704957347,-0.0909973704957347
"HAS2",-0.091252255797349,0.0922704430472183,0.0441729329494035,0.091661505048929,-0.0437719632015396,0.0909973704957347,-0.0975318610241489,0.0922704430472183,0.0909973704957347,0.0665992673992674,0.0909973704957347,-0.0909973704957347,-0.00773036487322202,0.0909973704957347,0,0.0909973704957347,-0.0983839328221704,0.101957548642088,0.092269635126778,-0.092269635126778
"HA",0.0914607753088176,-0.0927973134371024,-0.0448122023557962,-0.090405466401586,0.0444342148571687,-0.091252255797349,0.0973211128681953,-0.0927973134371024,-0.091252255797349,-0.0670558884038336,-0.091252255797349,0.091252255797349,-0.0909973704957347,-0.091252255797349,0,-0.091252255797349,0.0974612926518369,-0.102309661318144,-0.0909973704957347,0.0909973704957347
"GRHL2",0.192913888913532,-0.204683987319863,-0.0628719349425255,-0.199005572149303,0.069183881570084,-0.192693333112915,0.186504523011078,-0.204683987319863,-0.192693333112915,-0.0867716232685515,-0.192693333112915,0.192693333112915,-0.192820721647947,-0.192693333112915,0,-0.192693333112915,0.207186277544961,-0.209726461456686,-0.192820721647947,0.0928207216479468
"EXTGFB",-0.201817393680296,0.254420763327912,0.0648023221962165,0.271125352839762,-0.203625730822395,0.201626132829921,0.0542380223811735,0.254420763327912,0.201626132829921,0.186983387219757,0.201626132829921,-0.201626132829921,0.202483030859055,0.201626132829921,0,0.201626132829921,-0.242097413252537,0.232284939949326,0.202483030859055,-0.202483030859055
"ESRP1",-0.091252255797349,0.0922704430472183,0.0441729329494035,0.091661505048929,-0.0437719632015396,0.0909973704957347,-0.0975318610241489,0.0922704430472183,0.0909973704957347,0.0665992673992674,0.0909973704957347,-0.0909973704957347,0.092269635126778,0.0909973704957347,0,0.0909973704957347,-0.0983839328221704,0.101957548642088,0.192269635126778,-0.092269635126778
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0914607753088176,0.0927973134371024,0.0448122023557962,0.090405466401586,-0.0444342148571687,0.091252255797349,-0.0973211128681953,0.0927973134371024,0.091252255797349,0.0670558884038336,0.091252255797349,-0.091252255797349,0.0909973704957347,0.091252255797349,0,0.091252255797349,-0.0974612926518369,0.102309661318144,0.0909973704957347,-0.0909973704957347
"CD24",-0.0914607753088176,0.0927973134371024,0.0448122023557962,0.090405466401586,-0.0444342148571687,0.091252255797349,-0.0973211128681953,0.0927973134371024,0.091252255797349,0.0670558884038336,0.091252255797349,-0.091252255797349,0.0909973704957347,0.091252255797349,0,0.091252255797349,-0.0974612926518369,0.102309661318144,0.0909973704957347,-0.0909973704957347
