"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.00180626153219022,0.11856538261025,-0.125244304981854,0.11037114612489,-0.109140822254391,0.10169421100759,0.11856538261025,0.11856538261025,-0.10169421100759,-0.0753093413712741,-0.10169421100759,-0.10169421100759,-0.101664422505952,-0.10169421100759,0,0.10169421100759,0.0810052189546212,-0.0461592805929911,-0.101664422505952,0.101664422505952
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",-0.157853718477889,-0.0843060204156871,-0.0501606820917169,-0.107630733096127,0.0217290631471624,-0.158149473523122,-0.0843060204156871,-0.0843060204156871,0.158149473523122,-0.105866214863195,0.158149473523122,0.158149473523122,0.157122162072357,0.158149473523122,0,-0.158149473523122,0.0134060744845474,0.00915258306131941,0.157122162072357,-0.157122162072357
"TGFB",-0.0613720130821749,0.0285983573311698,-0.0775162326580288,0.032371977628327,-0.018113634200524,-0.0616515481711847,0.0285983573311698,0.0285983573311698,0.0616515481711847,-0.0195037047850886,0.0616515481711847,0.0616515481711847,0.0607089603391368,0.0616515481711847,0,-0.0616515481711847,-0.0406104051554702,0.121135660280417,0.0607089603391368,-0.0607089603391368
"SNAIL1",0.0612810856220819,-0.0288414910547178,0.0782000193165913,-0.0319656717612702,-0.0822141298093889,0.0613720130821749,-0.0288414910547178,-0.0288414910547178,-0.0613720130821749,0.0194277284896928,-0.0613720130821749,-0.0613720130821749,-0.0616515481711847,-0.0613720130821749,0,0.0613720130821749,0.0409189738713497,-0.121150610198193,-0.0616515481711847,0.0616515481711847
"MIR340",-0.10169421100759,-0.118291209698534,0.125337792049476,-0.111184154254972,0.109010571521731,-0.101664422505952,-0.118291209698534,-0.118291209698534,0.101664422505952,0.0740316847804358,0.101664422505952,0.101664422505952,0.102259154876385,0.101664422505952,0,-0.101664422505952,-0.0814848352615757,0.0459460609767864,0.102259154876385,-0.102259154876385
"MIR34",-0.0613720130821749,0.0285983573311698,-0.0775162326580288,0.032371977628327,-0.018113634200524,-0.0616515481711847,0.0285983573311698,0.0285983573311698,0.0616515481711847,-0.0195037047850886,0.0616515481711847,0.0616515481711847,0.0607089603391368,0.0616515481711847,0,-0.0616515481711847,-0.0406104051554702,0.121135660280417,0.0607089603391368,-0.0607089603391368
"MIR200",-0.0962482450096689,-0.0213399520697213,-0.0439076566730779,0.0896147733720667,-0.00493005546445421,-0.095844098111057,-0.0213399520697213,-0.0213399520697213,0.095844098111057,-0.0223552773171575,0.095844098111057,0.095844098111057,0.0959959968452343,0.095844098111057,0,-0.095844098111057,-0.096076235261048,0.17383471094319,0.0959959968452343,-0.0959959968452343
"MIR190",0.0616515481711847,-0.0286769119266136,0.076944301289793,-0.133178046855449,0.0179279331791684,0.0607089603391368,-0.0286769119266136,-0.0286769119266136,-0.0607089603391368,0.0178759001216482,-0.0607089603391368,-0.0607089603391368,-0.0602077072063047,-0.0607089603391368,0,0.0607089603391368,0.04043781281857,-0.120636419993897,-0.0602077072063047,0.0602077072063047
"MIR129",-0.158149473523122,-0.0843984133938208,0.051460656820417,-0.106531831997226,0.0217427862156405,-0.157122162072357,-0.0843984133938208,-0.0843984133938208,0.157122162072357,-0.103695145022756,0.157122162072357,0.157122162072357,0.155929911699779,0.157122162072357,0,-0.157122162072357,0.0136114132935824,0.00848711083198744,0.155929911699779,-0.155929911699779
"MIR1199",-0.10169421100759,-0.118291209698534,0.125337792049476,-0.111184154254972,0.109010571521731,-0.101664422505952,-0.118291209698534,-0.118291209698534,0.101664422505952,0.0740316847804358,0.101664422505952,0.101664422505952,0.102259154876385,0.101664422505952,0,-0.101664422505952,-0.0814848352615757,0.0459460609767864,0.102259154876385,-0.102259154876385
"HAS2",-0.101664422505952,-0.119239576400325,0.127803545474134,-0.109928115607629,0.108348319866102,-0.102259154876385,-0.119239576400325,-0.119239576400325,0.102259154876385,0.0755841961959609,0.102259154876385,0.102259154876385,0.199969078540507,0.102259154876385,0,-0.102259154876385,-0.0809880290160114,0.0460340891458005,0.0999690785405071,-0.0999690785405071
"HA",-0.10169421100759,-0.118291209698534,0.125337792049476,-0.111184154254972,0.109010571521731,-0.101664422505952,-0.118291209698534,-0.118291209698534,0.101664422505952,0.0740316847804358,0.101664422505952,0.101664422505952,0.102259154876385,0.101664422505952,0,-0.101664422505952,-0.0814848352615757,0.0459460609767864,0.102259154876385,-0.102259154876385
"GRHL2",-0.00621916458694231,0.00290571979904142,-0.0945036592558321,-0.00108703448355809,-0.0791989449960945,-0.00639560922743635,0.00290571979904142,0.00290571979904142,0.00639560922743635,-0.0656645932615335,0.00639560922743635,0.00639560922743635,0.00537650094718158,0.00639560922743635,0,-0.00639560922743635,-0.0146379852744668,0.0335567371358107,0.00537650094718158,-0.105376500947182
"EXTGFB",-0.0613720130821749,0.0285983573311698,-0.0775162326580288,0.032371977628327,-0.018113634200524,-0.0616515481711847,0.0285983573311698,0.0285983573311698,0.0616515481711847,-0.0195037047850886,0.0616515481711847,0.0616515481711847,0.0607089603391368,0.0616515481711847,0,-0.0616515481711847,-0.0406104051554702,0.121135660280417,0.0607089603391368,-0.0607089603391368
"ESRP1",0.101664422505952,0.119239576400325,-0.127803545474134,0.109928115607629,-0.108348319866102,0.102259154876385,0.119239576400325,0.119239576400325,-0.102259154876385,-0.0755841961959609,-0.102259154876385,-0.102259154876385,-0.0999690785405071,-0.102259154876385,0,0.102259154876385,0.0809880290160114,-0.0460340891458005,-0.199969078540507,0.0999690785405071
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
