"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.00294748554745628,0.0697572436389147,-0.0317619078243376,0.0780491084299696,0.0265711129491599,-0.0972868019130714,-0.0697572436389147,0.0697572436389147,-0.0972868019130714,-0.0460076043404091,-0.0972868019130714,-0.0972868019130714,-0.0970187053983261,0.0972868019130714,0,0.0972868019130714,0.0752448760905518,-0.077692142643219,0.0970187053983261,-0.0970187053983261
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",-0.160560136028091,-0.0758019593580042,-0.0767376579680999,-0.101233012477734,-0.0089553255110936,0.159968625937625,0.0758019593580042,-0.0758019593580042,0.159968625937625,0.163637448219444,0.159968625937625,0.159968625937625,0.161396839417955,-0.159968625937625,0,-0.159968625937625,-0.174172677341241,0.174216917579267,-0.161396839417955,0.161396839417955
"TGFB",-0.0632168345734559,-0.109321595403876,0.0328417923263358,-0.125344126884209,-0.0449445498002414,0.0616426106511372,0.109321595403876,-0.109321595403876,0.0616426106511372,0.101512980125109,0.0616426106511372,0.0616426106511372,0.0636991659210601,-0.0616426106511372,0,-0.0616426106511372,-0.114323871430153,0.120374295161253,-0.0636991659210601,0.0636991659210601
"SNAIL1",0.061953953183276,0.106593094728504,-0.0253809201184647,0.127050611525847,-0.0483322908744728,-0.0632168345734559,-0.106593094728504,0.106593094728504,-0.0632168345734559,-0.0988842003044126,-0.0632168345734559,-0.0632168345734559,-0.0616426106511372,0.0632168345734559,0,0.0632168345734559,0.116531324551444,-0.119880947874663,0.0616426106511372,-0.0616426106511372
"MIR340",0.0972868019130714,0.0718226795738443,-0.0364050988495791,0.0777564255031404,0.0228264043851743,-0.0970187053983261,-0.0718226795738443,0.0718226795738443,-0.0970187053983261,-0.0471606115077509,-0.0970187053983261,-0.0970187053983261,-0.099482596647264,0.0970187053983261,0,0.0970187053983261,0.0743815667380338,-0.0781185818756284,0.099482596647264,-0.099482596647264
"MIR34",-0.0632168345734559,-0.109321595403876,0.0328417923263358,-0.125344126884209,-0.0449445498002414,0.0616426106511372,0.109321595403876,-0.109321595403876,0.0616426106511372,0.101512980125109,0.0616426106511372,0.0616426106511372,0.0636991659210601,-0.0616426106511372,0,-0.0616426106511372,-0.114323871430153,0.120374295161253,-0.0636991659210601,0.0636991659210601
"MIR200",-0.0907355133357963,-0.187594357445322,0.0546222644893176,-0.0894191518775838,-0.0887842404277826,0.0914208059030077,0.187594357445322,-0.187594357445322,0.0914208059030077,0.110125265156454,0.0914208059030077,0.0914208059030077,0.0914714388144001,-0.0914208059030077,0,-0.0914208059030077,-0.19116753103451,0.193485413873987,-0.0914714388144001,0.0914714388144001
"MIR190",0.0616426106511372,0.10531531103624,-0.0224150435361906,0.0272881761966791,0.0544617271447168,-0.0636991659210601,-0.10531531103624,0.10531531103624,-0.0636991659210601,-0.0979494077537931,-0.0636991659210601,-0.0636991659210601,-0.0601903939912355,0.0636991659210601,0,0.0636991659210601,0.116981793418417,-0.119657993880593,0.0601903939912355,-0.0601903939912355
"MIR129",0.159968625937625,0.0733689442671511,-0.0164108775967537,0.101542958941527,0.0147876296142911,-0.161396839417955,-0.0733689442671511,0.0733689442671511,-0.161396839417955,-0.161623323186747,-0.161396839417955,-0.161396839417955,-0.157820088300221,0.161396839417955,0,0.161396839417955,0.175363642433643,-0.173960966721832,0.157820088300221,-0.157820088300221
"MIR1199",-0.0972868019130714,-0.0718226795738443,0.0364050988495791,-0.0777564255031404,-0.0228264043851743,0.0970187053983261,0.0718226795738443,-0.0718226795738443,0.0970187053983261,0.0471606115077509,0.0970187053983261,0.0970187053983261,0.099482596647264,-0.0970187053983261,0,-0.0970187053983261,-0.0743815667380338,0.0781185818756284,-0.099482596647264,0.099482596647264
"HAS2",-0.0970187053983261,-0.0698205720922848,0.0286425417719535,-0.0763071501408215,-0.0285974545270853,0.099482596647264,0.0698205720922848,-0.0698205720922848,0.099482596647264,0.0446948580830934,0.099482596647264,0.099482596647264,0.193630179344465,-0.099482596647264,0,-0.099482596647264,-0.0745944837004185,0.0782066100446425,-0.0936301793444651,0.0936301793444651
"HA",-0.0972868019130714,-0.0718226795738443,0.0364050988495791,-0.0777564255031404,-0.0228264043851743,0.0970187053983261,0.0718226795738443,-0.0718226795738443,0.0970187053983261,0.0471606115077509,0.0970187053983261,0.0970187053983261,0.099482596647264,-0.0970187053983261,0,-0.0970187053983261,-0.0743815667380338,0.0781185818756284,-0.099482596647264,0.099482596647264
"GRHL2",0.00882792253655011,0.0130904152085202,0.0446451282656639,0.0129808509104815,-0.0352022110611269,-0.00966603457889682,-0.0130904152085202,0.0130904152085202,-0.00966603457889682,0.0507422430460008,-0.00966603457889682,-0.00966603457889682,-0.00635393266806879,0.00966603457889682,0,0.00966603457889682,0.0139011563311406,-0.0131743148696792,0.00635393266806879,-0.106353932668069
"EXTGFB",-0.0632168345734559,-0.109321595403876,0.0328417923263358,-0.125344126884209,-0.0449445498002414,0.0616426106511372,0.109321595403876,-0.109321595403876,0.0616426106511372,0.101512980125109,0.0616426106511372,0.0616426106511372,0.0636991659210601,-0.0616426106511372,0,-0.0616426106511372,-0.114323871430153,0.120374295161253,-0.0636991659210601,0.0636991659210601
"ESRP1",-0.0970187053983261,-0.0698205720922848,0.0286425417719535,-0.0763071501408215,-0.0285974545270853,0.099482596647264,0.0698205720922848,-0.0698205720922848,0.099482596647264,0.0446948580830934,0.099482596647264,0.099482596647264,0.0936301793444651,-0.099482596647264,0,-0.099482596647264,-0.0745944837004185,0.0782066100446425,0.00636982065553494,0.0936301793444651
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0972868019130714,-0.0718226795738443,0.0364050988495791,-0.0777564255031404,-0.0228264043851743,0.0970187053983261,0.0718226795738443,-0.0718226795738443,0.0970187053983261,0.0471606115077509,0.0970187053983261,0.0970187053983261,0.099482596647264,-0.0970187053983261,0,-0.0970187053983261,-0.0743815667380338,0.0781185818756284,-0.099482596647264,0.099482596647264
"CD24",-0.0972868019130714,-0.0718226795738443,0.0364050988495791,-0.0777564255031404,-0.0228264043851743,0.0970187053983261,0.0718226795738443,-0.0718226795738443,0.0970187053983261,0.0471606115077509,0.0970187053983261,0.0970187053983261,0.099482596647264,-0.0970187053983261,0,-0.0970187053983261,-0.0743815667380338,0.0781185818756284,-0.099482596647264,0.099482596647264
