"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0759093654144713,-0.173085166494088,0.0827257417071238,0.011527261388285,-0.12261130556059,-0.171050447211354,-0.173085166494088,0.173085166494088,-0.171050447211354,0.0827257417071238,-0.171050447211354,-0.171050447211354,0.176978359037389,-0.171050447211354,0,0.171050447211354,0.185768407980783,-0.185795442414558,0.176978359037389,-0.176978359037389
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",0.0111131546121866,-0.0451455823067748,0.0762751508232136,0.01002794208106,-0.0671390268615998,-0.021777733596181,-0.0451455823067748,0.0451455823067748,-0.021777733596181,-0.02575923572593,-0.021777733596181,-0.021777733596181,0.0089238122732043,-0.021777733596181,0,0.021777733596181,0.200110758543729,-0.245613085613211,0.0089238122732043,-0.0089238122732043
"TGFB",-0.126143085602748,-0.025182333026619,0.0669823151283913,0.0831422647712125,-0.0454347655508222,0.114358474745016,-0.025182333026619,0.025182333026619,0.114358474745016,0.0669823151283913,0.114358474745016,0.114358474745016,-0.128411602422823,0.114358474745016,0,-0.114358474745016,0.0380135564323153,-0.0688144918056706,-0.128411602422823,0.128411602422823
"SNAIL1",0.116929102979996,0.00896441317069823,-0.0405577595897194,-0.0899519511030831,-0.0361704786733365,-0.126143085602748,0.00896441317069823,-0.00896441317069823,-0.126143085602748,-0.0405577595897194,-0.126143085602748,-0.126143085602748,0.114358474745016,-0.126143085602748,0,0.126143085602748,-0.0519466207570245,0.0608760854669054,0.114358474745016,-0.114358474745016
"MIR340",-0.171050447211354,0.181255519263234,-0.0965306653593519,-0.00778742398991098,0.112744812561567,0.176978359037389,0.181255519263234,-0.181255519263234,0.176978359037389,-0.0965306653593519,0.176978359037389,0.176978359037389,-0.169246838221756,0.176978359037389,0,-0.176978359037389,-0.17780677728534,0.189633395506243,-0.169246838221756,0.169246838221756
"MIR34",0.126143085602748,0.025182333026619,-0.0669823151283913,-0.0831422647712125,0.0454347655508222,-0.114358474745016,0.025182333026619,-0.025182333026619,-0.114358474745016,-0.0669823151283913,-0.114358474745016,-0.114358474745016,0.128411602422823,-0.114358474745016,0,0.114358474745016,-0.0380135564323153,0.0688144918056706,0.128411602422823,-0.128411602422823
"MIR200",-0.173896963894247,0.0772198817824713,0.0217310315665807,0.197472973710112,-0.0259175052018704,0.183157199353744,0.0772198817824713,-0.0772198817824713,0.183157199353744,0.0217310315665807,0.183157199353744,0.183157199353744,-0.17085340188539,0.183157199353744,0,-0.183157199353744,-0.0602158324506304,0.0677317547619396,-0.17085340188539,0.17085340188539
"MIR190",-0.114358474745016,-0.00562223876110445,0.0344702165802171,0.191914194595774,-0.0686473932202743,0.128411602422823,-0.00562223876110445,0.00562223876110445,0.128411602422823,0.0344702165802171,0.128411602422823,0.128411602422823,-0.109363983375204,0.128411602422823,0,-0.128411602422823,0.0566190103501613,-0.0595459873559202,-0.109363983375204,0.109363983375204
"MIR129",-0.021777733596181,0.0271289515707108,-0.146306531576352,-0.0178329575783832,0.0880667062907202,0.0089238122732043,0.0271289515707108,-0.0271289515707108,0.0089238122732043,0.0557095365368115,0.0089238122732043,0.0089238122732043,-0.025764348785872,0.0089238122732043,0,-0.0089238122732043,-0.2164146599811,0.236885161374665,-0.025764348785872,0.025764348785872
"MIR1199",-0.171050447211354,0.181255519263234,-0.0965306653593519,-0.00778742398991098,0.112744812561567,0.176978359037389,0.181255519263234,-0.181255519263234,0.176978359037389,-0.0965306653593519,0.176978359037389,0.176978359037389,-0.169246838221756,0.176978359037389,0,-0.176978359037389,-0.17780677728534,0.189633395506243,-0.169246838221756,0.169246838221756
"HAS2",0.176978359037389,-0.170401989231622,0.0787224461812697,0.0119420133618917,-0.12447612760414,-0.169246838221756,-0.170401989231622,0.170401989231622,-0.169246838221756,0.0787224461812697,-0.169246838221756,-0.169246838221756,0.0776437847866419,-0.169246838221756,0,0.169246838221756,0.185968594176752,-0.184087620858355,0.177643784786642,-0.177643784786642
"HA",-0.171050447211354,0.181255519263234,-0.0965306653593519,-0.00778742398991098,0.112744812561567,0.176978359037389,0.181255519263234,-0.181255519263234,0.176978359037389,-0.0965306653593519,0.176978359037389,0.176978359037389,-0.169246838221756,0.176978359037389,0,-0.176978359037389,-0.17780677728534,0.189633395506243,-0.169246838221756,0.169246838221756
"GRHL2",-0.303111536956484,0.311470167974307,-0.109668167330602,-0.018194683625721,0.139063115726448,0.305493539603154,0.311470167974307,-0.311470167974307,0.305493539603154,-0.109668167330602,0.305493539603154,0.305493539603154,-0.30179927208723,0.305493539603154,0,-0.305493539603154,-0.308830216924985,0.313965859584501,-0.30179927208723,0.40179927208723
"EXTGFB",0.126143085602748,0.025182333026619,-0.0669823151283913,-0.0831422647712125,0.0454347655508222,-0.114358474745016,0.025182333026619,-0.025182333026619,-0.114358474745016,-0.0669823151283913,-0.114358474745016,-0.114358474745016,0.128411602422823,-0.114358474745016,0,0.114358474745016,-0.0380135564323153,0.0688144918056706,0.128411602422823,-0.128411602422823
"ESRP1",0.176978359037389,-0.170401989231622,0.0787224461812697,0.0119420133618917,-0.12447612760414,-0.169246838221756,-0.170401989231622,0.170401989231622,-0.169246838221756,0.0787224461812697,-0.169246838221756,-0.169246838221756,0.177643784786642,-0.169246838221756,0,0.169246838221756,0.185968594176752,-0.184087620858355,0.277643784786642,-0.177643784786642
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.171050447211354,-0.181255519263234,0.0965306653593519,0.00778742398991098,-0.112744812561567,-0.176978359037389,-0.181255519263234,0.181255519263234,-0.176978359037389,0.0965306653593519,-0.176978359037389,-0.176978359037389,0.169246838221756,-0.176978359037389,0,0.176978359037389,0.17780677728534,-0.189633395506243,0.169246838221756,-0.169246838221756
"CD24",-0.171050447211354,0.181255519263234,-0.0965306653593519,-0.00778742398991098,0.112744812561567,0.176978359037389,0.181255519263234,-0.181255519263234,0.176978359037389,-0.0965306653593519,0.176978359037389,0.176978359037389,-0.169246838221756,0.176978359037389,0,-0.176978359037389,-0.17780677728534,0.189633395506243,-0.169246838221756,0.169246838221756
