"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.243448301324518,0.237364562393371,-0.129654686231248,-0.00867395942211762,0.0970602157948848,-0.340056226352531,-0.237364562393371,-0.237364562393371,-0.340056226352531,-0.129654686231248,0.340056226352531,-0.340056226352531,-0.3351411235822,-0.340056226352531,0,-0.340056226352531,-0.217066071871318,-0.204484162267973,-0.3351411235822,0.3351411235822
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.0820037072645664,-0.0494284850936299,0.0208945639843382,-0.000438488206066689,-0.00454267706762652,0.0812382236180807,0.0494284850936299,0.0494284850936299,0.0812382236180807,0.0480445291952861,-0.0812382236180807,0.0812382236180807,0.0782565147731796,0.0812382236180807,0,0.0812382236180807,-0.0264068558820612,-0.01434778879712,0.0782565147731796,-0.0782565147731796
"TGFB",-0.109094369456411,-0.0077895085065245,0.101048853401468,0.0655754007997641,-0.00222713511600426,0.107431871295457,0.0077895085065245,0.0077895085065245,0.107431871295457,0.101048853401468,-0.107431871295457,0.107431871295457,0.107431871295457,0.107431871295457,0,0.107431871295457,-0.0327043919727143,-0.0599356034180144,0.107431871295457,-0.107431871295457
"SNAIL1",0.109690449472576,0.0082847809063444,-0.10191498316898,-0.0656566619731754,-0.0984203986596772,-0.109094369456411,-0.0082847809063444,-0.0082847809063444,-0.109094369456411,-0.10191498316898,0.109094369456411,-0.109094369456411,-0.107431871295457,-0.109094369456411,0,-0.109094369456411,0.0327518640828496,0.0595170057203017,-0.107431871295457,0.107431871295457
"MIR340",-0.340056226352531,-0.234129322035118,0.129000276757892,0.00799103259284933,-0.0957577084682811,0.3351411235822,0.234129322035118,0.234129322035118,0.3351411235822,0.129000276757892,-0.3351411235822,0.3351411235822,0.325710367422472,0.3351411235822,0,0.3351411235822,0.213037294892901,0.202291046215582,0.325710367422472,-0.325710367422472
"MIR34",-0.109094369456411,-0.0077895085065245,0.101048853401468,0.0655754007997641,-0.00222713511600426,0.107431871295457,0.0077895085065245,0.0077895085065245,0.107431871295457,0.101048853401468,-0.107431871295457,0.107431871295457,0.107431871295457,0.107431871295457,0,0.107431871295457,-0.0327043919727143,-0.0599356034180144,0.107431871295457,-0.107431871295457
"MIR200",-0.231026762500918,-0.245723197242433,-0.0504380725223772,-0.18341898309459,0.000470788050204248,0.228127447793485,0.245723197242433,0.245723197242433,0.228127447793485,-0.0504380725223772,-0.228127447793485,0.228127447793485,0.223621118679561,0.228127447793485,0,0.228127447793485,0.24137524449235,0.240776857324478,0.223621118679561,-0.223621118679561
"MIR190",-0.107431871295457,-0.00792043283226422,0.101092848122101,0.166476301700665,-0.000880802711176036,0.107431871295457,0.00792043283226422,0.00792043283226422,0.107431871295457,0.101092848122101,-0.107431871295457,0.107431871295457,0.104674979064881,0.107431871295457,0,0.107431871295457,-0.0350861662219376,-0.0599573095174283,0.104674979064881,-0.104674979064881
"MIR129",-0.0812382236180807,-0.0476114231903346,0.120214647666347,-0.00136832759744454,-0.00505043060131665,0.0782565147731796,0.0476114231903346,0.0476114231903346,0.0782565147731796,0.0473905924963586,-0.0782565147731796,0.0782565147731796,0.0755739514348786,0.0782565147731796,0,0.0782565147731796,-0.0266943302147101,-0.0155507578270662,0.0755739514348786,-0.0755739514348786
"MIR1199",-0.340056226352531,-0.234129322035118,0.129000276757892,0.00799103259284933,-0.0957577084682811,0.3351411235822,0.234129322035118,0.234129322035118,0.3351411235822,0.129000276757892,-0.3351411235822,0.3351411235822,0.325710367422472,0.3351411235822,0,0.3351411235822,0.213037294892901,0.202291046215582,0.325710367422472,-0.325710367422472
"HAS2",-0.3351411235822,-0.229387488526161,0.125986578127755,0.00692823066048218,-0.0963253527445347,0.325710367422472,0.229387488526161,0.229387488526161,0.325710367422472,0.125986578127755,-0.325710367422472,0.325710367422472,0.416295609152752,0.325710367422472,0,0.325710367422472,0.209417706532361,0.198857947624033,0.316295609152752,-0.316295609152752
"HA",-0.340056226352531,-0.234129322035118,0.129000276757892,0.00799103259284933,-0.0957577084682811,0.3351411235822,0.234129322035118,0.234129322035118,0.3351411235822,0.129000276757892,-0.3351411235822,0.3351411235822,0.325710367422472,0.3351411235822,0,0.3351411235822,0.213037294892901,0.202291046215582,0.325710367422472,-0.325710367422472
"GRHL2",-0.429274820198821,-0.32517115495525,0.148469761228801,0.0151074688610099,-0.121213131989498,0.423187480101776,0.32517115495525,0.32517115495525,0.423187480101776,0.148469761228801,-0.423187480101776,0.423187480101776,0.41376072850942,0.423187480101776,0,0.423187480101776,0.307692950592848,0.299598653386124,0.41376072850942,-0.51376072850942
"EXTGFB",-0.109094369456411,-0.0077895085065245,0.101048853401468,0.0655754007997641,-0.00222713511600426,0.107431871295457,0.0077895085065245,0.0077895085065245,0.107431871295457,0.101048853401468,-0.107431871295457,0.107431871295457,0.107431871295457,0.107431871295457,0,0.107431871295457,-0.0327043919727143,-0.0599356034180144,0.107431871295457,-0.107431871295457
"ESRP1",-0.3351411235822,-0.229387488526161,0.125986578127755,0.00692823066048218,-0.0963253527445347,0.325710367422472,0.229387488526161,0.229387488526161,0.325710367422472,0.125986578127755,-0.325710367422472,0.325710367422472,0.316295609152752,0.325710367422472,0,0.325710367422472,0.209417706532361,0.198857947624033,0.416295609152752,-0.316295609152752
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.340056226352531,-0.234129322035118,0.129000276757892,0.00799103259284933,-0.0957577084682811,0.3351411235822,0.234129322035118,0.234129322035118,0.3351411235822,0.129000276757892,-0.3351411235822,0.3351411235822,0.325710367422472,0.3351411235822,0,0.3351411235822,0.213037294892901,0.202291046215582,0.325710367422472,-0.325710367422472
"CD24",0.340056226352531,0.234129322035118,-0.129000276757892,-0.00799103259284933,0.0957577084682811,-0.3351411235822,-0.234129322035118,-0.234129322035118,-0.3351411235822,-0.129000276757892,0.3351411235822,-0.3351411235822,-0.325710367422472,-0.3351411235822,0,-0.3351411235822,-0.213037294892901,-0.202291046215582,-0.325710367422472,0.325710367422472
