"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.00845252703304892,-0.0592744788064677,0.117395732718947,-0.0272173004072621,-0.167618769502479,-0.10825898521783,0.151791340835569,-0.0592744788064677,0.10825898521783,-0.117395732718947,-0.10825898521783,-0.10825898521783,0.107990888703085,0.10825898521783,0,0.10825898521783,-0.0359341429805095,0.132396208059003,-0.107990888703085,-0.107990888703085
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.0160271470021261,-0.127829050245686,-0.0281419211562714,0.0894621318138851,0.292426242205185,0.0157139946012911,-0.146285174600444,-0.127829050245686,-0.0157139946012911,0.282786152865705,0.0157139946012911,0.0157139946012911,-0.015187810687485,-0.0157139946012911,0,-0.0157139946012911,0.213459687006161,-0.182994731086892,0.015187810687485,0.015187810687485
"TGFB",-0.152092511403454,-0.135518752269717,-0.165178363849912,0.17308112718222,0.34509975599858,0.151636427837175,-0.290567738097129,-0.135518752269717,-0.151636427837175,0.165178363849912,0.151636427837175,0.151636427837175,-0.150693840005127,-0.151636427837175,0,-0.151636427837175,0.167506505695788,-0.191556271320681,0.150693840005127,0.150693840005127
"SNAIL1",-0.152405705988218,-0.136068054385881,-0.166105274653741,0.173877486681651,0.246402817794088,0.152092511403454,-0.29167534728218,-0.136068054385881,-0.152092511403454,0.166105274653741,0.152092511403454,0.152092511403454,-0.151636427837175,-0.152092511403454,0,-0.152092511403454,0.168455947898494,-0.192243967538352,0.151636427837175,0.151636427837175
"MIR340",-0.10825898521783,0.0595852081064129,-0.116928297380836,0.0267294955292133,0.166934953156013,0.107990888703085,-0.151151604041564,0.0595852081064129,-0.107990888703085,0.116928297380836,0.107990888703085,0.107990888703085,-0.107566079867061,-0.107990888703085,0,-0.107990888703085,0.0353106417814687,-0.132030688716938,0.107566079867061,0.107566079867061
"MIR34",0.152092511403454,0.135518752269717,0.165178363849912,-0.17308112718222,-0.34509975599858,-0.151636427837175,0.290567738097129,0.135518752269717,0.151636427837175,-0.165178363849912,-0.151636427837175,-0.151636427837175,0.150693840005127,0.151636427837175,0,0.151636427837175,-0.167506505695788,0.191556271320681,-0.150693840005127,-0.150693840005127
"MIR200",-0.0636385205882734,0.187980027666443,0.0894281837259596,-0.206396901914362,-0.13011015253582,0.0638669514440105,0.0338543812665987,0.187980027666443,-0.0638669514440105,-0.0894281837259596,0.0638669514440105,0.0638669514440105,-0.0642213818237573,-0.0638669514440105,0,-0.0638669514440105,-0.104404643638555,0.0187361083549572,0.0642213818237573,0.0642213818237573
"MIR190",0.151636427837175,0.134811760910723,0.163814527510273,-0.271611236238645,-0.342964194252991,-0.150693840005127,0.288708612671625,0.134811760910723,0.150693840005127,-0.163814527510273,-0.150693840005127,-0.150693840005127,0.14919008060663,0.150693840005127,0,0.150693840005127,-0.165815100794166,0.190405848051742,-0.14919008060663,-0.14919008060663
"MIR129",-0.0157139946012911,-0.12733628769564,0.0726948989274106,0.0885322924225072,0.291067658425851,0.015187810687485,-0.145145661203462,-0.12733628769564,-0.015187810687485,0.281922956423121,0.015187810687485,0.015187810687485,-0.014144591611479,-0.015187810687485,0,-0.015187810687485,0.212350857437373,-0.182303663771817,0.014144591611479,0.014144591611479
"MIR1199",0.10825898521783,-0.0595852081064129,0.116928297380836,-0.0267294955292133,-0.166934953156013,-0.107990888703085,0.151151604041564,-0.0595852081064129,0.107990888703085,-0.116928297380836,-0.107990888703085,-0.107990888703085,0.107566079867061,0.107990888703085,0,0.107990888703085,-0.0353106417814687,0.132030688716938,-0.107566079867061,-0.107566079867061
"HAS2",0.107990888703085,-0.060112078496297,0.11592373117079,-0.0260531670267979,-0.16570505722413,-0.107566079867061,0.150097863261796,-0.060112078496297,0.107566079867061,-0.11592373117079,-0.107566079867061,-0.107566079867061,0.00680272108843537,0.107566079867061,0,0.107566079867061,-0.0345299462527249,0.131326463364825,-0.106802721088435,-0.106802721088435
"HA",-0.10825898521783,0.0595852081064129,-0.116928297380836,0.0267294955292133,0.166934953156013,0.107990888703085,-0.151151604041564,0.0595852081064129,-0.107990888703085,0.116928297380836,0.107990888703085,0.107990888703085,-0.107566079867061,-0.107990888703085,0,-0.107990888703085,0.0353106417814687,-0.132030688716938,0.107566079867061,0.107566079867061
"GRHL2",-0.209038585538837,0.154828589758048,-0.136754818774007,0.0291871614989975,0.191664546780311,0.208729807417972,-0.256504829288808,0.154828589758048,-0.208729807417972,0.136754818774007,0.208729807417972,0.208729807417972,-0.208220253277845,-0.208729807417972,0,-0.208729807417972,0.041897442754042,-0.240030213642854,0.208220253277845,0.108220253277845
"EXTGFB",0.152092511403454,0.135518752269717,0.165178363849912,-0.17308112718222,-0.34509975599858,-0.151636427837175,0.290567738097129,0.135518752269717,0.151636427837175,-0.165178363849912,-0.151636427837175,-0.151636427837175,0.150693840005127,0.151636427837175,0,0.151636427837175,-0.167506505695788,0.191556271320681,-0.150693840005127,-0.150693840005127
"ESRP1",0.107990888703085,-0.060112078496297,0.11592373117079,-0.0260531670267979,-0.16570505722413,-0.107566079867061,0.150097863261796,-0.060112078496297,0.107566079867061,-0.11592373117079,-0.107566079867061,-0.107566079867061,0.106802721088435,0.107566079867061,0,0.107566079867061,-0.0345299462527249,0.131326463364825,-0.206802721088435,-0.106802721088435
