"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0632748394477499,-0.00663656375777814,0.133539185615828,0.0800346103932646,-0.190736637737852,-0.0361445351065946,0.00663656375777814,-0.109358570923914,-0.0361445351065946,0.133539185615828,-0.0361445351065946,0.0361445351065946,-0.0360551696016795,-0.0361445351065946,0,-0.0361445351065946,0.0639452364076334,0.121748056642936,-0.0360551696016795,0.0360551696016795
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.220600902931596,-0.204403111598533,0.105469564392514,-0.087002615726684,-0.183250424346811,0.220235558463955,0.204403111598533,0.01989006595868,0.220235558463955,-0.0455244461425688,0.220235558463955,-0.220235558463955,0.220110276579715,0.220235558463955,0,0.220235558463955,0.211058182172285,0.136200608637744,0.220110276579715,-0.220110276579715
"TGFB",-0.182739471301082,-0.241055040799945,0.0974553366227751,0.0153966965132293,-0.197882680409369,0.18204798976511,0.241055040799945,-0.0623695478386106,0.18204798976511,0.0974553366227751,0.18204798976511,-0.18204798976511,0.181362471341803,0.18204798976511,0,0.18204798976511,0.160657827607512,0.104913909625493,0.181362471341803,-0.181362471341803
"SNAIL1",0.182850604863418,0.241928521214173,-0.0980175612087043,-0.0150879040542662,0.0985142256967624,-0.182739471301082,-0.241928521214173,0.0623965626967826,-0.182739471301082,-0.0980175612087043,-0.182739471301082,0.182739471301082,-0.18204798976511,-0.182739471301082,0,-0.182739471301082,-0.160966396323391,-0.105033508967696,-0.18204798976511,0.18204798976511
"MIR340",0.0361445351065946,-0.00654517278720603,0.132884776142472,0.0809776998241589,-0.189922570658725,-0.0360551696016795,0.00654517278720603,-0.109157510788655,-0.0360551696016795,0.132884776142472,-0.0360551696016795,0.0360551696016795,-0.0363100549032937,-0.0360551696016795,0,-0.0360551696016795,0.0652881620671058,0.121778516588108,-0.0363100549032937,0.0363100549032937
"MIR34",0.182739471301082,0.241055040799945,-0.0974553366227751,-0.0153966965132293,0.197882680409369,-0.18204798976511,-0.241055040799945,0.0623695478386106,-0.18204798976511,-0.0974553366227751,-0.18204798976511,0.18204798976511,-0.181362471341803,-0.18204798976511,0,-0.18204798976511,-0.160657827607512,-0.104913909625493,-0.181362471341803,0.181362471341803
"MIR200",0.10708973936284,0.180198640435113,-0.0539394544876241,-0.0852134140965774,0.057250725523617,-0.106755878881378,-0.180198640435113,-0.0179569666264318,-0.106755878881378,-0.0539394544876241,-0.106755878881378,0.106755878881378,-0.108021701666188,-0.106755878881378,0,-0.106755878881378,-0.0842396850665639,0.0094949389357005,-0.108021701666188,0.108021701666188
"MIR190",0.18204798976511,0.240295679710655,-0.0968834052545393,-0.113262983853201,0.196722049025897,-0.181362471341803,-0.240295679710655,0.0624481024340544,-0.181362471341803,-0.0968834052545393,-0.181362471341803,0.181362471341803,-0.184119363572379,-0.181362471341803,0,-0.181362471341803,-0.160554272205372,-0.104979027923735,-0.184119363572379,0.184119363572379
"MIR129",0.220235558463955,0.203879551389108,-0.204737346819292,0.0875379778005076,0.182632886265296,-0.220110276579715,-0.203879551389108,-0.0202596378712147,-0.220110276579715,0.0462306977774105,-0.220110276579715,0.220110276579715,-0.220706401766004,-0.220110276579715,0,-0.220110276579715,-0.210893911125057,-0.135867872523078,-0.220706401766004,0.220706401766004
"MIR1199",0.0361445351065946,-0.00654517278720603,0.132884776142472,0.0809776998241589,-0.189922570658725,-0.0360551696016795,0.00654517278720603,-0.109157510788655,-0.0360551696016795,0.132884776142472,-0.0360551696016795,0.0360551696016795,-0.0363100549032937,-0.0360551696016795,0,-0.0360551696016795,0.0652881620671058,0.121778516588108,-0.0363100549032937,0.0363100549032937
"HAS2",0.0360551696016795,-0.00759891356697421,0.134071990754344,0.0775960573120817,-0.189544141141222,-0.0363100549032937,0.00759891356697421,-0.110527373802354,-0.0363100549032937,0.134071990754344,-0.0363100549032937,0.0363100549032937,-0.130457637600495,-0.0363100549032937,0,-0.0363100549032937,0.0669205254453883,0.123363023630361,-0.0304576376004947,0.0304576376004947
"HA",-0.0361445351065946,0.00654517278720603,-0.132884776142472,-0.0809776998241589,0.189922570658725,0.0360551696016795,-0.00654517278720603,0.109157510788655,0.0360551696016795,-0.132884776142472,0.0360551696016795,-0.0360551696016795,0.0363100549032937,0.0360551696016795,0,0.0360551696016795,-0.0652881620671058,-0.121778516588108,0.0363100549032937,-0.0363100549032937
"GRHL2",0.0311533321884278,0.0534890193398317,-0.0991257339808666,0.0132530712232468,0.120253740014389,-0.0312856656687984,-0.0534890193398317,-0.00151323138365622,-0.0312856656687984,-0.0991257339808666,-0.0312856656687984,0.0312856656687984,-0.0296296147133843,-0.0312856656687984,0,-0.0312856656687984,-0.0303335809327943,-0.00489707126972208,-0.0296296147133843,-0.0703703852866156
"EXTGFB",-0.182739471301082,-0.241055040799945,0.0974553366227751,0.0153966965132293,-0.197882680409369,0.18204798976511,0.241055040799945,-0.0623695478386106,0.18204798976511,0.0974553366227751,0.18204798976511,-0.18204798976511,0.181362471341803,0.18204798976511,0,0.18204798976511,0.160657827607512,0.104913909625493,0.181362471341803,-0.181362471341803
"ESRP1",-0.0360551696016795,0.00759891356697421,-0.134071990754344,-0.0775960573120817,0.189544141141222,0.0363100549032937,-0.00759891356697421,0.110527373802354,0.0363100549032937,-0.134071990754344,0.0363100549032937,-0.0363100549032937,0.0304576376004947,0.0363100549032937,0,0.0363100549032937,-0.0669205254453883,-0.123363023630361,0.130457637600495,-0.0304576376004947
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.0361445351065946,0.00654517278720603,-0.132884776142472,-0.0809776998241589,0.189922570658725,0.0360551696016795,-0.00654517278720603,0.109157510788655,0.0360551696016795,-0.132884776142472,0.0360551696016795,-0.0360551696016795,0.0363100549032937,0.0360551696016795,0,0.0360551696016795,-0.0652881620671058,-0.121778516588108,0.0363100549032937,-0.0363100549032937
"CD24",-0.0361445351065946,0.00654517278720603,-0.132884776142472,-0.0809776998241589,0.189922570658725,0.0360551696016795,-0.00654517278720603,0.109157510788655,0.0360551696016795,-0.132884776142472,0.0360551696016795,-0.0360551696016795,0.0363100549032937,0.0360551696016795,0,0.0360551696016795,-0.0652881620671058,-0.121778516588108,0.0363100549032937,-0.0363100549032937
