"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.137849820842343,-0.135179547072632,0.201189794121934,0.175750494201719,-0.201831132397556,-0.237493296445888,0.25040134473556,-0.135179547072632,0.237493296445888,0.114815840264648,-0.237493296445888,0.237493296445888,0.236927314914759,-0.237493296445888,0,-0.237493296445888,0.0682952747384625,0.264612214084641,0.236927314914759,-0.236927314914759
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",-0.0472939510759352,0.0233935317323198,-0.0235812209889743,-0.0294731378361511,0.0190711245368717,0.0495034152373827,-0.0407720946779716,0.0233935317323198,-0.0495034152373827,-0.0323995493383672,0.0495034152373827,-0.0495034152373827,-0.0456697895796528,0.0495034152373827,0,0.0495034152373827,0.106419045765464,0.0614901076667774,-0.0456697895796528,0.0456697895796528
"TGFB",0.0325605859655776,0.0728764670125949,0.116001099528616,-0.0650222712588403,-0.0669044378736246,-0.0276613657213522,0.101708219731277,0.0728764670125949,0.0276613657213522,0.0379422177236799,-0.0276613657213522,0.0276613657213522,0.0352877581806496,-0.0276613657213522,0,-0.0276613657213522,0.111131811333695,0.13767136564427,0.0352877581806496,-0.0352877581806496
"SNAIL1",-0.0290952394309242,-0.067608569669056,-0.114405597325303,0.072742082732918,-0.029346261622738,0.0325605859655776,-0.102437620901921,-0.067608569669056,-0.0325605859655776,-0.0334596162953256,0.0325605859655776,-0.0325605859655776,-0.0276613657213522,0.0325605859655776,0,0.0325605859655776,-0.113624097115798,-0.138598260546348,-0.0276613657213522,0.0276613657213522
"MIR340",-0.237493296445888,0.135344050819662,-0.200223761089837,-0.175197648673264,0.201245004100584,0.236927314914759,-0.249542269612182,0.135344050819662,-0.236927314914759,-0.11459770377353,0.236927314914759,-0.236927314914759,-0.235482964872278,0.236927314914759,0,0.236927314914759,-0.0671441956017719,-0.263576575948789,-0.235482964872278,0.235482964872278
"MIR34",0.0325605859655776,0.0728764670125949,0.116001099528616,-0.0650222712588403,-0.0669044378736246,-0.0276613657213522,0.101708219731277,0.0728764670125949,0.0276613657213522,0.0379422177236799,-0.0276613657213522,0.0276613657213522,0.0352877581806496,-0.0276613657213522,0,-0.0276613657213522,0.111131811333695,0.13767136564427,0.0352877581806496,-0.0352877581806496
"MIR200",-0.174461735222377,0.0166671328567657,-0.190428519859558,-0.13483440564435,0.190332549468111,0.177255620304085,-0.294863014715578,0.0166671328567657,-0.177255620304085,-0.0932336098425192,0.177255620304085,-0.177255620304085,-0.172141696253452,0.177255620304085,0,0.177255620304085,-0.151314869116149,-0.3085582595457,-0.172141696253452,0.172141696253452
"MIR190",0.0276613657213522,0.0650995620636554,0.114109326541374,0.0239298387459013,-0.0727540200463266,-0.0352877581806496,0.103253126775006,0.0650995620636554,0.0352877581806496,0.0314749937905519,-0.0352877581806496,0.0352877581806496,0.0247614423911759,-0.0352877581806496,0,-0.0352877581806496,0.115239508951921,0.139559796293282,0.0247614423911759,-0.0247614423911759
"MIR129",-0.0495034152373827,0.0197594079257291,0.0758957664587245,-0.0345731660131024,0.0160657725401652,0.0456697895796528,-0.0396941765997455,0.0197594079257291,-0.0456697895796528,-0.0354076581534339,0.0456697895796528,-0.0456697895796528,-0.0501407284768212,0.0456697895796528,0,0.0456697895796528,0.108883111473883,0.0627954570396978,-0.0501407284768212,0.0501407284768212
"MIR1199",-0.237493296445888,0.135344050819662,-0.200223761089837,-0.175197648673264,0.201245004100584,0.236927314914759,-0.249542269612182,0.135344050819662,-0.236927314914759,-0.11459770377353,0.236927314914759,-0.236927314914759,-0.235482964872278,0.236927314914759,0,0.236927314914759,-0.0671441956017719,-0.263576575948789,-0.235482964872278,0.235482964872278
"HAS2",-0.236927314914759,0.135344050819662,-0.198305952870659,-0.174328083455873,0.199920500789326,0.235482964872278,-0.247750910286576,0.135344050819662,-0.235482964872278,-0.11432373117079,0.235482964872278,-0.235482964872278,-0.132683982683983,0.235482964872278,0,0.235482964872278,-0.0646601643739507,-0.261463899892451,-0.232683982683983,0.232683982683983
"HA",-0.237493296445888,0.135344050819662,-0.200223761089837,-0.175197648673264,0.201245004100584,0.236927314914759,-0.249542269612182,0.135344050819662,-0.236927314914759,-0.11459770377353,0.236927314914759,-0.236927314914759,-0.235482964872278,0.236927314914759,0,0.236927314914759,-0.0671441956017719,-0.263576575948789,-0.235482964872278,0.235482964872278
