"","MIR129","MIR200","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR34","TGFB","ZEB1","HA","CD44s","CD24","ESRP1","SNAIL1","TWIST1"
"TGFB",0.424694925196495,0.296868094111548,0.144597871998203,0.144597871998203,0.144597871998203,0.144597871998203,0.144597871998203,-0.150081238761235,0.178865141842893,-0.145171654549329,-0.143740973969069,-0.143740973969069,-0.143740973969069,-0.144597871998203,-0.373005629064368,-0.424694925196495
"MIR34",0.424694925196495,0.296868094111548,0.144597871998203,0.144597871998203,0.144597871998203,0.144597871998203,0.144597871998203,-0.150081238761235,0.178865141842893,-0.145171654549329,-0.143740973969069,-0.143740973969069,-0.143740973969069,-0.144597871998203,-0.373005629064368,-0.424694925196495
"MIR200",0.358670771127453,0.30079080196518,0.142796333329168,0.142796333329168,0.142796333329168,0.142796333329168,0.142796333329168,-0.0462025409025629,0.243507943549191,-0.14327076664493,-0.142138105481067,-0.142138105481067,-0.142138105481067,-0.142796333329168,-0.315310762972136,-0.358670771127453
"HA",0.208289338703198,0.152090779234996,0.106630344485398,0.106630344485398,0.106630344485398,0.106630344485398,0.106630344485398,0.0569069024781983,0.0276464729379448,-0.106838863996867,-0.106205535649374,-0.106205535649374,-0.106205535649374,-0.106630344485398,-0.172634661358628,-0.208289338703198
"CD24",0.208289338703198,0.152090779234996,0.106630344485398,0.106630344485398,0.106630344485398,0.106630344485398,0.106630344485398,0.0569069024781983,0.0276464729379448,-0.106838863996867,-0.106205535649374,-0.106205535649374,-0.106205535649374,-0.106630344485398,-0.172634661358628,-0.208289338703198
"MIR129",0.448117139788686,0.148217631142487,0.0115564147610071,0.0115564147610071,0.0115564147610071,0.0115564147610071,0.0115564147610071,-0.134937407309941,0.0912793249945199,-0.0120324859211173,-0.0108112582781457,-0.0108112582781457,-0.0108112582781457,-0.0115564147610071,-0.306676844521988,-0.453007461115389
"GRHL2",0.139162467887244,0.0264842558449894,0.00348285757636476,0.00348285757636476,0.00348285757636476,0.00348285757636476,0.00348285757636476,-0.021744336094508,0.0133945900197578,-0.00352696873648827,-0.00335546904133292,-0.00335546904133292,-0.103355469041333,-0.00348285757636476,-0.11188162105628,-0.139162467887244
"ZEB1",-0.211062788375994,-0.153022967134832,-0.106838863996867,-0.106838863996867,-0.106838863996867,-0.106838863996867,-0.106838863996867,-0.0562306092959647,-0.0283293997672131,0.00701203298943054,0.106630344485398,0.106630344485398,0.106630344485398,0.106838863996867,0.174002294051562,0.211062788375994
"TWIST1",-0.453479420719892,-0.150034693045783,-0.0120324859211173,-0.0120324859211173,-0.0120324859211173,-0.0120324859211173,-0.0120324859211173,0.136169313685056,-0.0927727034109752,0.0123978303887583,0.0115564147610071,0.0115564147610071,0.0115564147610071,0.0120324859211173,0.309243058327395,0.358394490404092
"HAS2",-0.204179749662103,-0.150720916221297,-0.106205535649374,-0.106205535649374,-0.106205535649374,-0.106205535649374,-0.106205535649374,-0.0577498951020128,-0.0265836710055777,0.106630344485398,0.0054421768707483,0.105442176870748,0.105442176870748,0.106205535649374,0.170553299012365,0.204179749662103
"ESRP1",-0.204179749662103,-0.150720916221297,-0.106205535649374,-0.106205535649374,-0.106205535649374,-0.106205535649374,-0.106205535649374,-0.0577498951020128,-0.0265836710055777,0.106630344485398,0.105442176870748,0.205442176870748,0.105442176870748,0.106205535649374,0.170553299012365,0.204179749662103
"MIR340",-0.208289338703198,-0.152090779234996,-0.106630344485398,-0.106630344485398,-0.106630344485398,-0.106630344485398,-0.106630344485398,-0.0569069024781983,-0.0276464729379448,0.106838863996867,0.106205535649374,0.106205535649374,0.106205535649374,0.106630344485398,0.172634661358628,0.208289338703198
"MIR1199",-0.208289338703198,-0.152090779234996,-0.106630344485398,-0.106630344485398,-0.106630344485398,-0.106630344485398,-0.106630344485398,-0.0569069024781983,-0.0276464729379448,0.106838863996867,0.106205535649374,0.106205535649374,0.106205535649374,0.106630344485398,0.172634661358628,0.208289338703198
"CD44s",-0.208289338703198,-0.152090779234996,-0.106630344485398,-0.106630344485398,-0.106630344485398,-0.106630344485398,-0.106630344485398,-0.0569069024781983,-0.0276464729379448,0.106838863996867,0.106205535649374,0.106205535649374,0.106205535649374,0.106630344485398,0.172634661358628,0.208289338703198
"MIR190",-0.416027965231691,-0.293856834619534,-0.143740973969069,-0.143740973969069,-0.143740973969069,-0.143740973969069,-0.143740973969069,0.14811737387514,-0.276446934161528,0.144597871998203,0.142738467703405,0.142738467703405,0.142738467703405,0.143740973969069,0.368873781339206,0.416027965231691
"SNAIL1",-0.430393147351183,-0.298822168852655,-0.145171654549329,-0.145171654549329,-0.145171654549329,-0.145171654549329,-0.145171654549329,0.151332927189871,-0.180409104137709,0.145515158287458,0.144597871998203,0.144597871998203,0.144597871998203,0.145171654549329,0.275811608758988,0.430393147351183
