"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0754590125850696,-0.0431000629663585,0.0905986600688937,-0.000579240346751139,-0.0570344078724726,-0.0234510414029104,-0.0431000629663585,0.0490105982657035,-0.0234510414029104,-0.0905986600688937,0.0234510414029104,-0.0234510414029104,-0.0234212529012721,-0.0234510414029104,0,-0.0234510414029104,-0.036610442243161,0.0313811452583056,-0.0234212529012721,-0.0234212529012721
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",-0.00956730925494557,0.0156712238640535,0.137107858830044,-0.00534851287192025,-0.0221456423500628,0.00960210396614947,0.0156712238640535,0.00142126943233789,0.00960210396614947,-0.263154007412606,-0.00960210396614947,0.00960210396614947,0.00997794961886809,0.00960210396614947,0,0.00960210396614947,0.186383216944409,-0.222279896772812,0.00997794961886809,0.00997794961886809
"TGFB",0.00792258596872382,0.0599910427538393,0.127376941622149,-0.0765417443851334,-0.0282175012424574,-0.00781959935698335,0.0599910427538393,0.0691985618231735,-0.00781959935698335,-0.127376941622149,0.00781959935698335,-0.00781959935698335,-0.00859080758320442,-0.00781959935698335,0,-0.00781959935698335,0.0940162354911747,-0.117068895924156,-0.00859080758320442,-0.00859080758320442
"SNAIL1",-0.00832670801358137,-0.0598199486520833,-0.127240184290437,0.076460483211722,-0.0718224699782637,0.00792258596872382,-0.0598199486520833,-0.0691535370595535,0.00792258596872382,0.127240184290437,-0.00792258596872382,0.00792258596872382,0.00781959935698335,0.00792258596872382,0,0.00792258596872382,-0.0944197484273248,0.116949296581952,0.00781959935698335,0.00781959935698335
"MIR340",-0.0234510414029104,0.0427893336664134,-0.0909414459835088,0.000676801322360895,0.0573600347041235,0.0234212529012721,0.0427893336664134,-0.0492847711774198,0.0234212529012721,0.0909414459835088,-0.0234212529012721,0.0234212529012721,0.0265648382878481,0.0234212529012721,0,0.0234212529012721,0.0384329842095878,-0.0311983855872731,0.0265648382878481,0.0265648382878481
"MIR34",-0.00792258596872382,-0.0599910427538393,-0.127376941622149,0.0765417443851334,0.0282175012424574,0.00781959935698335,-0.0599910427538393,-0.0691985618231735,0.00781959935698335,0.127376941622149,-0.00781959935698335,0.00781959935698335,0.00859080758320442,0.00781959935698335,0,0.00781959935698335,-0.0940162354911747,0.117068895924156,0.00859080758320442,0.00859080758320442
"MIR200",-0.0258807826483878,-0.039666871440887,-0.143526377972853,-0.00155783849734065,0.0930635679352079,0.0261794999212748,-0.039666871440887,-0.155538900960761,0.0261794999212748,0.143526377972853,-0.0261794999212748,0.0261794999212748,0.0289643100478571,0.0261794999212748,0,0.0261794999212748,-0.0450540437754955,0.0530944307721454,0.0289643100478571,0.0289643100478571
"MIR190",-0.00781959935698335,-0.059650639506916,-0.127244957460249,-0.0237901664730933,0.0284960527744908,0.00859080758320442,-0.059650639506916,-0.0698008137215762,0.00859080758320442,0.127244957460249,-0.00859080758320442,0.00859080758320442,0.0108464466809488,0.00859080758320442,0,0.00859080758320442,-0.0922557936547923,0.116613067836463,0.0108464466809488,0.0108464466809488
"MIR129",0.00960210396614947,-0.0159792004578323,-0.237107858830044,0.00526398201815863,0.022049580870716,-0.00997794961886809,-0.0159792004578323,-0.00126728113544845,-0.00997794961886809,0.263180164880563,0.00997794961886809,-0.00997794961886809,-0.0098289183222958,-0.00997794961886809,0,-0.00997794961886809,-0.186136810373567,0.22248465745876,-0.0098289183222958,-0.0098289183222958
"MIR1199",-0.0234510414029104,0.0427893336664134,-0.0909414459835088,0.000676801322360895,0.0573600347041235,0.0234212529012721,0.0427893336664134,-0.0492847711774198,0.0234212529012721,0.0909414459835088,-0.0234212529012721,0.0234212529012721,0.0265648382878481,0.0234212529012721,0,0.0234212529012721,0.0384329842095878,-0.0311983855872731,0.0265648382878481,0.0265648382878481
"HAS2",0.0234212529012721,-0.0445806929920193,0.0904848249789426,-4.72819945435653e-07,-0.0581168937391282,-0.0265648382878481,-0.0445806929920193,0.0513922527369561,-0.0265648382878481,-0.0904848249789426,0.0265648382878481,-0.0265648382878481,0.0691094619666048,-0.0265648382878481,0,-0.0265648382878481,-0.0419106279285374,0.0330469771365688,-0.0308905380333952,-0.0308905380333952
"HA",0.0234510414029104,-0.0427893336664134,0.0909414459835088,-0.000676801322360895,-0.0573600347041235,-0.0234212529012721,-0.0427893336664134,0.0492847711774198,-0.0234212529012721,-0.0909414459835088,0.0234212529012721,-0.0234212529012721,-0.0265648382878481,-0.0234212529012721,0,-0.0234212529012721,-0.0384329842095878,0.0311983855872731,-0.0265648382878481,-0.0265648382878481
"GRHL2",0.114320766514133,-0.121474757288829,0.11075286217571,-0.00780790206606758,-0.0826101150475752,-0.115114767396356,-0.121474757288829,0.150709121957161,-0.115114767396356,-0.11075286217571,0.115114767396356,-0.115114767396356,-0.118554257842216,-0.115114767396356,0,-0.115114767396356,-0.119510607263482,0.11344855515251,-0.118554257842216,-0.018554257842216
"EXTGFB",0.00792258596872382,0.0599910427538393,0.127376941622149,-0.0765417443851334,-0.0282175012424574,-0.00781959935698335,0.0599910427538393,0.0691985618231735,-0.00781959935698335,-0.127376941622149,0.00781959935698335,-0.00781959935698335,-0.00859080758320442,-0.00781959935698335,0,-0.00781959935698335,0.0940162354911747,-0.117068895924156,-0.00859080758320442,-0.00859080758320442
"ESRP1",0.0234212529012721,-0.0445806929920193,0.0904848249789426,-4.72819945435653e-07,-0.0581168937391282,-0.0265648382878481,-0.0445806929920193,0.0513922527369561,-0.0265648382878481,-0.0904848249789426,0.0265648382878481,-0.0265648382878481,-0.0308905380333952,-0.0265648382878481,0,-0.0265648382878481,-0.0419106279285374,0.0330469771365688,0.0691094619666048,-0.0308905380333952
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
