"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.182065159341078,-0.233067672385292,0.0458577005570195,0.250616086959413,-0.0396283125531769,-0.280384401472075,0.208931367960712,-0.233067672385292,-0.280384401472075,0.0458577005570195,0.280384401472075,0.280384401472075,0.275171413685361,-0.280384401472075,0,0.280384401472075,-0.00411297606208942,-0.210400005710326,-0.275171413685361,0.275171413685361
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",-0.0700332087425991,0.0286637690916724,0.0805763391945686,-0.0435006851958079,0.0432439271752811,0.0681716916931907,-0.05606112732725,0.0286637690916724,0.0681716916931907,-0.218295708702324,-0.0681716916931907,-0.0681716916931907,-0.067795846040472,0.0681716916931907,0,-0.0681716916931907,-0.102981375050482,0.129810615814042,0.067795846040472,-0.067795846040472
"TGFB",0.101510885888754,-0.119477804325357,-0.0422204491228055,0.146508586585112,0.0338725567020868,-0.101378474530802,-0.0131188894043889,-0.119477804325357,-0.101378474530802,-0.0422204491228055,0.101378474530802,0.101378474530802,0.0996646784725326,-0.101378474530802,0,0.101378474530802,0.0111192042172489,-0.133678109339045,-0.0996646784725326,0.0996646784725326
"SNAIL1",0.102177687262769,-0.120135165874209,-0.0439071228805931,0.147239937145814,-0.0667589885853063,-0.101510885888754,-0.0136141618042088,-0.120135165874209,-0.101510885888754,-0.0439071228805931,0.101510885888754,0.101510885888754,0.101378474530802,-0.101510885888754,0,0.101510885888754,0.0112616205476548,-0.133872458270126,-0.101378474530802,0.101378474530802
"MIR340",-0.280384401472075,0.230417334238701,-0.0447670181014258,-0.247461615414698,0.0408656945134504,0.275171413685361,-0.205184338167255,0.230417334238701,0.275171413685361,-0.0447670181014258,-0.275171413685361,-0.275171413685361,-0.271687981229966,0.275171413685361,0,-0.275171413685361,0.00435278421556664,0.208115509822419,0.271687981229966,-0.271687981229966
"MIR34",-0.101510885888754,0.119477804325357,0.0422204491228055,-0.146508586585112,-0.0338725567020868,0.101378474530802,0.0131188894043889,0.119477804325357,0.101378474530802,0.0422204491228055,-0.101378474530802,-0.101378474530802,-0.0996646784725326,0.101378474530802,0,-0.101378474530802,-0.0111192042172489,0.133678109339045,0.0996646784725326,-0.0996646784725326
"MIR200",0.200961625927352,-0.0682699071572035,0.0687371681196897,-0.021522794950449,-0.0873657390545971,-0.198589459348543,0.251342633544589,-0.0682699071572035,-0.198589459348543,0.0687371681196897,0.198589459348543,0.198589459348543,0.196513509981454,-0.198589459348543,0,0.198589459348543,-0.00362084695601461,-0.0499128773759467,-0.196513509981454,0.196513509981454
"MIR190",-0.101378474530802,0.119346879999617,0.0442882009925811,-0.245892180705548,-0.0323869485312418,0.0996646784725326,0.0150827542904847,0.119346879999617,0.0996646784725326,0.0442882009925811,-0.0996646784725326,-0.0996646784725326,-0.0996646784725326,0.0996646784725326,0,-0.0996646784725326,-0.0110846857498689,0.133309105649008,0.0996646784725326,-0.0996646784725326
"MIR129",0.0681716916931907,-0.0277706369697136,-0.180053326642267,0.0410492904367208,-0.0418304511220356,-0.067795846040472,0.0564922945585405,-0.0277706369697136,-0.067795846040472,0.218792700593509,0.067795846040472,0.067795846040472,0.0642190949227373,-0.067795846040472,0,0.067795846040472,0.103638459239394,-0.128761217298557,-0.0642190949227373,0.0642190949227373
"MIR1199",0.280384401472075,-0.230417334238701,0.0447670181014258,0.247461615414698,-0.0408656945134504,-0.275171413685361,0.205184338167255,-0.230417334238701,-0.275171413685361,0.0447670181014258,0.275171413685361,0.275171413685361,0.271687981229966,-0.275171413685361,0,0.275171413685361,-0.00435278421556664,-0.208115509822419,-0.271687981229966,0.271687981229966
"HAS2",0.275171413685361,-0.22746686005535,0.045223639105992,0.240022001888128,-0.0394465838228166,-0.271687981229966,0.203814475153557,-0.22746686005535,-0.271687981229966,0.045223639105992,0.271687981229966,0.271687981229966,0.361255411255411,-0.271687981229966,0,0.271687981229966,-0.00328819940364329,-0.205210580244954,-0.261255411255411,0.261255411255411
"HA",0.280384401472075,-0.230417334238701,0.0447670181014258,0.247461615414698,-0.0408656945134504,-0.275171413685361,0.205184338167255,-0.230417334238701,-0.275171413685361,0.0447670181014258,0.275171413685361,0.275171413685361,0.271687981229966,-0.275171413685361,0,0.275171413685361,-0.00435278421556664,-0.208115509822419,-0.271687981229966,0.271687981229966
"GRHL2",-0.391604542365577,0.321815366837248,-0.0609005592271846,-0.344713806620601,0.0644006397049497,0.386840537072238,-0.337241325502511,0.321815366837248,0.386840537072238,-0.0609005592271846,-0.386840537072238,-0.386840537072238,-0.381617607135932,0.386840537072238,0,-0.386840537072238,0.00174058308365217,0.3071499301618,0.381617607135932,-0.481617607135932
"EXTGFB",-0.101510885888754,0.119477804325357,0.0422204491228055,-0.146508586585112,-0.0338725567020868,0.101378474530802,0.0131188894043889,0.119477804325357,0.101378474530802,0.0422204491228055,-0.101378474530802,-0.101378474530802,-0.0996646784725326,0.101378474530802,0,-0.101378474530802,-0.0111192042172489,0.133678109339045,0.0996646784725326,-0.0996646784725326
"ESRP1",0.275171413685361,-0.22746686005535,0.045223639105992,0.240022001888128,-0.0394465838228166,-0.271687981229966,0.203814475153557,-0.22746686005535,-0.271687981229966,0.045223639105992,0.271687981229966,0.271687981229966,0.261255411255411,-0.271687981229966,0,0.271687981229966,-0.00328819940364329,-0.205210580244954,-0.361255411255411,0.261255411255411
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.280384401472075,0.230417334238701,-0.0447670181014258,-0.247461615414698,0.0408656945134504,0.275171413685361,-0.205184338167255,0.230417334238701,0.275171413685361,-0.0447670181014258,-0.275171413685361,-0.275171413685361,-0.271687981229966,0.275171413685361,0,-0.275171413685361,0.00435278421556664,0.208115509822419,0.271687981229966,-0.271687981229966
"CD24",0.280384401472075,-0.230417334238701,0.0447670181014258,0.247461615414698,-0.0408656945134504,-0.275171413685361,0.205184338167255,-0.230417334238701,-0.275171413685361,0.0447670181014258,0.275171413685361,0.275171413685361,0.271687981229966,-0.275171413685361,0,0.275171413685361,-0.00435278421556664,-0.208115509822419,-0.271687981229966,0.271687981229966
