"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0934765616835924,0.0332696814784875,-0.0485635294211818,-0.00058621372060205,0.0554447365596404,0.00268316124601949,-0.029464921819824,0.0332696814784875,-0.00268316124601949,-0.0485635294211818,-0.00268316124601949,0.00268316124601949,0.0254073957989611,0.00268316124601949,0,0.00268316124601949,0.000610545986466955,-0.0228221550964118,-0.0254073957989611,0.0254073957989611
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",0.147805995456648,0.0727410155705898,0.0553870837121404,-0.000993687471259223,-0.0222665543139556,0.137124019117052,-0.0528960046771738,0.0727410155705898,-0.137124019117052,-0.0509417726126909,-0.137124019117052,0.137124019117052,-0.141659223326523,0.137124019117052,0,0.137124019117052,0.116882614649526,-0.154478247420703,0.141659223326523,-0.141659223326523
"TGFB",-0.0506963991045155,-0.102450542327578,-0.0679206482925674,-0.0785943396387442,0.0321048028413551,-0.0442082425648656,-0.06087137527018,-0.102450542327578,0.0442082425648656,-0.0679206482925674,0.0442082425648656,-0.0442082425648656,0.0550051577319607,-0.0442082425648656,0,-0.0442082425648656,0.0586897138079396,-0.0640053609072206,-0.0550051577319607,0.0550051577319607
"SNAIL1",-0.0513025821718018,-0.0943010601123598,-0.0322877657519201,-0.0878743656423197,-0.0405308994529929,-0.0506963991045155,-0.0447795247523953,-0.0943010601123598,0.0506963991045155,-0.0322877657519201,0.0506963991045155,-0.0506963991045155,0.0442082425648656,-0.0506963991045155,0,-0.0506963991045155,0.0773225170360431,-0.0431801254460157,-0.0442082425648656,0.0442082425648656
"MIR340",-0.00268316124601949,-0.0106595553589481,0.0597508151799852,-0.000161753759072747,-0.0472063777188719,0.0254073957989611,0.0176023738395644,-0.0106595553589481,-0.0254073957989611,0.0597508151799852,-0.0254073957989611,0.0254073957989611,-0.0351779990275083,0.0254073957989611,0,0.0254073957989611,0.00149976576413257,0.013927851106159,0.0351779990275083,-0.0351779990275083
"MIR34",0.0506963991045155,0.102450542327578,0.0679206482925674,0.0785943396387442,-0.0321048028413551,0.0442082425648656,0.06087137527018,0.102450542327578,-0.0442082425648656,0.0679206482925674,-0.0442082425648656,0.0442082425648656,-0.0550051577319607,0.0442082425648656,0,0.0442082425648656,-0.0586897138079396,0.0640053609072206,0.0550051577319607,-0.0550051577319607
"MIR200",-0.0270237923786642,-0.140102145121089,-0.0346803917278368,-0.00278740158548579,0.0571836248419252,-0.0148818138160214,-0.0439399662060277,-0.140102145121089,0.0148818138160214,-0.0346803917278368,0.0148818138160214,-0.0148818138160214,0.00956535811981891,-0.0148818138160214,0,-0.0148818138160214,0.101157489863305,-0.0323850070267694,-0.00956535811981891,0.00956535811981891
"MIR190",-0.0442082425648656,-0.0940975703453839,-0.023969922379677,0.00931462195442791,0.0633489996844378,-0.0550051577319607,-0.0393212312534217,-0.0940975703453839,0.0550051577319607,-0.023969922379677,0.0550051577319607,-0.0550051577319607,0.0562582905640409,-0.0550051577319607,0,-0.0550051577319607,0.0822658270285126,-0.0368510305403875,-0.0562582905640409,0.0562582905640409
"MIR129",-0.137124019117052,-0.0655651609355421,-0.126359887059421,-0.00709309753860271,0.0406417430061472,-0.141659223326523,0.0656462356596191,-0.0655651609355421,0.141659223326523,0.0799504045771167,0.141659223326523,-0.141659223326523,0.153283664459161,-0.141659223326523,0,-0.141659223326523,-0.101482203971908,0.170987077725284,-0.153283664459161,0.153283664459161
"MIR1199",0.00268316124601949,0.0106595553589481,-0.0597508151799852,0.000161753759072747,0.0472063777188719,-0.0254073957989611,-0.0176023738395644,0.0106595553589481,0.0254073957989611,-0.0597508151799852,0.0254073957989611,-0.0254073957989611,0.0351779990275083,-0.0254073957989611,0,-0.0254073957989611,-0.00149976576413257,-0.013927851106159,-0.0351779990275083,0.0351779990275083
"HAS2",0.0254073957989611,-0.00581234777201448,0.0538147421206245,0.000707811458318557,-0.0611136624870839,0.0351779990275083,0.010331562459164,-0.00581234777201448,-0.0351779990275083,0.0538147421206245,-0.0351779990275083,0.0351779990275083,-0.0855596784168213,0.0351779990275083,0,0.0351779990275083,-0.00211982259640682,0.00600531589489136,-0.0144403215831787,0.0144403215831787
"HA",0.00268316124601949,0.0106595553589481,-0.0597508151799852,0.000161753759072747,0.0472063777188719,-0.0254073957989611,-0.0176023738395644,0.0106595553589481,0.0254073957989611,-0.0597508151799852,0.0254073957989611,-0.0254073957989611,0.0351779990275083,-0.0254073957989611,0,-0.0254073957989611,-0.00149976576413257,-0.013927851106159,-0.0351779990275083,0.0351779990275083
"GRHL2",-0.0859966346582946,-0.0806539860363804,0.0761225179435834,0.0079002690698704,-0.0750556235109042,-0.0626618309529571,0.110962469737224,-0.0806539860363804,0.0626618309529571,0.0761225179435834,0.0626618309529571,-0.0626618309529571,0.067757372354231,-0.0626618309529571,0,-0.0626618309529571,-0.0123476696203311,0.107372864486589,-0.067757372354231,-0.032242627645769
"EXTGFB",0.0506963991045155,0.102450542327578,0.0679206482925674,0.0785943396387442,-0.0321048028413551,0.0442082425648656,0.06087137527018,0.102450542327578,-0.0442082425648656,0.0679206482925674,-0.0442082425648656,0.0442082425648656,-0.0550051577319607,0.0442082425648656,0,0.0442082425648656,-0.0586897138079396,0.0640053609072206,0.0550051577319607,-0.0550051577319607
"ESRP1",0.0254073957989611,-0.00581234777201448,0.0538147421206245,0.000707811458318557,-0.0611136624870839,0.0351779990275083,0.010331562459164,-0.00581234777201448,-0.0351779990275083,0.0538147421206245,-0.0351779990275083,0.0351779990275083,0.0144403215831787,0.0351779990275083,0,0.0351779990275083,-0.00211982259640682,0.00600531589489136,0.0855596784168213,0.0144403215831787
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.00268316124601949,-0.0106595553589481,0.0597508151799852,-0.000161753759072747,-0.0472063777188719,0.0254073957989611,0.0176023738395644,-0.0106595553589481,-0.0254073957989611,0.0597508151799852,-0.0254073957989611,0.0254073957989611,-0.0351779990275083,0.0254073957989611,0,0.0254073957989611,0.00149976576413257,0.013927851106159,0.0351779990275083,-0.0351779990275083
"CD24",0.00268316124601949,0.0106595553589481,-0.0597508151799852,0.000161753759072747,0.0472063777188719,-0.0254073957989611,-0.0176023738395644,0.0106595553589481,0.0254073957989611,-0.0597508151799852,0.0254073957989611,-0.0254073957989611,0.0351779990275083,-0.0254073957989611,0,-0.0254073957989611,-0.00149976576413257,-0.013927851106159,-0.0351779990275083,0.0351779990275083
