"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0645600581469381,0.160154619624171,-0.0687434415581744,0.00476649976857979,-0.0804040993473266,-0.164162788105174,0.140137282708548,-0.140137282708548,-0.164162788105174,-0.0687434415581744,0.164162788105174,-0.164162788105174,0.164847923642856,-0.164162788105174,0,0.164162788105174,-0.0159938953971483,-0.128107625017461,-0.164847923642856,0.164847923642856
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.0525810831638835,-0.0315465768572538,0.0972164202232232,0.00135324559350017,0.00112055000233637,0.0529986196983303,-0.0346103317227602,0.0346103317227602,0.0529986196983303,-0.190349443154908,-0.0529986196983303,0.0529986196983303,-0.0518209699864786,0.0529986196983303,0,-0.0529986196983303,0.0896138116407362,-0.0342505711424508,0.0518209699864786,-0.0518209699864786
"TGFB",-0.0728682245578597,-0.0850617593784854,0.0289090277583505,-0.0652125779594769,-0.000201472267822379,0.0727652379461192,0.0113384180233671,-0.0113384180233671,0.0727652379461192,0.0289090277583505,-0.0727652379461192,0.0727652379461192,-0.0733650665665134,0.0727652379461192,0,-0.0727652379461192,0.0680800913371113,-0.0564152142914768,0.0733650665665134,-0.0733650665665134
"SNAIL1",-0.0729692550690741,-0.0854309624401693,0.0291065661263797,-0.0651963257247946,-0.100625167207466,0.0728682245578597,0.011581551746915,-0.011581551746915,0.0728682245578597,0.0291065661263797,-0.0728682245578597,0.0728682245578597,-0.0727652379461192,0.0728682245578597,0,-0.0728682245578597,0.0677952586762996,-0.0567740123180876,0.0727652379461192,-0.0727652379461192
"MIR340",-0.164162788105174,-0.160867469194633,0.0695848251667752,-0.00447381684175052,0.0801110351988407,0.164847923642856,-0.140265230067349,0.140265230067349,0.164847923642856,0.0695848251667752,-0.164847923642856,0.164847923642856,-0.163063726531556,0.164847923642856,0,-0.164847923642856,0.0156102023515848,0.12838176452401,0.163063726531556,-0.163063726531556
"MIR34",0.0728682245578597,0.0850617593784854,-0.0289090277583505,0.0652125779594769,0.000201472267822379,-0.0727652379461192,-0.0113384180233671,0.0113384180233671,-0.0727652379461192,-0.0289090277583505,0.0727652379461192,-0.0727652379461192,0.0733650665665134,-0.0727652379461192,0,0.0727652379461192,-0.0680800913371113,0.0564152142914768,-0.0733650665665134,0.0733650665665134
"MIR200",-0.158133792181905,-0.236188643686348,0.0698331114814008,0.00501960900484115,0.0897446482319155,0.158783941540541,-0.0508100853714741,0.0508100853714741,0.158783941540541,0.0698331114814008,-0.158783941540541,0.158783941540541,-0.157315587110161,0.158783941540541,0,-0.158783941540541,0.0973843586964308,0.0368418331737492,0.157315587110161,-0.157315587110161
"MIR190",0.0727652379461192,0.0854545323557045,-0.0279851386250465,-0.0340761844871803,0.000990701608583754,-0.0733650665665134,-0.0109980147764438,0.0109980147764438,-0.0733650665665134,-0.0279851386250465,0.0733650665665134,-0.0733650665665134,0.0723625603008492,-0.0733650665665134,0,0.0733650665665134,-0.0688740160868525,0.0566105691862022,-0.0723625603008492,0.0723625603008492
"MIR129",0.0529986196983303,0.0307766353728067,-0.197373323988914,-0.00171954595980053,-0.0016283035360265,-0.0518209699864786,0.0339327832164467,-0.0339327832164467,-0.0518209699864786,0.190166340879209,0.0518209699864786,-0.0518209699864786,0.0531622516556291,-0.0518209699864786,0,0.0518209699864786,-0.0889977952136315,0.0346856876000909,-0.0531622516556291,0.0531622516556291
"MIR1199",0.164162788105174,0.160867469194633,-0.0695848251667752,0.00447381684175052,-0.0801110351988407,-0.164847923642856,0.140265230067349,-0.140265230067349,-0.164847923642856,-0.0695848251667752,0.164847923642856,-0.164847923642856,0.163063726531556,-0.164847923642856,0,0.164847923642856,-0.0156102023515848,-0.12838176452401,-0.163063726531556,0.163063726531556
"HAS2",-0.164847923642856,-0.159286858024981,0.0685802589567295,-0.00457043519923844,0.0808678942338455,0.163063726531556,-0.139632985599488,0.139632985599488,0.163063726531556,0.0685802589567295,-0.163063726531556,0.163063726531556,-0.265862708719852,0.163063726531556,0,-0.163063726531556,0.0156811746723797,0.127765567340911,0.165862708719852,-0.165862708719852
"HA",0.164162788105174,0.160867469194633,-0.0695848251667752,0.00447381684175052,-0.0801110351988407,-0.164847923642856,0.140265230067349,-0.140265230067349,-0.164847923642856,-0.0695848251667752,0.164847923642856,-0.164847923642856,0.163063726531556,-0.164847923642856,0,0.164847923642856,-0.0156102023515848,-0.12838176452401,-0.163063726531556,0.163063726531556
"GRHL2",0.292425844149096,0.290247572978093,-0.0875139932371541,0.0121599442420972,-0.105238576943977,-0.292469955309219,0.24619287216895,-0.24619287216895,-0.292469955309219,-0.0875139932371541,0.292469955309219,-0.292469955309219,0.29183301263406,-0.292469955309219,0,0.292469955309219,-0.0248659724931801,-0.237420391276962,-0.29183301263406,0.19183301263406
"EXTGFB",-0.0728682245578597,-0.0850617593784854,0.0289090277583505,-0.0652125779594769,-0.000201472267822379,0.0727652379461192,0.0113384180233671,-0.0113384180233671,0.0727652379461192,0.0289090277583505,-0.0727652379461192,0.0727652379461192,-0.0733650665665134,0.0727652379461192,0,-0.0727652379461192,0.0680800913371113,-0.0564152142914768,0.0733650665665134,-0.0733650665665134
"ESRP1",-0.164847923642856,-0.159286858024981,0.0685802589567295,-0.00457043519923844,0.0808678942338455,0.163063726531556,-0.139632985599488,0.139632985599488,0.163063726531556,0.0685802589567295,-0.163063726531556,0.163063726531556,-0.165862708719852,0.163063726531556,0,-0.163063726531556,0.0156811746723797,0.127765567340911,0.0658627087198516,-0.165862708719852
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.164162788105174,0.160867469194633,-0.0695848251667752,0.00447381684175052,-0.0801110351988407,-0.164847923642856,0.140265230067349,-0.140265230067349,-0.164847923642856,-0.0695848251667752,0.164847923642856,-0.164847923642856,0.163063726531556,-0.164847923642856,0,0.164847923642856,-0.0156102023515848,-0.12838176452401,-0.163063726531556,0.163063726531556
"CD24",-0.164162788105174,-0.160867469194633,0.0695848251667752,-0.00447381684175052,0.0801110351988407,0.164847923642856,-0.140265230067349,0.140265230067349,0.164847923642856,0.0695848251667752,-0.164847923642856,0.164847923642856,-0.163063726531556,0.164847923642856,0,-0.164847923642856,0.0156102023515848,0.12838176452401,0.163063726531556,-0.163063726531556
