"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0374799305545004,-0.0826938712905149,0.0448475752916334,0.0697924878363726,-0.0348633960686652,-0.0618579527092257,0.0826938712905149,-0.0754260906014357,-0.0618579527092257,-0.0448475752916334,0.0618579527092257,-0.0618579527092257,0.0616494331977572,-0.0618579527092257,0,-0.0618579527092257,0.0033449268844904,-0.088521168689985,0.0616494331977572,-0.0616494331977572
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",-0.00385459588845317,-0.0897185298292259,0.0229894640629674,-0.0649952730816815,0.183335098729061,0.00328048315358887,0.0897185298292259,0.0946284611278664,0.00328048315358887,0.233713958176407,-0.00328048315358887,0.00328048315358887,-0.00360621605261167,0.00328048315358887,0,0.00328048315358887,0.101924303722083,-0.14596848377359,-0.00360621605261167,0.00360621605261167
"TGFB",0.101124513799369,-0.164350358423088,-0.0675938055598378,-0.0442911221026669,0.125856493443993,-0.102345640767149,0.164350358423088,0.0658394993958161,-0.102345640767149,0.0675938055598378,0.102345640767149,-0.102345640767149,0.103031159190456,-0.102345640767149,0,-0.102345640767149,-0.0164740425684604,-0.112180033827128,0.103031159190456,-0.103031159190456
"SNAIL1",0.100892143623576,-0.163224739332588,-0.0676393913370753,-0.0438198072968811,0.0268877509385964,-0.101124513799369,0.163224739332588,0.0662087024575001,-0.101124513799369,0.0676393913370753,0.101124513799369,-0.101124513799369,0.102345640767149,-0.101124513799369,0,-0.101124513799369,-0.0162841541279192,-0.11158203711611,0.102345640767149,-0.102345640767149
"MIR340",-0.0618579527092257,0.0816885706142217,-0.0460629071707234,-0.0713209431209255,0.035840276563618,0.0616494331977572,-0.0816885706142217,0.0761754965601269,0.0616494331977572,0.0460629071707234,-0.0616494331977572,0.0616494331977572,-0.0636035538434666,0.0616494331977572,0,0.0616494331977572,-0.00315308036170862,0.0878205899510268,-0.0636035538434666,0.0636035538434666
"MIR34",-0.101124513799369,0.164350358423088,0.0675938055598378,0.0442911221026669,-0.125856493443993,0.102345640767149,-0.164350358423088,-0.0658394993958161,0.102345640767149,-0.0675938055598378,-0.102345640767149,0.102345640767149,-0.103031159190456,0.102345640767149,0,0.102345640767149,0.0164740425684604,0.112180033827128,-0.103031159190456,0.103031159190456
"MIR200",-0.102164413699317,0.20358307722042,0.0734557435647474,-0.104486849206742,-0.0969036951875154,0.102322558137904,-0.20358307722042,0.00528152261042215,0.102322558137904,-0.0734557435647474,-0.102322558137904,0.102322558137904,-0.102474456872081,0.102322558137904,0,0.102322558137904,0.00380637688234582,0.196390577796635,-0.102474456872081,0.102474456872081
"MIR190",-0.102345640767149,0.16636659303948,0.0695735679883464,-0.0533855018897466,-0.12683142380611,0.103031159190456,-0.16636659303948,-0.0670178183274736,0.103031159190456,-0.0695735679883464,-0.103031159190456,0.103031159190456,-0.100524893526296,0.103031159190456,0,0.103031159190456,0.0162324132968,0.113504105891378,-0.100524893526296,0.100524893526296
"MIR129",-0.00328048315358887,-0.0901804947198942,0.121995740213595,-0.0660378202780749,0.184419221138832,0.00360621605261167,0.0901804947198942,0.0954907955904472,0.00360621605261167,0.23468178449082,-0.00360621605261167,0.00360621605261167,-0.00539459161147903,0.00360621605261167,0,0.00360621605261167,0.102252845816539,-0.146275624802512,-0.00539459161147903,0.00539459161147903
"MIR1199",-0.0618579527092257,0.0816885706142217,-0.0460629071707234,-0.0713209431209255,0.035840276563618,0.0616494331977572,-0.0816885706142217,0.0761754965601269,0.0616494331977572,0.0460629071707234,-0.0616494331977572,0.0616494331977572,-0.0636035538434666,0.0616494331977572,0,0.0616494331977572,-0.00315308036170862,0.0878205899510268,-0.0636035538434666,0.0636035538434666
"HAS2",0.0616494331977572,-0.0828476854719667,0.0468848249789426,0.0714175614784134,-0.0381108536686322,-0.0636035538434666,0.0828476854719667,-0.0774399854958487,-0.0636035538434666,-0.0468848249789426,0.0636035538434666,-0.0636035538434666,-0.0341063698206555,-0.0636035538434666,0,-0.0636035538434666,0.00251432947455461,-0.0884367871341254,0.0658936301793445,-0.0658936301793445
"HA",-0.0618579527092257,0.0816885706142217,-0.0460629071707234,-0.0713209431209255,0.035840276563618,0.0616494331977572,-0.0816885706142217,0.0761754965601269,0.0616494331977572,0.0460629071707234,-0.0616494331977572,0.0616494331977572,-0.0636035538434666,0.0616494331977572,0,0.0616494331977572,-0.00315308036170862,0.0878205899510268,-0.0636035538434666,0.0636035538434666
"GRHL2",-0.011360450159632,0.0095696836284227,0.0492933468388806,-0.00823791563228454,-0.0417604345270681,0.0120221175614846,-0.0095696836284227,0.00623691255955453,0.0120221175614846,-0.0492933468388806,-0.0120221175614846,0.0120221175614846,-0.0111303978162617,0.0120221175614846,0,0.0120221175614846,0.00107529106976384,0.00852440313496115,-0.0111303978162617,0.111130397816262
"EXTGFB",-0.101124513799369,0.164350358423088,0.0675938055598378,0.0442911221026669,-0.125856493443993,0.102345640767149,-0.164350358423088,-0.0658394993958161,0.102345640767149,-0.0675938055598378,-0.102345640767149,0.102345640767149,-0.103031159190456,0.102345640767149,0,0.102345640767149,0.0164740425684604,0.112180033827128,-0.103031159190456,0.103031159190456
"ESRP1",0.0616494331977572,-0.0828476854719667,0.0468848249789426,0.0714175614784134,-0.0381108536686322,-0.0636035538434666,0.0828476854719667,-0.0774399854958487,-0.0636035538434666,-0.0468848249789426,0.0636035538434666,-0.0636035538434666,0.0658936301793445,-0.0636035538434666,0,-0.0636035538434666,0.00251432947455461,-0.0884367871341254,-0.0341063698206555,-0.0658936301793445
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0618579527092257,0.0816885706142217,-0.0460629071707234,-0.0713209431209255,0.035840276563618,0.0616494331977572,-0.0816885706142217,0.0761754965601269,0.0616494331977572,0.0460629071707234,-0.0616494331977572,0.0616494331977572,-0.0636035538434666,0.0616494331977572,0,0.0616494331977572,-0.00315308036170862,0.0878205899510268,-0.0636035538434666,0.0636035538434666
"CD24",-0.0618579527092257,0.0816885706142217,-0.0460629071707234,-0.0713209431209255,0.035840276563618,0.0616494331977572,-0.0816885706142217,0.0761754965601269,0.0616494331977572,0.0460629071707234,-0.0616494331977572,0.0616494331977572,-0.0636035538434666,0.0616494331977572,0,0.0616494331977572,-0.00315308036170862,0.0878205899510268,-0.0636035538434666,0.0636035538434666
