"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.00102678771298751,-0.0712712504548519,-0.0337177383610612,0.0784330724278111,0.0195077916055927,0.0990445171663035,-0.103816243680725,-0.0712712504548519,0.0990445171663035,-0.0337177383610612,-0.0990445171663035,0.0990445171663035,-0.098597689641728,0.0990445171663035,0,-0.0990445171663035,0.0105997259322033,-0.0899746660499868,-0.098597689641728,-0.098597689641728
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",0.0192025969224102,-0.00416261449338024,0.040777103092073,0.00992485573478169,-0.0209680346383096,0.0192895837004199,-0.020354511565083,-0.00416261449338024,0.0192895837004199,-0.0732047035063508,-0.0192895837004199,0.0192895837004199,-0.0191141890624846,0.0192895837004199,0,-0.0192895837004199,0.155970438457172,-0.214560862418297,-0.0191141890624846,-0.0191141890624846
"TGFB",-0.0226607699453776,0.0701640787755982,0.0346255978533335,-0.0881297862620425,-0.0135295935107475,-0.0223518101101561,-0.0452310596121287,0.0701640787755982,-0.0223518101101561,0.0346255978533335,0.0223518101101561,-0.0223518101101561,0.0226088795188965,-0.0223518101101561,0,0.0223518101101561,0.0766005422250033,-0.0827593355405359,0.0226088795188965,0.0226088795188965
"SNAIL1",0.0226203577408918,-0.0703171629719062,-0.034397668967146,0.0879835161499021,-0.0863345043388008,0.0226607699453776,0.0450059357940288,-0.0703171629719062,0.0226607699453776,-0.034397668967146,-0.0226607699453776,0.0226607699453776,-0.0223518101101561,0.0226607699453776,0,-0.0226607699453776,-0.0765768061699357,0.0826546861161077,-0.0223518101101561,-0.0223518101101561
"MIR340",-0.0990445171663035,0.0711067467078221,0.0338735501404317,-0.0785956740538273,-0.0191496020907767,-0.098597689641728,0.103432401604322,0.0711067467078221,-0.098597689641728,0.0338735501404317,0.098597689641728,-0.098597689641728,0.0986826514089328,-0.098597689641728,0,0.098597689641728,-0.0104078794094215,0.0896396066530937,0.0986826514089328,0.0986826514089328
"MIR34",-0.0226607699453776,0.0701640787755982,0.0346255978533335,-0.0881297862620425,-0.0135295935107475,-0.0223518101101561,-0.0452310596121287,0.0701640787755982,-0.0223518101101561,0.0346255978533335,0.0223518101101561,-0.0223518101101561,0.0226088795188965,-0.0223518101101561,0,0.0223518101101561,0.0766005422250033,-0.0827593355405359,0.0226088795188965,0.0226088795188965
"MIR200",0.0721635467109485,-0.167212401664639,-0.0588196155457198,0.0689128780618457,0.0676077108870491,0.0720054022723612,0.00336987592723449,-0.167212401664639,0.0720054022723612,-0.0588196155457198,-0.0720054022723612,0.0720054022723612,-0.0721573010065384,0.0720054022723612,0,-0.0720054022723612,-0.0897084501594651,0.00864639886826721,-0.0721573010065384,-0.0721573010065384
"MIR190",-0.0223518101101561,0.0702426333710421,0.0341416559263647,0.0113486395321728,-0.0136224440214253,-0.0226088795188965,-0.0449953958257972,0.0702426333710421,-0.0226088795188965,0.0341416559263647,0.0226088795188965,-0.0226088795188965,0.0228595060853125,-0.0226088795188965,0,0.0226088795188965,0.077049282300944,-0.082737629441122,0.0228595060853125,0.0228595060853125
"MIR129",-0.0192895837004199,0.00416261449338024,-0.140358693050232,-0.0100093865885433,0.0210092038437439,-0.0191141890624846,0.0201389279494378,0.00416261449338024,-0.0191141890624846,0.0735970655257073,0.0191141890624846,-0.0191141890624846,0.0194122516556291,-0.0191141890624846,0,0.0191141890624846,-0.156093641742593,0.214484077161067,0.0194122516556291,0.0194122516556291
"MIR1199",-0.0990445171663035,0.0711067467078221,0.0338735501404317,-0.0785956740538273,-0.0191496020907767,-0.098597689641728,0.103432401604322,0.0711067467078221,-0.098597689641728,0.0338735501404317,0.098597689641728,-0.098597689641728,0.0986826514089328,-0.098597689641728,0,0.098597689641728,-0.0104078794094215,0.0896396066530937,0.0986826514089328,0.0986826514089328
"HAS2",0.098597689641728,-0.0713174948637758,-0.0339648743413449,0.0800449494161462,0.0194334242289034,0.0986826514089328,-0.103327027526345,-0.0713174948637758,0.0986826514089328,-0.0339648743413449,-0.0986826514089328,0.0986826514089328,-0.200463821892393,0.0986826514089328,0,-0.0986826514089328,0.0103369070886266,-0.0894635503150655,-0.100463821892393,-0.100463821892393
"HA",-0.0990445171663035,0.0711067467078221,0.0338735501404317,-0.0785956740538273,-0.0191496020907767,-0.098597689641728,0.103432401604322,0.0711067467078221,-0.098597689641728,0.0338735501404317,0.098597689641728,-0.098597689641728,0.0986826514089328,-0.098597689641728,0,0.098597689641728,-0.0104078794094215,0.0896396066530937,0.0986826514089328,0.0986826514089328
"GRHL2",0.00865460218943732,-0.01485304425946,0.0414771820435356,0.0141449543977476,-0.0347130569838112,0.00900749147042541,-0.0108937500186828,-0.01485304425946,0.00900749147042541,0.0414771820435356,-0.00900749147042541,0.00900749147042541,-0.00938965707552095,0.00900749147042541,0,-0.00900749147042541,-0.000485238317869062,-0.0154858706199579,-0.00938965707552095,-0.109389657075521
"EXTGFB",0.0226607699453776,-0.0701640787755982,-0.0346255978533335,0.0881297862620425,0.0135295935107475,0.0223518101101561,0.0452310596121287,-0.0701640787755982,0.0223518101101561,-0.0346255978533335,-0.0223518101101561,0.0223518101101561,-0.0226088795188965,0.0223518101101561,0,-0.0223518101101561,-0.0766005422250033,0.0827593355405359,-0.0226088795188965,-0.0226088795188965
"ESRP1",0.098597689641728,-0.0713174948637758,-0.0339648743413449,0.0800449494161462,0.0194334242289034,0.0986826514089328,-0.103327027526345,-0.0713174948637758,0.0986826514089328,-0.0339648743413449,-0.0986826514089328,0.0986826514089328,-0.100463821892393,0.0986826514089328,0,-0.0986826514089328,0.0103369070886266,-0.0894635503150655,-0.000463821892393321,-0.100463821892393
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.0990445171663035,-0.0711067467078221,-0.0338735501404317,0.0785956740538273,0.0191496020907767,0.098597689641728,-0.103432401604322,-0.0711067467078221,0.098597689641728,-0.0338735501404317,-0.098597689641728,0.098597689641728,-0.0986826514089328,0.098597689641728,0,-0.098597689641728,0.0104078794094215,-0.0896396066530937,-0.0986826514089328,-0.0986826514089328
"CD24",-0.0990445171663035,0.0711067467078221,0.0338735501404317,-0.0785956740538273,-0.0191496020907767,-0.098597689641728,0.103432401604322,0.0711067467078221,-0.098597689641728,0.0338735501404317,0.098597689641728,-0.098597689641728,0.0986826514089328,-0.098597689641728,0,0.098597689641728,-0.0104078794094215,0.0896396066530937,0.0986826514089328,0.0986826514089328
