"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.00374077996183363,-0.0929298343794204,-0.096267434202888,0.00436042138188196,-0.0791184420899008,-0.103649102259888,-0.0929298343794204,-0.0929298343794204,-0.103649102259888,0.0596330318803866,-0.103649102259888,-0.103649102259888,0.103738467764803,0.103649102259888,0,-0.103649102259888,-0.0961304492895929,0.101318344305986,-0.103738467764803,-0.103738467764803
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",-0.00462188930288365,-0.00449503864615723,0.0028637268260086,-0.00429842467355471,0.0174065097101268,0.00476106814769924,-0.00449503864615723,-0.00449503864615723,0.00476106814769924,0.0215160673457129,0.00476106814769924,0.00476106814769924,-0.0046357862634597,-0.00476106814769924,0,0.00476106814769924,-0.0815607320377726,0.0425721524941513,0.0046357862634597,0.0046357862634597
"TGFB",-0.0730856175317867,0.101524437640562,-0.0855566122444157,0.0764311915596677,-0.0280402727781596,0.0729237814276231,0.101524437640562,0.101524437640562,0.0729237814276231,0.0226234692323798,0.0729237814276231,0.0729237814276231,-0.07309516103345,-0.0729237814276231,0,0.0729237814276231,0.0471998897929996,0.0237242571499774,0.07309516103345,0.07309516103345
"SNAIL1",0.0729845870205723,-0.10149742278239,0.0853894643945449,-0.0764474437943499,-0.0717278941416582,-0.0730856175317867,-0.10149742278239,-0.10149742278239,-0.0730856175317867,-0.0223043687917173,-0.0730856175317867,-0.0730856175317867,0.0729237814276231,0.0730856175317867,0,-0.0730856175317867,-0.0470812095176613,-0.0234850584655701,-0.0729237814276231,-0.0729237814276231
"MIR340",-0.103649102259888,0.0930212253499925,0.0963609212705103,-0.00452302300789822,0.0790207540404056,0.103738467764803,0.0930212253499925,0.0930212253499925,0.103738467764803,-0.0596018695245125,0.103738467764803,0.103738467764803,-0.103993353066417,-0.103738467764803,0,0.103738467764803,0.0962743341816792,-0.101348804251158,0.103993353066417,0.103993353066417
"MIR34",0.0730856175317867,-0.101524437640562,0.0855566122444157,-0.0764311915596677,0.0280402727781596,-0.0729237814276231,-0.101524437640562,-0.101524437640562,-0.0729237814276231,-0.0226234692323798,-0.0729237814276231,-0.0729237814276231,0.07309516103345,0.0729237814276231,0,-0.0729237814276231,-0.0471998897929996,-0.0237242571499774,-0.07309516103345,-0.07309516103345
"MIR200",-0.110937523110023,0.193350255972735,-0.0599392568140599,0.191073213425188,-0.0246026885212027,0.111060524340036,0.193350255972735,0.193350255972735,0.111060524340036,0.0299254238703549,0.111060524340036,0.111060524340036,-0.111212423074213,-0.111060524340036,0,0.111060524340036,0.112220925194022,-0.0295639841372699,0.111212423074213,0.111212423074213
"MIR190",0.0729237814276231,-0.101602992236005,0.085248649199981,-0.17619411237522,0.0283652495655319,-0.07309516103345,-0.101602992236005,-0.101602992236005,-0.07309516103345,-0.0224914850704793,-0.07309516103345,-0.07309516103345,0.07309516103345,0.07309516103345,0,-0.07309516103345,-0.0472344082603796,-0.0235723144540798,-0.07309516103345,-0.07309516103345
"MIR129",0.00476106814769924,0.00452583630553512,-0.102654521805088,0.00415753991728534,-0.0176398018742547,-0.0046357862634597,0.00452583630553512,0.00452583630553512,-0.0046357862634597,-0.0216991696214126,-0.0046357862634597,-0.0046357862634597,0.00448675496688742,0.0046357862634597,0,-0.0046357862634597,0.0816428675613866,-0.0427257230086125,-0.00448675496688742,-0.00448675496688742
"MIR1199",0.103649102259888,-0.0930212253499925,-0.0963609212705103,0.00452302300789822,-0.0790207540404056,-0.103738467764803,-0.0930212253499925,-0.0930212253499925,-0.103738467764803,0.0596018695245125,-0.103738467764803,-0.103738467764803,0.103993353066417,0.103738467764803,0,-0.103738467764803,-0.0962743341816792,0.101348804251158,-0.103993353066417,-0.103993353066417
"HAS2",-0.103738467764803,0.0929158512720157,0.0962695970695971,-0.0040399312204586,0.07892614666103,0.103993353066417,0.0929158512720157,0.0929158512720157,0.103993353066417,-0.0600584905290788,0.103993353066417,0.103993353066417,-0.202721088435374,-0.103993353066417,0,0.103993353066417,0.0954936386529354,-0.101700916927215,0.102721088435374,0.102721088435374
"HA",0.103649102259888,-0.0930212253499925,-0.0963609212705103,0.00452302300789822,-0.0790207540404056,-0.103738467764803,-0.0930212253499925,-0.0930212253499925,-0.103738467764803,0.0596018695245125,-0.103738467764803,-0.103738467764803,0.103993353066417,0.103738467764803,0,-0.103738467764803,-0.0962743341816792,0.101348804251158,-0.103993353066417,-0.103993353066417
"GRHL2",-0.204333206335221,0.181480536070475,0.116402303990013,-0.0120383720614822,0.103974033141757,0.204465539815592,0.181480536070475,0.181480536070475,0.204465539815592,-0.0780442596487444,0.204465539815592,0.204465539815592,-0.20433815128056,-0.204465539815592,0,0.204465539815592,0.197709098623043,-0.214352503842795,0.20433815128056,0.10433815128056
"EXTGFB",-0.0730856175317867,0.101524437640562,-0.0855566122444157,0.0764311915596677,-0.0280402727781596,0.0729237814276231,0.101524437640562,0.101524437640562,0.0729237814276231,0.0226234692323798,0.0729237814276231,0.0729237814276231,-0.07309516103345,-0.0729237814276231,0,0.0729237814276231,0.0471998897929996,0.0237242571499774,0.07309516103345,0.07309516103345
"ESRP1",-0.103738467764803,0.0929158512720157,0.0962695970695971,-0.0040399312204586,0.07892614666103,0.103993353066417,0.0929158512720157,0.0929158512720157,0.103993353066417,-0.0600584905290788,0.103993353066417,0.103993353066417,-0.102721088435374,-0.103993353066417,0,0.103993353066417,0.0954936386529354,-0.101700916927215,0.202721088435374,0.102721088435374
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.103649102259888,0.0930212253499925,0.0963609212705103,-0.00452302300789822,0.0790207540404056,0.103738467764803,0.0930212253499925,0.0930212253499925,0.103738467764803,-0.0596018695245125,0.103738467764803,0.103738467764803,-0.103993353066417,-0.103738467764803,0,0.103738467764803,0.0962743341816792,-0.101348804251158,0.103993353066417,0.103993353066417
"CD24",0.103649102259888,-0.0930212253499925,-0.0963609212705103,0.00452302300789822,-0.0790207540404056,-0.103738467764803,-0.0930212253499925,-0.0930212253499925,-0.103738467764803,0.0596018695245125,-0.103738467764803,-0.103738467764803,0.103993353066417,0.103738467764803,0,-0.103738467764803,-0.0962743341816792,0.101348804251158,-0.103993353066417,-0.103993353066417
