"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0397933235236994,-0.185468804469763,0.207219216752391,-0.168256499655982,-0.202404954272855,-0.1399053740483,-0.0602287251675543,0.185468804469763,-0.1399053740483,0.118379429133993,-0.1399053740483,0.1399053740483,-0.140947971605642,0.1399053740483,0,-0.1399053740483,-0.0135891098068845,0.203215101793392,0.140947971605642,-0.140947971605642
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.162240880190745,0.172551068278953,-0.169024092827366,0.167740425944942,0.186630170085172,0.161945125145512,-0.0170049607998096,-0.172551068278953,0.161945125145512,-0.140626161946599,0.161945125145512,-0.161945125145512,0.16101803920214,-0.161945125145512,0,0.161945125145512,-0.0631677974644059,-0.0836240469953715,-0.16101803920214,0.16101803920214
"TGFB",-0.0358307465435695,0.141022802437261,-0.147859806720526,0.137945551938204,0.148624092818397,0.0350215660227515,-0.108963130700598,-0.141022802437261,0.0350215660227515,-0.0486732599859627,0.0350215660227515,-0.0350215660227515,0.0342503577965304,-0.0350215660227515,0,0.0350215660227515,0.0285267891071863,-0.169146344271493,-0.0342503577965304,0.0342503577965304
"SNAIL1",-0.0355983763677764,0.141698173891561,-0.148938670115147,0.138904433784458,0.0481684209021768,0.0358307465435695,-0.108647957355258,-0.141698173891561,0.0358307465435695,-0.0486276742087252,0.0358307465435695,-0.0358307465435695,0.0350215660227515,-0.0358307465435695,0,0.0358307465435695,0.0281944843362392,-0.16987889024249,-0.0350215660227515,0.0350215660227515
"MIR340",0.1399053740483,-0.186620330698971,0.20880849690197,-0.168223979330779,-0.202209578173864,-0.140947971605642,-0.0603566725263552,0.186620330698971,-0.140947971605642,0.119345462166091,-0.140947971605642,0.140947971605642,-0.140523162769619,0.140947971605642,0,-0.140947971605642,-0.0132533783920164,0.204128900148555,0.140523162769619,-0.140523162769619
"MIR34",-0.0358307465435695,0.141022802437261,-0.147859806720526,0.137945551938204,0.148624092818397,0.0350215660227515,-0.108963130700598,-0.141022802437261,0.0350215660227515,-0.0486732599859627,0.0350215660227515,-0.0350215660227515,0.0342503577965304,-0.0350215660227515,0,0.0350215660227515,0.0285267891071863,-0.169146344271493,-0.0342503577965304,0.0342503577965304
"MIR200",-0.126950441397918,0.0468557354415644,0.0572155396111038,-0.0612119014831289,-0.0236156469083691,0.127881736425154,0.17816391068987,-0.0468557354415644,0.127881736425154,0.0294287087557833,0.127881736425154,-0.127881736425154,0.126615913640343,-0.127881736425154,0,0.127881736425154,-0.00388513764080537,-0.0308091589456957,-0.126615913640343,0.126615913640343
"MIR190",-0.0350215660227515,0.139949222966195,-0.146847928145955,0.240268927945791,0.148159840265008,0.0342503577965304,-0.108832206374859,-0.139949222966195,0.0342503577965304,-0.0464295292336529,0.0342503577965304,-0.0342503577965304,0.0367566234606908,-0.0342503577965304,0,0.0342503577965304,0.0288374553136067,-0.168864164979112,-0.0367566234606908,0.0367566234606908
"MIR129",-0.161945125145512,0.17156554317886,-0.0678211639570733,0.168557557531305,0.186726231564519,0.16101803920214,-0.0171589490966991,-0.17156554317886,0.16101803920214,-0.139396760952615,0.16101803920214,-0.16101803920214,0.162061258278146,-0.16101803920214,0,0.16101803920214,-0.0627571198463361,-0.0830609551090137,-0.162061258278146,0.162061258278146
"MIR1199",-0.1399053740483,0.186620330698971,-0.20880849690197,0.168223979330779,0.202209578173864,0.140947971605642,0.0603566725263552,-0.186620330698971,0.140947971605642,-0.119345462166091,0.140947971605642,-0.140947971605642,0.140523162769619,-0.140947971605642,0,0.140947971605642,0.0132533783920164,-0.204128900148555,-0.140523162769619,0.140523162769619
"HAS2",0.140947971605642,-0.186831078854925,0.20853452429923,-0.165422046963629,-0.203534081485122,-0.140523162769619,-0.0596190539805175,0.186831078854925,-0.140523162769619,0.121445918787095,-0.140523162769619,0.140523162769619,-0.237724180581323,0.140523162769619,0,-0.140523162769619,-0.0136082399959909,0.203688759303485,0.137724180581323,-0.137724180581323
"HA",-0.1399053740483,0.186620330698971,-0.20880849690197,0.168223979330779,0.202209578173864,0.140947971605642,0.0603566725263552,-0.186620330698971,0.140947971605642,-0.119345462166091,0.140947971605642,-0.140947971605642,0.140523162769619,-0.140947971605642,0,0.140947971605642,0.0132533783920164,-0.204128900148555,-0.140523162769619,0.140523162769619
"GRHL2",0.225017081993541,-0.279989059060678,0.232095955830629,-0.256655417226078,-0.227182799501641,-0.225678749395393,-0.155227015860862,0.279989059060678,-0.225678749395393,0.141411619607447,-0.225678749395393,0.225678749395393,-0.224659641115138,0.225678749395393,0,-0.225678749395393,-0.0124386547244109,0.298993875750762,0.224659641115138,-0.324659641115138
"EXTGFB",0.0358307465435695,-0.141022802437261,0.147859806720526,-0.137945551938204,-0.148624092818397,-0.0350215660227515,0.108963130700598,0.141022802437261,-0.0350215660227515,0.0486732599859627,-0.0350215660227515,0.0350215660227515,-0.0342503577965304,0.0350215660227515,0,-0.0350215660227515,-0.0285267891071863,0.169146344271493,0.0342503577965304,-0.0342503577965304
