"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.00247511473345445,-0.149155264636205,-0.106533499488782,0.130136258261361,0.145116964048184,0.0968831413529263,0.0730230408372342,-0.149155264636205,0.0968831413529263,-0.106533499488782,-0.0968831413529263,-0.0968831413529263,0.0979853159135459,-0.0968831413529263,0,-0.0968831413529263,-0.00722462516348184,-0.164320470526671,-0.0979853159135459,-0.0979853159135459
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.0121983468219407,0.0329380671331577,0.0560092496131441,-0.0229064628581182,-0.0556144096793311,-0.0148601422290388,0.00766385753646084,0.0329380671331577,-0.0148601422290388,-0.0529346224381412,0.0148601422290388,0.0148601422290388,-0.0105755017880466,0.0148601422290388,0,0.0148601422290388,0.134562557155491,0.232219366202097,0.0105755017880466,0.0105755017880466
"TGFB",-0.0932633818057441,-0.0105086171810378,-0.0338777521418161,0.00660356098621618,0.0105177051261824,-0.0907475660046554,-0.103021673208897,-0.0105086171810378,-0.0907475660046554,-0.0338777521418161,0.0907475660046554,0.0907475660046554,-0.0949463663474146,0.0907475660046554,0,0.0907475660046554,-0.0102940810529588,-0.0563818965814459,0.0949463663474146,0.0949463663474146
"SNAIL1",-0.091717614984164,-0.00873464149441018,-0.0326469361564036,0.0101302959122685,-0.0891225538873278,-0.0932633818057441,-0.104327391353877,-0.00873464149441018,-0.0932633818057441,-0.0326469361564036,0.0932633818057441,0.0932633818057441,-0.0907475660046554,0.0932633818057441,0,0.0932633818057441,-0.00989056811680883,-0.0553204524193888,0.0907475660046554,0.0907475660046554
"MIR340",0.0968831413529263,-0.149795001430209,-0.106253038285915,0.128867965578434,0.14541002819667,0.0979853159135459,0.0737358904076966,-0.149795001430209,0.0979853159135459,-0.106253038285915,-0.0979853159135459,-0.0979853159135459,0.0960311952678365,-0.0979853159135459,0,-0.0979853159135459,-0.00722462516348184,-0.164960129375285,-0.0960311952678365,-0.0960311952678365
"MIR34",-0.0932633818057441,-0.0105086171810378,-0.0338777521418161,0.00660356098621618,0.0105177051261824,-0.0907475660046554,-0.103021673208897,-0.0105086171810378,-0.0907475660046554,-0.0338777521418161,0.0907475660046554,0.0907475660046554,-0.0949463663474146,0.0907475660046554,0,0.0907475660046554,-0.0102940810529588,-0.0563818965814459,0.0949463663474146,0.0949463663474146
"MIR200",0.122626941928438,-0.0605042238593911,0.0157437791424308,-0.0556623910507503,0.0169851212740703,0.124999108507247,0.191117396916542,-0.0605042238593911,0.124999108507247,0.0157437791424308,-0.124999108507247,-0.124999108507247,0.121302905975601,-0.124999108507247,0,-0.124999108507247,-0.00264922794726032,-0.0579045458298213,-0.121302905975601,-0.121302905975601
"MIR190",-0.0907475660046554,-0.00739261822843243,-0.0314580425069723,0.111961550554732,0.0111212334455882,-0.0949463663474146,-0.105037907825289,-0.00739261822843243,-0.0949463663474146,-0.0314580425069723,0.0949463663474146,0.0949463663474146,-0.0886807021870136,0.0949463663474146,0,0.0949463663474146,-0.00956919323797783,-0.0545368781312614,0.0886807021870136,0.0886807021870136
"MIR129",0.0148601422290388,-0.0298890988547468,-0.153864898148709,0.0290208612802089,0.0562319477608461,0.0105755017880466,-0.00988128901166873,-0.0298890988547468,0.0105755017880466,0.0550533773426665,-0.0105755017880466,-0.0105755017880466,0.0178780353200883,-0.0105755017880466,0,-0.0105755017880466,-0.133864405204772,-0.230376520028562,-0.0178780353200883,-0.0178780353200883
"MIR1199",-0.0968831413529263,0.149795001430209,0.106253038285915,-0.128867965578434,-0.14541002819667,-0.0979853159135459,-0.0737358904076966,0.149795001430209,-0.0979853159135459,0.106253038285915,0.0979853159135459,0.0979853159135459,-0.0960311952678365,0.0979853159135459,0,0.0979853159135459,0.00722462516348184,0.164960129375285,0.0960311952678365,0.0960311952678365
"HAS2",0.0979853159135459,-0.148952008806395,-0.106892307692308,0.132636081520463,0.145315420817294,0.0960311952678365,0.0721552792380443,-0.148952008806395,0.0960311952678365,-0.106892307692308,-0.0960311952678365,-0.0960311952678365,0.000865800865800864,-0.0960311952678365,0,-0.0960311952678365,-0.00729559748427673,-0.164255904023172,-0.100865800865801,-0.100865800865801
"HA",-0.0968831413529263,0.149795001430209,0.106253038285915,-0.128867965578434,-0.14541002819667,-0.0979853159135459,-0.0737358904076966,0.149795001430209,-0.0979853159135459,0.106253038285915,0.0979853159135459,0.0979853159135459,-0.0960311952678365,0.0979853159135459,0,0.0979853159135459,0.00722462516348184,0.164960129375285,0.0960311952678365,0.0960311952678365
"GRHL2",-0.00746733583543297,0.0322266690310979,0.0831892548935816,-0.0205746463659717,-0.0979131893307151,-0.00879067063913831,0.00598075801081887,0.0322266690310979,-0.00879067063913831,0.0831892548935816,0.00879067063913831,0.00879067063913831,-0.00611551140346952,0.00879067063913831,0,0.00879067063913831,0.00297899315429775,0.0400843616287595,0.00611551140346952,0.10611551140347
"EXTGFB",-0.0932633818057441,-0.0105086171810378,-0.0338777521418161,0.00660356098621618,0.0105177051261824,-0.0907475660046554,-0.103021673208897,-0.0105086171810378,-0.0907475660046554,-0.0338777521418161,0.0907475660046554,0.0907475660046554,-0.0949463663474146,0.0907475660046554,0,0.0907475660046554,-0.0102940810529588,-0.0563818965814459,0.0949463663474146,0.0949463663474146
"ESRP1",-0.0979853159135459,0.148952008806395,0.106892307692308,-0.132636081520463,-0.145315420817294,-0.0960311952678365,-0.0721552792380443,0.148952008806395,-0.0960311952678365,0.106892307692308,0.0960311952678365,0.0960311952678365,-0.100865800865801,0.0960311952678365,0,0.0960311952678365,0.00729559748427673,0.164255904023172,0.200865800865801,0.100865800865801
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.0968831413529263,0.149795001430209,0.106253038285915,-0.128867965578434,-0.14541002819667,-0.0979853159135459,-0.0737358904076966,0.149795001430209,-0.0979853159135459,0.106253038285915,0.0979853159135459,0.0979853159135459,-0.0960311952678365,0.0979853159135459,0,0.0979853159135459,0.00722462516348184,0.164960129375285,0.0960311952678365,0.0960311952678365
"CD24",0.0968831413529263,-0.149795001430209,-0.106253038285915,0.128867965578434,0.14541002819667,0.0979853159135459,0.0737358904076966,-0.149795001430209,0.0979853159135459,-0.106253038285915,-0.0979853159135459,-0.0979853159135459,0.0960311952678365,-0.0979853159135459,0,-0.0979853159135459,-0.00722462516348184,-0.164960129375285,-0.0960311952678365,-0.0960311952678365
