"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0691723567286219,0.193474858824509,0.160526370149284,-0.136033254795584,0.151371706317363,0.169202915962604,-0.193474858824509,0.112736537362102,-0.169202915962604,-0.0938184028207441,-0.169202915962604,-0.169202915962604,-0.168875242444582,-0.169202915962604,0,-0.169202915962604,0.180173582173907,-0.169217453252183,-0.168875242444582,-0.168875242444582
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",-0.0135588916729557,-0.0152430838378478,-0.0799294832745614,0.0085075750120729,-0.0154894050432037,-0.0143591700306454,0.0152430838378478,-0.00543597235417725,0.0143591700306454,0.121144650998997,0.0143591700306454,0.0143591700306454,0.012830731042923,0.0143591700306454,0,0.0143591700306454,-0.116390720177619,0.119562131730061,0.012830731042923,0.012830731042923
"TGFB",0.095372873270954,-0.00387995434569984,-0.064437757813673,-0.13304991979628,0.00118086476654528,0.0933867029016735,0.00387995434569984,0.0995956771151481,-0.0933867029016735,0.01387406555124,-0.0933867029016735,-0.0933867029016735,-0.0966429154123847,-0.0933867029016735,0,-0.0933867029016735,-0.00397551448144699,0.00979420904786684,-0.0966429154123847,-0.0966429154123847
"SNAIL1",-0.0942514345964743,0.00192587960459223,0.0641490478911688,0.131375939624006,-0.100133618783653,-0.095372873270954,-0.00192587960459223,-0.10007293960952,0.095372873270954,-0.0124001254205608,0.095372873270954,0.095372873270954,0.0933867029016735,0.095372873270954,0,0.095372873270954,0.00710867375037649,-0.00806001858591438,0.0933867029016735,0.0933867029016735
"MIR340",0.169202915962604,0.193054460359877,0.160370558369914,-0.135675531218348,0.151534519733188,0.168875242444582,-0.193054460359877,0.112754815556216,-0.168875242444582,-0.0935379416178772,-0.168875242444582,-0.168875242444582,-0.168450433608558,-0.168875242444582,0,-0.168875242444582,0.180125620543212,-0.168912853800462,-0.168450433608558,-0.168450433608558
"MIR34",0.095372873270954,-0.00387995434569984,-0.064437757813673,-0.13304991979628,0.00118086476654528,0.0933867029016735,0.00387995434569984,0.0995956771151481,-0.0933867029016735,0.01387406555124,-0.0933867029016735,-0.0933867029016735,-0.0966429154123847,-0.0933867029016735,0,-0.0933867029016735,-0.00397551448144699,0.00979420904786684,-0.0966429154123847,-0.0966429154123847
"MIR200",-0.165348509536546,-0.0867128744801597,0.0195788566716675,0.132933330821494,-0.0260209925851225,-0.166490663815231,0.0867128744801597,-0.21108709270453,0.166490663815231,-0.00937000836188033,0.166490663815231,0.166490663815231,0.163908385334219,0.166490663815231,0,0.166490663815231,-0.0777143772938883,0.0744337765406399,0.163908385334219,0.163908385334219
"MIR190",0.0933867029016735,-0.000606846202206781,-0.0637778370041701,-0.0301575537460189,-0.000722570702349795,0.0966429154123847,0.000606846202206781,0.100302668474143,-0.0966429154123847,0.011102398151328,-0.0966429154123847,-0.0966429154123847,-0.0908785043848158,-0.0966429154123847,0,-0.0966429154123847,-0.00939491386011457,0.00677706122932983,-0.0908785043848158,-0.0908785043848158
"MIR129",0.0143591700306454,0.0137339985283313,-0.0205935292777398,-0.00977553781849725,0.0161892815355874,0.012830731042923,-0.0137339985283313,0.0050664004416426,-0.012830731042923,-0.119967564940927,-0.012830731042923,-0.012830731042923,-0.0152152317880795,-0.012830731042923,0,-0.012830731042923,0.118444108267968,-0.118205592185654,-0.0152152317880795,-0.0152152317880795
"MIR1199",-0.169202915962604,-0.193054460359877,-0.160370558369914,0.135675531218348,-0.151534519733188,-0.168875242444582,0.193054460359877,-0.112754815556216,0.168875242444582,0.0935379416178772,0.168875242444582,0.168875242444582,0.168450433608558,0.168875242444582,0,0.168875242444582,-0.180125620543212,0.168912853800462,0.168450433608558,0.168450433608558
"HAS2",0.168875242444582,0.192843712203923,0.160096585767174,-0.13557891286086,0.150966875456935,0.168450433608558,-0.192843712203923,0.112438693322286,-0.168450433608558,-0.0941772110242699,-0.168450433608558,-0.168450433608558,-0.067687074829932,-0.168450433608558,0,-0.168450433608558,0.179061035731289,-0.169000881969476,-0.167687074829932,-0.167687074829932
"HA",0.169202915962604,0.193054460359877,0.160370558369914,-0.135675531218348,0.151534519733188,0.168875242444582,-0.193054460359877,0.112754815556216,-0.168875242444582,-0.0935379416178772,-0.168875242444582,-0.168875242444582,-0.168450433608558,-0.168875242444582,0,-0.168875242444582,0.180125620543212,-0.168912853800462,-0.168450433608558,-0.168450433608558
"GRHL2",-0.296577110565102,-0.316089392334026,-0.182079510322752,0.254493547113343,-0.176323145951475,-0.296224221284114,0.316089392334026,-0.225050513612137,0.296224221284114,0.113696051085664,0.296224221284114,0.296224221284114,0.295714667143986,0.296224221284114,0,0.296224221284114,-0.30337936288334,0.292597203044209,0.295714667143986,0.395714667143987
"EXTGFB",0.095372873270954,-0.00387995434569984,-0.064437757813673,-0.13304991979628,0.00118086476654528,0.0933867029016735,0.00387995434569984,0.0995956771151481,-0.0933867029016735,0.01387406555124,-0.0933867029016735,-0.0933867029016735,-0.0966429154123847,-0.0933867029016735,0,-0.0933867029016735,-0.00397551448144699,0.00979420904786684,-0.0966429154123847,-0.0966429154123847
"ESRP1",-0.168875242444582,-0.192843712203923,-0.160096585767174,0.13557891286086,-0.150966875456935,-0.168450433608558,0.192843712203923,-0.112438693322286,0.168450433608558,0.0941772110242699,0.168450433608558,0.168450433608558,0.167687074829932,0.168450433608558,0,0.168450433608558,-0.179061035731289,0.169000881969476,0.267687074829932,0.167687074829932
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.169202915962604,-0.193054460359877,-0.160370558369914,0.135675531218348,-0.151534519733188,-0.168875242444582,0.193054460359877,-0.112754815556216,0.168875242444582,0.0935379416178772,0.168875242444582,0.168875242444582,0.168450433608558,0.168875242444582,0,0.168875242444582,-0.180125620543212,0.168912853800462,0.168450433608558,0.168450433608558
