"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.00707571184386691,0.120182340243785,0.0538979589238177,-0.11726762895002,-0.034827162467328,0.106943288496612,-0.0892718095969597,-0.120182340243785,-0.106943288496612,0.0371599341743826,-0.106943288496612,-0.106943288496612,0.106973076998251,-0.106943288496612,0,0.106943288496612,-0.108259305815467,-0.100752099087624,-0.106973076998251,0.106973076998251
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.213564358317087,-0.117921490858412,0.00958160187459901,0.149225665598593,-0.0262922199338509,-0.213442576827873,0.0978036970982315,0.117921490858412,0.213442576827873,-0.0181604125072558,0.213442576827873,0.213442576827873,-0.213267182189938,0.213442576827873,0,-0.213442576827873,-0.0106372108803694,-0.0539548034310085,0.213267182189938,-0.213267182189938
"TGFB",-0.163825029046846,-0.173983995098549,0.122545954185829,0.203334723700116,-0.0783694903195891,-0.163516069211624,-0.00628990110765229,0.173983995098549,0.163516069211624,0.0396698660801667,0.163516069211624,0.163516069211624,-0.163258999802884,0.163516069211624,0,-0.163516069211624,0.0467309625839705,-0.075155725543113,0.163258999802884,-0.163258999802884
"SNAIL1",0.163885647353574,0.173632801942313,-0.122409196854116,-0.20429360554637,-0.0207431485804029,0.163825029046846,0.00556049993700844,-0.173632801942313,-0.163825029046846,-0.0385302216492292,-0.163825029046846,-0.163825029046846,0.163516069211624,-0.163825029046846,0,0.163825029046846,-0.0469208510245117,0.0746623782565231,-0.163516069211624,0.163516069211624
"MIR340",-0.106943288496612,-0.11925015234395,-0.0543653942619293,0.117950555779288,0.0335897805070545,-0.106973076998251,0.090240553885024,0.11925015234395,0.106973076998251,-0.0389985131709547,0.106973076998251,0.106973076998251,-0.106548268162227,0.106973076998251,0,-0.106973076998251,0.108163382554076,0.101452677826582,0.106548268162227,-0.106548268162227
"MIR34",0.163825029046846,0.173983995098549,-0.122545954185829,-0.203334723700116,0.0783694903195891,0.163516069211624,0.00628990110765229,-0.173983995098549,-0.163516069211624,-0.0396698660801667,-0.163516069211624,-0.163516069211624,0.163258999802884,-0.163516069211624,0,0.163516069211624,-0.0467309625839705,0.075155725543113,-0.163258999802884,0.163258999802884
"MIR200",-0.149372989259397,-0.239835956846654,0.0984183044733735,0.34676891691635,-0.0723446380144075,-0.14928513123796,0.0231540579395504,0.239835956846654,0.14928513123796,0.0469560225341209,0.14928513123796,0.14928513123796,-0.148525637567074,0.14928513123796,0,-0.14928513123796,0.122704800701897,0.0108437135242195,0.148525637567074,-0.148525637567074
"MIR190",-0.163516069211624,-0.172596197245708,0.121886033376326,0.303571802884564,-0.0797622479797562,-0.163258999802884,-0.00521632163658657,0.172596197245708,0.163258999802884,0.037426135327857,0.163258999802884,0.163258999802884,-0.162005866970804,0.163258999802884,0,-0.163258999802884,0.0462822225080299,-0.0743525998647974,0.162005866970804,-0.162005866970804
"MIR129",-0.213442576827873,-0.117644311924011,0.109424698108909,0.148972073037308,-0.0263608352762415,-0.213267182189938,0.0978652924169873,0.117644311924011,0.213267182189938,-0.0183958297188697,0.213267182189938,0.213267182189938,-0.212820088300221,0.213267182189938,0,-0.213267182189938,-0.0108425496894043,-0.0538780181737779,0.212820088300221,-0.212820088300221
"MIR1199",-0.106943288496612,-0.11925015234395,-0.0543653942619293,0.117950555779288,0.0335897805070545,-0.106973076998251,0.090240553885024,0.11925015234395,0.106973076998251,-0.0389985131709547,0.106973076998251,0.106973076998251,-0.106548268162227,0.106973076998251,0,-0.106973076998251,0.108163382554076,0.101452677826582,0.106548268162227,-0.106548268162227
"HAS2",0.106973076998251,0.120620015357648,0.0537261248555366,-0.116114806987018,-0.0360495723708199,0.106548268162227,-0.0883438204814413,-0.120620015357648,-0.106548268162227,0.0356195177371648,-0.106548268162227,-0.106548268162227,0.00680272108843537,-0.106548268162227,0,0.106548268162227,-0.108092410233281,-0.100132255291371,-0.106802721088435,0.106802721088435
"HA",-0.106943288496612,-0.11925015234395,-0.0543653942619293,0.117950555779288,0.0335897805070545,-0.106973076998251,0.090240553885024,0.11925015234395,0.106973076998251,-0.0389985131709547,0.106973076998251,0.106973076998251,-0.106548268162227,0.106973076998251,0,-0.106973076998251,0.108163382554076,0.101452677826582,0.106548268162227,-0.106548268162227
"GRHL2",0.00354131047379498,0.00239448992543893,0.0542678738828154,-0.00495682005351729,-0.041659589838856,0.00367364395416551,-0.00260437567917426,-0.00239448992543893,-0.00367364395416551,0.0451037047450229,-0.00367364395416551,-0.00367364395416551,0.00329147834906997,-0.00367364395416551,0,0.00367364395416551,-0.00347947962841725,-0.00579028420129879,-0.00329147834906997,-0.09670852165093
"EXTGFB",-0.163825029046846,-0.173983995098549,0.122545954185829,0.203334723700116,-0.0783694903195891,-0.163516069211624,-0.00628990110765229,0.173983995098549,0.163516069211624,0.0396698660801667,0.163516069211624,0.163516069211624,-0.163258999802884,0.163516069211624,0,-0.163516069211624,0.0467309625839705,-0.075155725543113,0.163258999802884,-0.163258999802884
"ESRP1",0.106973076998251,0.120620015357648,0.0537261248555366,-0.116114806987018,-0.0360495723708199,0.106548268162227,-0.0883438204814413,-0.120620015357648,-0.106548268162227,0.0356195177371648,-0.106548268162227,-0.106548268162227,0.106802721088435,-0.106548268162227,0,0.106548268162227,-0.108092410233281,-0.100132255291371,-0.206802721088435,0.106802721088435
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.106943288496612,-0.11925015234395,-0.0543653942619293,0.117950555779288,0.0335897805070545,-0.106973076998251,0.090240553885024,0.11925015234395,0.106973076998251,-0.0389985131709547,0.106973076998251,0.106973076998251,-0.106548268162227,0.106973076998251,0,-0.106973076998251,0.108163382554076,0.101452677826582,0.106548268162227,-0.106548268162227
"CD24",0.106943288496612,0.11925015234395,0.0543653942619293,-0.117950555779288,-0.0335897805070545,0.106973076998251,-0.090240553885024,-0.11925015234395,-0.106973076998251,0.0389985131709547,-0.106973076998251,-0.106973076998251,0.106548268162227,-0.106973076998251,0,0.106973076998251,-0.108163382554076,-0.101452677826582,-0.106548268162227,0.106548268162227
