"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.16323938581976,-0.289405248938045,-0.169642973075847,0.0472534956047375,0.272980709091088,-0.261110425852357,0.289405248938045,0.289405248938045,0.261110425852357,-0.169642973075847,-0.261110425852357,-0.261110425852357,0.259710366275354,0.261110425852357,0,0.261110425852357,-0.265320260085502,-0.248652879988745,-0.259710366275354,-0.259710366275354
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",-0.0522263393698787,0.223808754503124,0.219858483526031,-0.120540954375481,-0.42948278653167,0.0533223727728015,-0.223808754503124,-0.223808754503124,-0.0533223727728015,0.0761561556181092,0.0533223727728015,0.0533223727728015,-0.0498395363909423,-0.0533223727728015,0,-0.0533223727728015,0.0620490516011939,0.0310047392739898,0.0498395363909423,0.0498395363909423
"TGFB",0.11233684681649,0.174987770781927,0.180126323660531,-0.186671693218194,-0.377036196173563,-0.110291826954786,-0.174987770781927,-0.174987770781927,0.110291826954786,0.180126323660531,-0.110291826954786,-0.110291826954786,0.111748553604315,0.110291826954786,0,0.110291826954786,0.133410452831001,0.107582266286579,-0.111748553604315,-0.111748553604315
"SNAIL1",-0.111700354595839,-0.17330384462254,-0.178166135239318,0.187468052717625,0.278003499715013,0.11233684681649,0.17330384462254,0.17330384462254,-0.11233684681649,-0.178166135239318,0.11233684681649,0.11233684681649,-0.110291826954786,-0.11233684681649,0,-0.11233684681649,-0.135760322282698,-0.105578977304668,0.110291826954786,0.110291826954786
"MIR340",-0.261110425852357,0.286352790520937,0.168116017638016,-0.0445543086128676,-0.267966055883663,0.259710366275354,-0.286352790520937,-0.286352790520937,-0.259710366275354,0.168116017638016,0.259710366275354,0.259710366275354,-0.254187851407044,-0.259710366275354,0,-0.259710366275354,0.258509708526749,0.247190802620484,0.254187851407044,0.254187851407044
"MIR34",-0.11233684681649,-0.174987770781927,-0.180126323660531,0.186671693218194,0.377036196173563,0.110291826954786,0.174987770781927,0.174987770781927,-0.110291826954786,-0.180126323660531,0.110291826954786,0.110291826954786,-0.111748553604315,-0.110291826954786,0,-0.110291826954786,-0.133410452831001,-0.107582266286579,0.111748553604315,0.111748553604315
"MIR200",0.226734471100142,-0.0823426570107092,0.0711435276869087,-0.00302492953832587,-0.0928634475325621,-0.226506040244405,0.0823426570107092,0.0823426570107092,0.226506040244405,0.0711435276869087,-0.226506040244405,-0.226506040244405,0.221189584548202,0.226506040244405,0,0.226506040244405,-0.0743116481414262,-0.0782556195475426,-0.221189584548202,-0.221189584548202
"MIR190",-0.110291826954786,-0.172814426974648,-0.176562751289215,0.0869087724026412,0.378150402301697,0.111748553604315,0.172814426974648,0.172814426974648,-0.111748553604315,-0.176562751289215,0.111748553604315,0.111748553604315,-0.106736022275994,-0.111748553604315,0,-0.111748553604315,-0.137449113514466,-0.105086064853976,0.106736022275994,0.106736022275994
"MIR129",0.0533223727728015,-0.218727140705773,-0.314157646705948,0.11944205327658,0.427959525930599,-0.0498395363909423,0.218727140705773,0.218727140705773,0.0498395363909423,-0.0704799850714181,-0.0498395363909423,-0.0498395363909423,0.0523730684326711,0.0498395363909423,0,0.0498395363909423,-0.0631989489317894,-0.0264488140116402,-0.0523730684326711,-0.0523730684326711
"MIR1199",-0.261110425852357,0.286352790520937,0.168116017638016,-0.0445543086128676,-0.267966055883663,0.259710366275354,-0.286352790520937,-0.286352790520937,-0.259710366275354,0.168116017638016,0.259710366275354,0.259710366275354,-0.254187851407044,-0.259710366275354,0,-0.259710366275354,0.258509708526749,0.247190802620484,0.254187851407044,0.254187851407044
"HAS2",-0.259710366275354,0.278555108750652,0.161631999373176,-0.041559139530742,-0.262289613121128,0.254187851407044,-0.278555108750652,-0.278555108750652,-0.254187851407044,0.161631999373176,0.254187851407044,0.254187851407044,-0.350371057513915,-0.254187851407044,0,-0.254187851407044,0.253328729108722,0.241204887127526,0.250371057513915,0.250371057513915
"HA",0.261110425852357,-0.286352790520937,-0.168116017638016,0.0445543086128676,0.267966055883663,-0.259710366275354,0.286352790520937,0.286352790520937,0.259710366275354,-0.168116017638016,-0.259710366275354,-0.259710366275354,0.254187851407044,0.259710366275354,0,0.259710366275354,-0.258509708526749,-0.247190802620484,-0.254187851407044,-0.254187851407044
"GRHL2",-0.0723917164549185,0.0954462527932426,0.116750392003334,-0.0222954235994295,-0.160774478801557,0.0727887168960301,-0.0954462527932426,-0.0954462527932426,-0.0727887168960301,0.116750392003334,0.0727887168960301,0.0727887168960301,-0.0696040035202339,-0.0727887168960301,0,-0.0727887168960301,0.0837974271799224,0.0805965288117772,0.0696040035202339,-0.0303959964797661
"EXTGFB",0.11233684681649,0.174987770781927,0.180126323660531,-0.186671693218194,-0.377036196173563,-0.110291826954786,-0.174987770781927,-0.174987770781927,0.110291826954786,0.180126323660531,-0.110291826954786,-0.110291826954786,0.111748553604315,0.110291826954786,0,0.110291826954786,0.133410452831001,0.107582266286579,-0.111748553604315,-0.111748553604315
"ESRP1",0.259710366275354,-0.278555108750652,-0.161631999373176,0.041559139530742,0.262289613121128,-0.254187851407044,0.278555108750652,0.278555108750652,0.254187851407044,-0.161631999373176,-0.254187851407044,-0.254187851407044,0.250371057513915,0.254187851407044,0,0.254187851407044,-0.253328729108722,-0.241204887127526,-0.350371057513915,-0.250371057513915
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.261110425852357,0.286352790520937,0.168116017638016,-0.0445543086128676,-0.267966055883663,0.259710366275354,-0.286352790520937,-0.286352790520937,-0.259710366275354,0.168116017638016,0.259710366275354,0.259710366275354,-0.254187851407044,-0.259710366275354,0,-0.259710366275354,0.258509708526749,0.247190802620484,0.254187851407044,0.254187851407044
"CD24",-0.261110425852357,0.286352790520937,0.168116017638016,-0.0445543086128676,-0.267966055883663,0.259710366275354,-0.286352790520937,-0.286352790520937,-0.259710366275354,0.168116017638016,0.259710366275354,0.259710366275354,-0.254187851407044,-0.259710366275354,0,-0.259710366275354,0.258509708526749,0.247190802620484,0.254187851407044,0.254187851407044
