"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0109347849525767,0.100688482715761,-0.091798644068063,0.00323103985625953,0.0753317799041134,0.110293041038957,0.114652708898182,-0.114652708898182,0.110293041038957,0.0568316611071923,0.110293041038957,-0.110293041038957,0.111276061593024,-0.110293041038957,0,0.110293041038957,0.0060881740894234,-0.109595235128656,-0.111276061593024,0.111276061593024
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.166255369173788,-0.0701179341579815,-0.0537706312041135,-0.00603690396053165,-0.0181297132566183,-0.164985362214845,-0.085768884965832,0.085768884965832,-0.164985362214845,0.108205350287426,-0.164985362214845,0.164985362214845,-0.16541132062126,0.164985362214845,0,-0.164985362214845,-0.0725073181779345,0.134891033647207,0.16541132062126,-0.16541132062126
"TGFB",0.0190975048239054,0.0670829421315922,0.0750982082187977,-0.0701283195630674,-0.0113423980943,0.0162580168144894,-0.0492433360610328,0.0492433360610328,0.0162580168144894,-0.0204686812315905,0.0162580168144894,-0.0162580168144894,0.0194285395222872,-0.0162580168144894,0,0.0162580168144894,-0.0170842388349654,-0.0481597080021477,-0.0194285395222872,0.0194285395222872
"SNAIL1",-0.0172789556220464,-0.0669298579352842,-0.0743536405239185,0.0721598488983509,-0.0853879560507156,-0.0190975048239054,0.0456143401132615,-0.0456143401132615,-0.0190975048239054,0.0163507660211362,-0.0190975048239054,0.0190975048239054,-0.0162580168144894,0.0190975048239054,0,-0.0190975048239054,0.0166569898437478,0.0475766612089051,0.0162580168144894,-0.0162580168144894
"MIR340",-0.110293041038957,-0.100341197027587,0.092702352388412,-0.00254811302699123,-0.0735082696468682,-0.111276061593024,-0.116206355397908,0.116206355397908,-0.111276061593024,-0.0584832659685198,-0.111276061593024,0.111276061593024,-0.108982093878495,0.111276061593024,0,-0.111276061593024,-0.00613613572011884,0.109290635676935,0.108982093878495,-0.108982093878495
"MIR34",-0.0190975048239054,-0.0670829421315922,-0.0750982082187977,0.0701283195630674,0.0113423980943,-0.0162580168144894,0.0492433360610328,-0.0492433360610328,-0.0162580168144894,0.0204686812315905,-0.0162580168144894,0.0162580168144894,-0.0194285395222872,0.0162580168144894,0,-0.0162580168144894,0.0170842388349654,0.0481597080021477,0.0194285395222872,-0.0194285395222872
"MIR200",-0.0890218991985081,-0.181942125684599,-0.0547534224240166,-0.00811646482387139,0.0204877771875732,-0.0909020608572676,-0.0188336009705556,0.0188336009705556,-0.0909020608572676,0.0253282804602822,-0.0909020608572676,0.0909020608572676,-0.087712187439546,0.0909020608572676,0,-0.0909020608572676,0.00227944823556028,0.179837681393433,0.087712187439546,-0.087712187439546
"MIR190",-0.0162580168144894,-0.065747514009047,-0.0724145302601527,-0.0269793143866719,0.0162170499048849,-0.0194285395222872,0.0440325478965918,-0.0440325478965918,-0.0194285395222872,0.0133855312095932,-0.0194285395222872,0.0194285395222872,-0.0149172613267985,0.0194285395222872,0,-0.0194285395222872,0.0169806834328253,0.0462712773531353,0.0149172613267985,-0.0149172613267985
"MIR129",0.164985362214845,0.0688552301234881,-0.0482168164946313,0.00493800286163055,0.016496668107723,0.16541132062126,0.0875551492097495,-0.0875551492097495,0.16541132062126,-0.104621777177303,0.16541132062126,-0.16541132062126,0.164368101545254,-0.16541132062126,0,0.16541132062126,0.0721787760834786,-0.133355328502595,-0.164368101545254,0.164368101545254
"MIR1199",-0.110293041038957,-0.100341197027587,0.092702352388412,-0.00254811302699123,-0.0735082696468682,-0.111276061593024,-0.116206355397908,0.116206355397908,-0.111276061593024,-0.0584832659685198,-0.111276061593024,0.111276061593024,-0.108982093878495,0.111276061593024,0,-0.111276061593024,-0.00613613572011884,0.109290635676935,0.108982093878495,-0.108982093878495
"HAS2",-0.111276061593024,-0.100025074793656,0.0926110281874988,-0.00380415167433423,-0.0759680615106336,-0.108982093878495,-0.113677377526464,0.113677377526464,-0.108982093878495,-0.0563828093475152,-0.108982093878495,0.108982093878495,-0.21178107606679,0.108982093878495,0,-0.108982093878495,-0.00563932947455461,0.109114579338906,0.11178107606679,-0.11178107606679
"HA",0.110293041038957,0.100341197027587,-0.092702352388412,0.00254811302699123,0.0735082696468682,0.111276061593024,0.116206355397908,-0.116206355397908,0.111276061593024,0.0584832659685198,0.111276061593024,-0.111276061593024,0.108982093878495,-0.111276061593024,0,0.111276061593024,0.00613613572011884,-0.109290635676935,-0.108982093878495,0.108982093878495
"GRHL2",-0.00542994812411989,0.00283682393251953,0.0760893001413019,-0.00282704132495155,-0.0611583292982683,-0.00675328292782523,-0.0124257491276014,0.0124257491276014,-0.00675328292782523,-0.0566916809912501,-0.00675328292782523,0.00675328292782523,-0.00433290076222013,0.00675328292782523,0,-0.00675328292782523,-0.00260541840532262,0.000647280376474842,0.00433290076222013,-0.10433290076222
"EXTGFB",0.0190975048239054,0.0670829421315922,0.0750982082187977,-0.0701283195630674,-0.0113423980943,0.0162580168144894,-0.0492433360610328,0.0492433360610328,0.0162580168144894,-0.0204686812315905,0.0162580168144894,-0.0162580168144894,0.0194285395222872,-0.0162580168144894,0,0.0162580168144894,-0.0170842388349654,-0.0481597080021477,-0.0194285395222872,0.0194285395222872
"ESRP1",0.111276061593024,0.100025074793656,-0.0926110281874988,0.00380415167433423,0.0759680615106336,0.108982093878495,0.113677377526464,-0.113677377526464,0.108982093878495,0.0563828093475152,0.108982093878495,-0.108982093878495,0.11178107606679,-0.108982093878495,0,0.108982093878495,0.00563932947455461,-0.109114579338906,-0.21178107606679,0.11178107606679
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.110293041038957,-0.100341197027587,0.092702352388412,-0.00254811302699123,-0.0735082696468682,-0.111276061593024,-0.116206355397908,0.116206355397908,-0.111276061593024,-0.0584832659685198,-0.111276061593024,0.111276061593024,-0.108982093878495,0.111276061593024,0,-0.111276061593024,-0.00613613572011884,0.109290635676935,0.108982093878495,-0.108982093878495
