"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0780796717808565,-0.207363620568195,0.210875114487146,0.196201478516493,0.171927446664251,0.177417555044583,-0.110986583221365,-0.207363620568195,-0.177417555044583,-0.210875114487146,0.177417555044583,-0.177417555044583,0.178281421592095,0.177417555044583,0,-0.177417555044583,-0.0145323964532031,-0.173569914357032,0.178281421592095,0.178281421592095
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",-0.0468098148264833,0.0262794330692248,0.126776692213221,-0.0332268554415302,0.0109898570728468,-0.0474883116949593,0.0351240663320644,0.0262794330692248,0.0474883116949593,-0.252781013507933,-0.0474883116949593,0.0474883116949593,-0.045659196185062,-0.0474883116949593,0,0.0474883116949593,-0.136875183242522,0.179463517236039,-0.045659196185062,-0.045659196185062
"TGFB",0.0851149795267186,-0.120829956606359,0.155704946287286,0.142386252521076,0.0579766702975913,0.084747170199074,0.0341698397008131,-0.120829956606359,-0.084747170199074,-0.155704946287286,0.084747170199074,-0.084747170199074,0.0855183784252951,0.084747170199074,0,-0.084747170199074,-0.0260627446900306,-0.0720045585645572,0.0855183784252951,0.0855183784252951
"SNAIL1",0.084872506299804,-0.121055080424459,0.15599365620979,0.142044955592748,-0.0420473124348414,0.0851149795267186,0.0339447158827132,-0.121055080424459,-0.0851149795267186,-0.15599365620979,0.0851149795267186,-0.0851149795267186,0.084747170199074,0.0851149795267186,0,-0.0851149795267186,-0.0261102168001658,-0.0720494083178836,0.084747170199074,0.084747170199074
"MIR340",0.177417555044583,-0.207564680703454,0.209285834337567,0.193892535427062,0.171569257149435,0.178281421592095,-0.111845658344743,-0.207564680703454,-0.178281421592095,-0.209285834337567,0.178281421592095,-0.178281421592095,0.175817530343157,0.178281421592095,0,-0.178281421592095,-0.0140527801462486,-0.174240033150818,0.175817530343157,0.175817530343157
"MIR34",-0.0851149795267186,0.120829956606359,-0.155704946287286,-0.142386252521076,-0.0579766702975913,-0.084747170199074,-0.0341698397008131,0.120829956606359,0.084747170199074,0.155704946287286,-0.084747170199074,0.084747170199074,-0.0855183784252951,-0.084747170199074,0,0.084747170199074,0.0260627446900306,0.0720045585645572,-0.0855183784252951,-0.0855183784252951
"MIR200",-0.169816832021397,0.278605747872111,-0.215072471130691,-0.375340099528228,-0.166300047376282,-0.170642697422908,0.024051407297188,0.278605747872111,0.170642697422908,0.215072471130691,-0.170642697422908,0.170642697422908,-0.168769279701389,-0.170642697422908,0,0.170642697422908,0.0168598993518124,0.235427328192964,-0.168769279701389,-0.168769279701389
"MIR190",-0.084747170199074,0.120908511201803,-0.154869046595249,-0.241864678315291,-0.0579766702975913,-0.0855183784252951,-0.033305739150931,0.120908511201803,0.0855183784252951,0.154869046595249,-0.0855183784252951,0.0855183784252951,-0.0845158721596309,-0.0855183784252951,0,0.0855183784252951,0.0257520784836101,0.0721565012604547,-0.0845158721596309,-0.0845158721596309
"MIR129",0.0474883116949593,-0.0251707173316209,-0.227195102255062,0.034156694832908,-0.0114427183326245,0.045659196185062,-0.0339845529350826,-0.0251707173316209,-0.045659196185062,0.253225690463203,0.045659196185062,-0.045659196185062,0.0474475717439294,0.045659196185062,0,-0.045659196185062,0.136916251004329,-0.178772449920964,0.0474475717439294,0.0474475717439294
"MIR1199",-0.177417555044583,0.207564680703454,-0.209285834337567,-0.193892535427062,-0.171569257149435,-0.178281421592095,0.111845658344743,0.207564680703454,0.178281421592095,0.209285834337567,-0.178281421592095,0.178281421592095,-0.175817530343157,-0.178281421592095,0,0.178281421592095,0.0140527801462486,0.174240033150818,-0.175817530343157,-0.175817530343157
"HAS2",-0.178281421592095,0.205351825065941,-0.20627213570743,-0.194762100644454,-0.170717790735054,-0.175817530343157,0.111002665720928,0.205351825065941,0.175817530343157,0.20627213570743,-0.175817530343157,0.175817530343157,-0.278107606679035,-0.175817530343157,0,0.175817530343157,0.0132720846175048,0.173271723291663,-0.178107606679035,-0.178107606679035
"HA",0.177417555044583,-0.207564680703454,0.209285834337567,0.193892535427062,0.171569257149435,0.178281421592095,-0.111845658344743,-0.207564680703454,-0.178281421592095,-0.209285834337567,0.178281421592095,-0.178281421592095,0.175817530343157,0.178281421592095,0,-0.178281421592095,-0.0140527801462486,-0.174240033150818,0.175817530343157,0.175817530343157
"GRHL2",0.0391512568200797,-0.0580433354522933,0.139458232184356,0.0487090049252595,0.111136568396476,0.0404304804636615,-0.00990536975532045,-0.0580433354522933,-0.0404304804636615,-0.139458232184356,0.0404304804636615,-0.0404304804636615,0.0380100982980564,0.0404304804636615,0,-0.0404304804636615,-0.00662766880139761,-0.0446053920749288,0.0380100982980564,0.138010098298056
"EXTGFB",-0.0851149795267186,0.120829956606359,-0.155704946287286,-0.142386252521076,-0.0579766702975913,-0.084747170199074,-0.0341698397008131,0.120829956606359,0.084747170199074,0.155704946287286,-0.084747170199074,0.084747170199074,-0.0855183784252951,-0.084747170199074,0,0.084747170199074,0.0260627446900306,0.0720045585645572,-0.0855183784252951,-0.0855183784252951
"ESRP1",0.178281421592095,-0.205351825065941,0.20627213570743,0.194762100644454,0.170717790735054,0.175817530343157,-0.111002665720928,-0.205351825065941,-0.175817530343157,-0.20627213570743,0.175817530343157,-0.175817530343157,0.178107606679035,0.175817530343157,0,-0.175817530343157,-0.0132720846175048,-0.173271723291663,0.0781076066790353,0.178107606679035
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.177417555044583,0.207564680703454,-0.209285834337567,-0.193892535427062,-0.171569257149435,-0.178281421592095,0.111845658344743,0.207564680703454,0.178281421592095,0.209285834337567,-0.178281421592095,0.178281421592095,-0.175817530343157,-0.178281421592095,0,0.178281421592095,0.0140527801462486,0.174240033150818,-0.175817530343157,-0.175817530343157
"CD24",-0.177417555044583,0.207564680703454,-0.209285834337567,-0.193892535427062,-0.171569257149435,-0.178281421592095,0.111845658344743,0.207564680703454,0.178281421592095,0.209285834337567,-0.178281421592095,0.178281421592095,-0.175817530343157,-0.178281421592095,0,0.178281421592095,0.0140527801462486,0.174240033150818,-0.175817530343157,-0.175817530343157
