"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0510933202602877,0.142411458816152,0.109559919847664,0.00694542252071952,0.0964574760806849,-0.151368353366124,-0.142411458816152,0.115516029357941,-0.151368353366124,0.0663442702985005,-0.151368353366124,-0.151368353366124,-0.150802371834995,-0.151368353366124,0,-0.151368353366124,-0.14874898936059,-0.153662644665274,-0.150802371834995,-0.150802371834995
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.00565218337060134,-0.000731781935511491,-0.00319444987974894,0.000820821265102521,0.00865800430969221,0.00587834899342667,0.000731781935511491,-0.0058087339902857,0.00587834899342667,-0.0233602373205496,0.00587834899342667,0.00587834899342667,0.00545239058701223,0.00587834899342667,0,0.00587834899342667,-0.0991705965080861,-0.0998185304900164,0.00545239058701223,0.00545239058701223
"TGFB",-0.0870334810589799,-0.132829805682509,-0.118980032966646,-0.0909962339610777,-0.0720183718753244,0.0861948757919503,0.132829805682509,0.0444490058503215,0.0861948757919503,-0.0389183466251577,0.0861948757919503,0.0861948757919503,0.0874802228356521,0.0861948757919503,0,0.0861948757919503,0.149027644924823,0.161968882081351,0.0874802228356521,0.0874802228356521
"SNAIL1",0.0865485346051508,0.131758216308353,0.118053122162816,0.0925727007252578,-0.0253515218012285,-0.0870334810589799,-0.131758216308353,-0.0423508518656299,-0.0870334810589799,0.0357121469594534,-0.0870334810589799,-0.0870334810589799,-0.0861948757919503,-0.0870334810589799,0,-0.0870334810589799,-0.150404336118746,-0.161340985534782,-0.0861948757919503,-0.0861948757919503
"MIR340",-0.151368353366124,-0.142868413669013,-0.110027355185776,-0.00613241439063822,-0.0950572807045859,0.150802371834995,0.142868413669013,-0.114364503128732,0.150802371834995,-0.0680581998715762,0.150802371834995,0.150802371834995,0.151227180671019,0.150802371834995,0,0.150802371834995,0.147885680008072,0.153875864281478,0.151227180671019,0.151227180671019
"MIR34",-0.0870334810589799,-0.132829805682509,-0.118980032966646,-0.0909962339610777,-0.0720183718753244,0.0861948757919503,0.132829805682509,0.0444490058503215,0.0861948757919503,-0.0389183466251577,0.0861948757919503,0.0861948757919503,0.0874802228356521,0.0861948757919503,0,0.0861948757919503,0.149027644924823,0.161968882081351,0.0874802228356521,0.0874802228356521
"MIR200",-0.117122446526343,-0.0122633904974155,0.0711491228597901,-0.00120840701533589,0.0394684762387969,0.116261437916257,0.0122633904974155,-0.196414789643212,0.116261437916257,0.0332678277357252,0.116261437916257,0.116261437916257,0.117425994878283,0.116261437916257,0,0.116261437916257,0.00667799973189688,0.0039575936980083,0.117425994878283,0.117425994878283
"MIR190",0.0861948757919503,0.131075419717597,0.117440217744472,-0.00658555835755674,0.076103794345148,-0.0874802228356521,-0.131075419717597,-0.0411235279765326,-0.0874802228356521,0.0338589537523024,-0.0874802228356521,-0.0874802228356521,-0.0852245837379077,-0.0874802228356521,0,-0.0874802228356521,-0.150926160630725,-0.160905283210068,-0.0852245837379077,-0.0852245837379077
"MIR129",-0.00587834899342667,-0.00131693746369135,0.0963348388231799,0.00169430675397262,0.0100440342259815,0.00545239058701223,0.00131693746369135,-0.00470001825268175,0.00545239058701223,-0.0250604727377612,0.00545239058701223,0.00545239058701223,0.00634657836644592,0.00545239058701223,0,0.00545239058701223,-0.0998276806969979,-0.0994601992896069,0.00634657836644592,0.00634657836644592
"MIR1199",-0.151368353366124,-0.142868413669013,-0.110027355185776,-0.00613241439063822,-0.0950572807045859,0.150802371834995,0.142868413669013,-0.114364503128732,0.150802371834995,-0.0680581998715762,0.150802371834995,0.150802371834995,0.151227180671019,0.150802371834995,0,0.150802371834995,0.147885680008072,0.153875864281478,0.151227180671019,0.151227180671019
"HAS2",0.150802371834995,0.141814672889244,0.10902278897573,0.00719521632300537,0.0971386430508489,-0.151227180671019,-0.141814672889244,0.115945114298384,-0.151227180671019,0.0654097980450922,-0.151227180671019,-0.151227180671019,-0.0504638218923933,-0.151227180671019,0,-0.151227180671019,-0.148808320178406,-0.153171638929366,-0.150463821892393,-0.150463821892393
"HA",0.151368353366124,0.142868413669013,0.110027355185776,0.00613241439063822,0.0950572807045859,-0.150802371834995,-0.142868413669013,0.114364503128732,-0.150802371834995,0.0680581998715762,-0.150802371834995,-0.150802371834995,-0.151227180671019,-0.150802371834995,0,-0.150802371834995,-0.147885680008072,-0.153875864281478,-0.151227180671019,-0.151227180671019
"GRHL2",0.0174819745576857,0.0220278781925857,0.0854788754884152,0.00474079940547329,0.0723282221030294,-0.0169526406362035,-0.0220278781925857,8.32099728651302e-05,-0.0169526406362035,0.0619900628264887,-0.0169526406362035,-0.0169526406362035,-0.0174621947763309,-0.0169526406362035,0,-0.0169526406362035,-0.0240780010464278,-0.027700091599101,-0.0174621947763309,0.0825378052236691
"EXTGFB",-0.0870334810589799,-0.132829805682509,-0.118980032966646,-0.0909962339610777,-0.0720183718753244,0.0861948757919503,0.132829805682509,0.0444490058503215,0.0861948757919503,-0.0389183466251577,0.0861948757919503,0.0861948757919503,0.0874802228356521,0.0861948757919503,0,0.0861948757919503,0.149027644924823,0.161968882081351,0.0874802228356521,0.0874802228356521
"ESRP1",-0.150802371834995,-0.141814672889244,-0.10902278897573,-0.00719521632300537,-0.0971386430508489,0.151227180671019,0.141814672889244,-0.115945114298384,0.151227180671019,-0.0654097980450922,0.151227180671019,0.151227180671019,0.150463821892393,0.151227180671019,0,0.151227180671019,0.148808320178406,0.153171638929366,0.250463821892393,0.150463821892393
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.151368353366124,-0.142868413669013,-0.110027355185776,-0.00613241439063822,-0.0950572807045859,0.150802371834995,0.142868413669013,-0.114364503128732,0.150802371834995,-0.0680581998715762,0.150802371834995,0.150802371834995,0.151227180671019,0.150802371834995,0,0.150802371834995,0.147885680008072,0.153875864281478,0.151227180671019,0.151227180671019
"CD24",-0.151368353366124,-0.142868413669013,-0.110027355185776,-0.00613241439063822,-0.0950572807045859,0.150802371834995,0.142868413669013,-0.114364503128732,0.150802371834995,-0.0680581998715762,0.150802371834995,0.150802371834995,0.151227180671019,0.150802371834995,0,0.150802371834995,0.147885680008072,0.153875864281478,0.151227180671019,0.151227180671019
