"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.266684082382229,0.353081810537816,-0.232885727481992,-0.0413067804069893,-0.245583583337257,-0.354022373102408,-0.353081810537816,-0.353081810537816,-0.354022373102408,0.131474836083606,-0.354022373102408,-0.354022373102408,0.354230892613877,-0.354022373102408,0,0.354022373102408,-0.0159136089000814,0.363165225919339,0.354230892613877,-0.354230892613877
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",0.332488510983738,0.299328620153423,-0.220304132196629,-0.078311600119323,-0.253609569723644,-0.330557404511922,-0.299328620153423,-0.299328620153423,-0.330557404511922,0.167081337563359,-0.330557404511922,-0.330557404511922,0.323466449863964,-0.330557404511922,0,0.330557404511922,0.0580537078320126,0.199731639823166,0.323466449863964,-0.323466449863964
"TGFB",0.220162491323648,0.287921505477509,-0.224259758402307,-0.148265997328757,-0.252530801600667,-0.215998889734711,-0.287921505477509,-0.287921505477509,-0.215998889734711,0.0827234136846304,-0.215998889734711,-0.215998889734711,0.213685265056048,-0.215998889734711,0,0.215998889734711,-0.0365420979284412,0.298446798751912,0.213685265056048,-0.213685265056048
"SNAIL1",-0.221283929998127,-0.291226323127216,0.225551355424036,0.148704807665178,0.15337019723581,0.220162491323648,0.291226323127216,0.291226323127216,0.220162491323648,-0.0834375908613513,0.220162491323648,0.220162491323648,-0.215998889734711,0.220162491323648,0,-0.220162491323648,0.0368506666443206,-0.301466682142554,-0.215998889734711,0.215998889734711
"MIR340",-0.354022373102408,-0.352332404579125,0.229613680115211,0.0386726340655259,0.240047927199191,0.354230892613877,0.352332404579125,0.352332404579125,0.354230892613877,-0.132316219692207,0.354230892613877,0.354230892613877,-0.328997247754063,0.354230892613877,0,-0.354230892613877,0.0153380693317361,-0.361398549099357,-0.328997247754063,0.328997247754063
"MIR34",-0.220162491323648,-0.287921505477509,0.224259758402307,0.148265997328757,0.252530801600667,0.215998889734711,0.287921505477509,0.287921505477509,0.215998889734711,-0.0827234136846304,0.215998889734711,0.215998889734711,-0.213685265056048,0.215998889734711,0,-0.215998889734711,0.0365420979284412,-0.298446798751912,-0.213685265056048,0.213685265056048
"MIR200",-0.215083288631732,-0.0988311935757869,-0.080351838911476,0.0103999073420665,-0.0483748211643746,0.216155156493267,0.0988311935757869,0.0988311935757869,0.216155156493267,0.0393541723136582,0.216155156493267,0.216155156493267,-0.204560219784407,0.216155156493267,0,-0.216155156493267,-0.00567754695776392,-0.0742837767733188,-0.204560219784407,0.204560219784407
"MIR190",-0.215998889734711,-0.285800531400526,0.222631953738867,0.0471754330802976,0.250580940876433,0.213685265056048,0.285800531400526,0.285800531400526,0.213685265056048,-0.0826794189639969,0.213685265056048,0.213685265056048,-0.205163961797903,0.213685265056048,0,-0.213685265056048,0.0360933578525005,-0.296124246114621,-0.205163961797903,0.205163961797903
"MIR129",-0.330557404511922,-0.293661850827892,0.118055178221734,0.0775508224354684,0.252168647533442,0.323466449863964,0.293661850827892,0.293661850827892,0.323466449863964,-0.165851936569375,0.323466449863964,0.323466449863964,-0.319442604856512,0.323466449863964,0,-0.323466449863964,-0.0585875887355034,-0.194535837417228,-0.319442604856512,0.319442604856512
"MIR1199",-0.354022373102408,-0.352332404579125,0.229613680115211,0.0386726340655259,0.240047927199191,0.354230892613877,0.352332404579125,0.352332404579125,0.354230892613877,-0.132316219692207,0.354230892613877,0.354230892613877,-0.328997247754063,0.354230892613877,0,-0.354230892613877,0.0153380693317361,-0.361398549099357,-0.328997247754063,0.328997247754063
"HAS2",0.354230892613877,0.332416703841506,-0.222764365046718,-0.0376098321331587,-0.237777350094177,-0.328997247754063,-0.332416703841506,-0.332416703841506,-0.328997247754063,0.127110740240152,-0.328997247754063,-0.328997247754063,0.229251700680272,-0.328997247754063,0,0.328997247754063,-0.014131539878223,0.343704887127526,0.329251700680272,-0.329251700680272
"HA",-0.354022373102408,-0.352332404579125,0.229613680115211,0.0386726340655259,0.240047927199191,0.354230892613877,0.352332404579125,0.352332404579125,0.354230892613877,-0.132316219692207,0.354230892613877,0.354230892613877,-0.328997247754063,0.354230892613877,0,-0.354230892613877,0.0153380693317361,-0.361398549099357,-0.328997247754063,0.328997247754063
"GRHL2",-0.519539205388541,-0.493870556588725,0.249904636964482,0.0421285224157524,0.263766433932857,0.513143087170632,0.493870556588725,0.493870556588725,0.513143087170632,-0.150926622089688,0.513143087170632,0.513143087170632,-0.494289583985919,0.513143087170632,0,-0.513143087170632,0.0138041853882539,-0.497422653496795,-0.494289583985919,0.594289583985919
"EXTGFB",0.220162491323648,0.287921505477509,-0.224259758402307,-0.148265997328757,-0.252530801600667,-0.215998889734711,-0.287921505477509,-0.287921505477509,-0.215998889734711,0.0827234136846304,-0.215998889734711,-0.215998889734711,0.213685265056048,-0.215998889734711,0,0.215998889734711,-0.0365420979284412,0.298446798751912,0.213685265056048,-0.213685265056048
"ESRP1",-0.354230892613877,-0.332416703841506,0.222764365046718,0.0376098321331587,0.237777350094177,0.328997247754063,0.332416703841506,0.332416703841506,0.328997247754063,-0.127110740240152,0.328997247754063,0.328997247754063,-0.329251700680272,0.328997247754063,0,-0.328997247754063,0.014131539878223,-0.343704887127526,-0.229251700680272,0.329251700680272
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.354022373102408,-0.352332404579125,0.229613680115211,0.0386726340655259,0.240047927199191,0.354230892613877,0.352332404579125,0.352332404579125,0.354230892613877,-0.132316219692207,0.354230892613877,0.354230892613877,-0.328997247754063,0.354230892613877,0,-0.354230892613877,0.0153380693317361,-0.361398549099357,-0.328997247754063,0.328997247754063
"CD24",-0.354022373102408,-0.352332404579125,0.229613680115211,0.0386726340655259,0.240047927199191,0.354230892613877,0.352332404579125,0.352332404579125,0.354230892613877,-0.132316219692207,0.354230892613877,0.354230892613877,-0.328997247754063,0.354230892613877,0,-0.354230892613877,0.0153380693317361,-0.361398549099357,-0.328997247754063,0.328997247754063
