"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0399907941126448,-0.0542960368253786,0.0292159779093807,-0.0855685734402015,-0.0394637011240554,0.0508719949267766,-0.0542960368253786,0.0954941561821872,0.0508719949267766,0.0482741129674529,-0.0508719949267766,-0.0508719949267766,-0.0620426830411645,-0.0508719949267766,0,0.0508719949267766,0.0855625847857269,-0.101348769774819,0.0620426830411645,0.0620426830411645
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.0147003815996361,-0.00804065296049474,-0.0673551663511495,0.00733721260188429,-0.012128319297259,-0.00384443170402026,-0.00804065296049474,-0.00534787305923682,-0.00384443170402026,0.174115376326146,0.00384443170402026,0.00384443170402026,0.0168486912880844,0.00384443170402026,0,-0.00384443170402026,0.110554375286631,-0.0876673459164755,-0.0168486912880844,-0.0168486912880844
"TGFB",-0.044289108747322,-0.0750013053996092,0.0467836980869959,0.118610842854632,-0.0515333137842114,-0.0282673344351254,-0.0750013053996092,-0.104346200119672,-0.0282673344351254,0.117278397905291,0.0282673344351254,0.0282673344351254,0.0477189196964793,0.0282673344351254,0,-0.0282673344351254,-0.00870729452796339,0.0899838126063492,-0.0477189196964793,-0.0477189196964793
"SNAIL1",0.0310642148293587,0.0537946417345935,-0.0235501469549491,-0.112418741440687,-0.0241402012849388,0.044289108747322,0.0537946417345935,0.102752323487525,0.044289108747322,-0.107690189426337,-0.044289108747322,-0.044289108747322,-0.0282673344351254,-0.044289108747322,0,0.044289108747322,0.00106428479618081,-0.0839141459895156,0.0282673344351254,0.0282673344351254
"MIR340",-0.0508719949267766,0.0690830958639456,-0.0455138900315371,0.081373451488982,0.0225311058782071,-0.0620426830411645,0.0690830958639456,-0.0944157427294364,-0.0620426830411645,-0.0549740194803853,0.0620426830411645,0.0620426830411645,0.048873609124427,0.0620426830411645,0,-0.0620426830411645,-0.0803347670399236,0.0971148373958977,-0.048873609124427,-0.048873609124427
"MIR34",0.044289108747322,0.0750013053996092,-0.0467836980869959,-0.118610842854632,0.0515333137842114,0.0282673344351254,0.0750013053996092,0.104346200119672,0.0282673344351254,-0.117278397905291,-0.0282673344351254,-0.0282673344351254,-0.0477189196964793,-0.0282673344351254,0,0.0282673344351254,0.00870729452796339,-0.0899838126063492,0.0477189196964793,0.0477189196964793
"MIR200",-0.0923195982006082,0.190033891110469,-0.058082334933195,-0.10805878557183,0.0986583130238139,-0.0909314414618979,0.190033891110469,0.00765787908807824,-0.0909314414618979,-0.117594671813058,0.0909314414618979,0.0909314414618979,0.0927035933606321,0.0909314414618979,0,-0.0909314414618979,-0.0949657960848182,-0.00181799551230363,-0.0927035933606321,-0.0927035933606321
"MIR190",0.0282673344351254,0.0493139526894757,-0.0188470504847081,-0.210976893115419,0.0809205004137379,0.0477189196964793,0.0493139526894757,0.102434704963872,0.0477189196964793,-0.105707786378674,-0.0477189196964793,-0.0477189196964793,-0.0239093958869555,-0.0477189196964793,0,0.0477189196964793,-0.000578173197269613,-0.082668857103853,0.0239093958869555,0.0239093958869555
"MIR129",0.00384443170402026,-0.00923683395050002,-0.0136071767450848,-0.00223718442493303,0.0320130455220429,0.0168486912880844,-0.00923683395050002,0.00405437136536555,0.0168486912880844,-0.166294293406972,-0.0168486912880844,-0.0168486912880844,-0.000753311258278147,-0.0168486912880844,0,0.0168486912880844,-0.116837742843099,0.0926327925507217,0.000753311258278147,0.000753311258278147
"MIR1199",-0.0508719949267766,0.0690830958639456,-0.0455138900315371,0.081373451488982,0.0225311058782071,-0.0620426830411645,0.0690830958639456,-0.0944157427294364,-0.0620426830411645,-0.0549740194803853,0.0620426830411645,0.0620426830411645,0.048873609124427,0.0620426830411645,0,-0.0620426830411645,-0.0803347670399236,0.0971148373958977,-0.048873609124427,-0.048873609124427
"HAS2",-0.0620426830411645,0.0513802507638402,-0.0255138900315371,0.086300987720866,0.0430609072027104,-0.048873609124427,0.0513802507638402,-0.095785605743135,-0.048873609124427,-0.0468461655991068,0.048873609124427,0.048873609124427,0.164904143475572,0.048873609124427,0,-0.048873609124427,-0.0866513035906688,0.102308499367729,-0.0649041434755721,-0.0649041434755721
"HA",-0.0508719949267766,0.0690830958639456,-0.0455138900315371,0.081373451488982,0.0225311058782071,-0.0620426830411645,0.0690830958639456,-0.0944157427294364,-0.0620426830411645,-0.0549740194803853,0.0620426830411645,0.0620426830411645,0.048873609124427,0.0620426830411645,0,-0.0620426830411645,-0.0803347670399236,0.0971148373958977,-0.048873609124427,-0.048873609124427
"GRHL2",0.0172057717672327,0.000137050392847246,-0.0523821474536944,-0.00931570338809766,0.0313548799405738,0.00551631433450221,0.000137050392847246,0.00637652787293481,0.00551631433450221,-0.0563155340618217,-0.00551631433450221,-0.00551631433450221,-0.0194016646529736,-0.00551631433450221,0,0.00551631433450221,0.00904859071339562,-0.00751808155389946,0.0194016646529736,-0.0805983353470265
"EXTGFB",0.044289108747322,0.0750013053996092,-0.0467836980869959,-0.118610842854632,0.0515333137842114,0.0282673344351254,0.0750013053996092,0.104346200119672,0.0282673344351254,-0.117278397905291,-0.0282673344351254,-0.0282673344351254,-0.0477189196964793,-0.0282673344351254,0,0.0282673344351254,0.00870729452796339,-0.0899838126063492,0.0477189196964793,0.0477189196964793
"ESRP1",-0.0620426830411645,0.0513802507638402,-0.0255138900315371,0.086300987720866,0.0430609072027104,-0.048873609124427,0.0513802507638402,-0.095785605743135,-0.048873609124427,-0.0468461655991068,0.048873609124427,0.048873609124427,0.0649041434755721,0.048873609124427,0,-0.048873609124427,-0.0866513035906688,0.102308499367729,0.0350958565244279,-0.0649041434755721
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0508719949267766,0.0690830958639456,-0.0455138900315371,0.081373451488982,0.0225311058782071,-0.0620426830411645,0.0690830958639456,-0.0944157427294364,-0.0620426830411645,-0.0549740194803853,0.0620426830411645,0.0620426830411645,0.048873609124427,0.0620426830411645,0,-0.0620426830411645,-0.0803347670399236,0.0971148373958977,-0.048873609124427,-0.048873609124427
"CD24",-0.0508719949267766,0.0690830958639456,-0.0455138900315371,0.081373451488982,0.0225311058782071,-0.0620426830411645,0.0690830958639456,-0.0944157427294364,-0.0620426830411645,-0.0549740194803853,0.0620426830411645,0.0620426830411645,0.048873609124427,0.0620426830411645,0,-0.0620426830411645,-0.0803347670399236,0.0971148373958977,-0.048873609124427,-0.048873609124427
