"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.294068608717773,-0.271327022152105,-0.140558746645363,-0.0148457122316563,0.140621048728836,0.374093056104959,0.271327022152105,-0.321619439745389,-0.374093056104959,-0.0812370581323936,-0.374093056104959,-0.374093056104959,-0.377578310796648,-0.374093056104959,0,-0.374093056104959,0.00957008230072476,-0.237171069468236,0.377578310796648,-0.377578310796648
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.0943244294690229,0.055973844711398,0.00840535840856408,0.00324580595433052,-0.0218530708377777,-0.100065556817666,-0.055973844711398,0.0729395657945963,0.100065556817666,-0.0161562716220893,0.100065556817666,0.100065556817666,0.0850066743320733,0.100065556817666,0,0.100065556817666,-0.100766928896202,-0.0524518557360304,-0.0850066743320733,0.0850066743320733
"TGFB",-0.0393351163921176,0.0763739858328305,-0.079088344842317,-0.0722284941921252,0.0157386111800676,-0.0294336892919263,-0.0763739858328305,-0.0455201871316844,0.0294336892919263,-0.0217200768228812,0.0294336892919263,0.0294336892919263,0.0427156087435116,0.0294336892919263,0,0.0294336892919263,0.0174744776844955,0.110689229337832,-0.0427156087435116,0.0427156087435116
"SNAIL1",-0.0317275188976743,0.0802371105514258,-0.0774016710845294,-0.074032492241857,-0.079920514249623,-0.0393351163921176,-0.0802371105514258,-0.037262645483778,0.0393351163921176,-0.0172678659126852,0.0393351163921176,0.0393351163921176,0.0294336892919263,0.0393351163921176,0,0.0393351163921176,0.0172133810787513,0.114262259686165,-0.0294336892919263,0.0294336892919263
"MIR340",0.374093056104959,-0.271125962016846,-0.141026181983474,-0.0112359561340953,0.131991937690086,0.377578310796648,0.271125962016846,-0.326097597303422,-0.377578310796648,-0.0874383669513404,-0.377578310796648,-0.377578310796648,-0.342149253872264,-0.377578310796648,0,-0.377578310796648,0.0096180439314202,-0.238084867823399,0.342149253872264,-0.342149253872264
"MIR34",-0.0393351163921176,0.0763739858328305,-0.079088344842317,-0.0722284941921252,0.0157386111800676,-0.0294336892919263,-0.0763739858328305,-0.0455201871316844,0.0294336892919263,-0.0217200768228812,0.0294336892919263,0.0294336892919263,0.0427156087435116,0.0294336892919263,0,0.0294336892919263,0.0174744776844955,0.110689229337832,-0.0427156087435116,0.0427156087435116
"MIR200",-0.2753281721086,0.299188505703356,-0.0321221894783737,0.0135610907825832,-0.00796659464576154,-0.28283124713935,-0.299188505703356,0.158761039545225,0.28283124713935,-0.0122613717661289,0.28283124713935,0.28283124713935,0.254729981316565,0.28283124713935,0,0.28283124713935,0.000351625733099099,0.286262891743428,-0.254729981316565,0.254729981316565
"MIR190",0.0294336892919263,-0.0815847739972715,0.0769326035312743,-0.0253532981265093,-0.0214024923314139,0.0427156087435116,0.0815847739972715,0.0344963589043998,-0.0427156087435116,0.0158687789786225,-0.0427156087435116,-0.0427156087435116,-0.0254223756608048,-0.0427156087435116,0,-0.0427156087435116,-0.0170947745433149,-0.115486277308311,0.0254223756608048,-0.0254223756608048
"MIR129",-0.100065556817666,0.0495371339014195,0.105790295647058,0.00502095388332461,-0.0260934989975143,-0.0850066743320733,-0.0495371339014195,0.0608668833184645,0.0850066743320733,-0.021466237617381,0.0850066743320733,0.0850066743320733,0.0946937086092715,0.0850066743320733,0,0.0850066743320733,-0.100356251278132,-0.058057179513865,-0.0946937086092715,0.0946937086092715
"MIR1199",-0.374093056104959,0.271125962016846,0.141026181983474,0.0112359561340953,-0.131991937690086,-0.377578310796648,-0.271125962016846,0.326097597303422,0.377578310796648,0.0874383669513404,0.377578310796648,0.377578310796648,0.342149253872264,0.377578310796648,0,0.377578310796648,-0.0096180439314202,0.238084867823399,-0.342149253872264,0.342149253872264
"HAS2",-0.377578310796648,0.255003728086393,0.134542163718634,0.0136514150712934,-0.138046809970124,-0.342149253872264,-0.255003728086393,0.298278840717542,0.342149253872264,0.077118732248144,0.342149253872264,0.342149253872264,0.446474953617811,0.342149253872264,0,0.342149253872264,-0.00855345911949685,0.22452852979523,-0.346474953617811,0.346474953617811
"HA",-0.374093056104959,0.271125962016846,0.141026181983474,0.0112359561340953,-0.131991937690086,-0.377578310796648,-0.271125962016846,0.326097597303422,0.377578310796648,0.0874383669513404,0.377578310796648,0.377578310796648,0.342149253872264,0.377578310796648,0,0.377578310796648,-0.0096180439314202,0.238084867823399,-0.342149253872264,0.342149253872264
"GRHL2",-0.137572289469203,0.0936618433436818,0.102737102586143,0.00710473228013881,-0.0898166626607139,-0.149349969222181,-0.0936618433436818,0.13152480200484,0.149349969222181,0.0738929791707125,0.149349969222181,0.149349969222181,0.12170665712027,0.149349969222181,0,0.149349969222181,-0.00441054026014301,0.0803647629817244,-0.12170665712027,0.22170665712027
"EXTGFB",0.0393351163921176,-0.0763739858328305,0.079088344842317,0.0722284941921252,-0.0157386111800676,0.0294336892919263,0.0763739858328305,0.0455201871316844,-0.0294336892919263,0.0217200768228812,-0.0294336892919263,-0.0294336892919263,-0.0427156087435116,-0.0294336892919263,0,-0.0294336892919263,-0.0174744776844955,-0.110689229337832,0.0427156087435116,-0.0427156087435116
"ESRP1",-0.377578310796648,0.255003728086393,0.134542163718634,0.0136514150712934,-0.138046809970124,-0.342149253872264,-0.255003728086393,0.298278840717542,0.342149253872264,0.077118732248144,0.342149253872264,0.342149253872264,0.346474953617811,0.342149253872264,0,0.342149253872264,-0.00855345911949685,0.22452852979523,-0.446474953617811,0.346474953617811
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",0.374093056104959,-0.271125962016846,-0.141026181983474,-0.0112359561340953,0.131991937690086,0.377578310796648,0.271125962016846,-0.326097597303422,-0.377578310796648,-0.0874383669513404,-0.377578310796648,-0.377578310796648,-0.342149253872264,-0.377578310796648,0,-0.377578310796648,0.0096180439314202,-0.238084867823399,0.342149253872264,-0.342149253872264
"CD24",0.374093056104959,-0.271125962016846,-0.141026181983474,-0.0112359561340953,0.131991937690086,0.377578310796648,0.271125962016846,-0.326097597303422,-0.377578310796648,-0.0874383669513404,-0.377578310796648,-0.377578310796648,-0.342149253872264,-0.377578310796648,0,-0.377578310796648,0.0096180439314202,-0.238084867823399,0.342149253872264,-0.342149253872264
