"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0828369863366206,-0.172925490100731,-0.11589426675355,0.00510376703238378,-0.0823797125572811,-0.182398970649547,0.151280286274623,0.172925490100731,-0.182398970649547,0.11589426675355,-0.182398970649547,-0.182398970649547,0.182309605144632,0.182398970649547,0,-0.182398970649547,0.179908438527543,0.186160233306258,0.182309605144632,-0.182309605144632
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",0.0435320811202306,-0.0370908433194711,-0.0091406708170149,0.00538449383991273,-0.0232046958019412,-0.0437060546762501,0.01952067760823,0.0370908433194711,-0.0437060546762501,-0.0137349169405561,-0.0437060546762501,-0.0437060546762501,0.0427288559791817,0.0437060546762501,0,-0.0437060546762501,-0.0314883840451923,-0.0155048055657283,0.0427288559791817,-0.0427288559791817
"TGFB",-0.0932505667489923,0.00655639332023869,-0.0857821200240584,0.0612303651006053,0.0150188466044428,0.0931181553910402,-0.0899859482466377,-0.00655639332023869,0.0931181553910402,0.0857821200240584,0.0931181553910402,0.0931181553910402,-0.0932038451939537,-0.0931181553910402,0,0.0931181553910402,0.0326615485881768,0.058280331865763,-0.0932038451939537,0.0932038451939537
"SNAIL1",0.0933212881068423,-0.00661942798930668,0.0856453626923459,-0.0609865815803713,-0.114787013524261,-0.0932505667489923,0.0900850027266017,0.00661942798930668,-0.0932505667489923,-0.0856453626923459,-0.0932505667489923,-0.0932505667489923,0.0931181553910402,0.0932505667489923,0,-0.0932505667489923,-0.0324004519824327,-0.0581457826057839,0.0931181553910402,-0.0931181553910402
"MIR340",-0.182398970649547,0.172907211906616,0.115676130262432,-0.00481108410555452,0.0823797125572811,0.182309605144632,-0.151188895304051,-0.172907211906616,0.182309605144632,-0.115676130262432,0.182309605144632,0.182309605144632,-0.180695331567742,-0.182309605144632,0,0.182309605144632,-0.17856551286807,-0.186007933580397,-0.180695331567742,0.180695331567742
"MIR34",-0.0932505667489923,0.00655639332023869,-0.0857821200240584,0.0612303651006053,0.0150188466044428,0.0931181553910402,-0.0899859482466377,-0.00655639332023869,0.0931181553910402,0.0857821200240584,0.0931181553910402,0.0931181553910402,-0.0932038451939537,-0.0931181553910402,0,0.0931181553910402,0.0326615485881768,0.058280331865763,-0.0932038451939537,0.0932038451939537
"MIR200",0.146601559601891,-0.220846763846628,-0.133754203793899,0.19366296402363,-0.0840289039485259,-0.146513701580454,0.038836015304291,0.220846763846628,-0.146513701580454,0.133754203793899,-0.146513701580454,-0.146513701580454,0.146159271200707,0.146513701580454,0,-0.146513701580454,0.229074080311849,0.237070949451391,0.146159271200707,-0.146159271200707
"MIR190",-0.0931181553910402,0.00621599007331541,-0.0862660619510272,0.161088117589937,0.0150652718597817,0.0932038451939537,-0.0904310909541527,-0.00621599007331541,0.0932038451939537,0.0862660619510272,0.0932038451939537,0.0932038451939537,-0.0917000857954575,-0.0932038451939537,0,0.0932038451939537,0.0332483625336376,0.0584756867604884,-0.0917000857954575,0.0917000857954575
"MIR129",-0.0437060546762501,0.0364440924725354,-0.0909639316934454,-0.0055253785961821,0.0232733111443317,0.0427288559791817,-0.018966319739428,-0.0364440924725354,0.0427288559791817,0.0138657042803416,0.0427288559791817,0.0427288559791817,-0.0437720750551876,-0.0427288559791817,0,0.0427288559791817,0.0308312998562806,0.0160678974520861,-0.0437720750551876,0.0437720750551876
"MIR1199",-0.182398970649547,0.172907211906616,0.115676130262432,-0.00481108410555452,0.0823797125572811,0.182309605144632,-0.151188895304051,-0.172907211906616,0.182309605144632,-0.115676130262432,0.182309605144632,0.182309605144632,-0.180695331567742,-0.182309605144632,0,0.182309605144632,-0.17856551286807,-0.186007933580397,-0.180695331567742,0.180695331567742
"HAS2",-0.182309605144632,0.171431974814941,0.114854212454212,-0.00510093917801828,0.0824743199366567,0.180695331567742,-0.150662024914167,-0.171431974814941,0.180695331567742,-0.114854212454212,0.180695331567742,0.180695331567742,-0.279931972789116,-0.180695331567742,0,0.180695331567742,-0.178352595905685,-0.1847755392142,-0.179931972789116,0.179931972789116
"HA",0.182398970649547,-0.172907211906616,-0.115676130262432,0.00481108410555452,-0.0823797125572811,-0.182309605144632,0.151188895304051,0.172907211906616,-0.182309605144632,0.115676130262432,-0.182309605144632,-0.182309605144632,0.180695331567742,0.182309605144632,0,-0.182309605144632,0.17856551286807,0.186007933580397,0.180695331567742,-0.180695331567742
"GRHL2",-0.0415748420806646,0.0436570868971485,0.0883107964243668,-0.00405363144374384,0.0663109537369464,0.0419277313616527,-0.0261521587225677,-0.0436570868971485,0.0419277313616527,-0.0883107964243668,0.0419277313616527,0.0419277313616527,-0.0409086230813979,-0.0419277313616527,0,0.0419277313616527,-0.046300010589444,-0.0506251754739956,-0.0409086230813979,-0.059091376918602
"EXTGFB",-0.0932505667489923,0.00655639332023869,-0.0857821200240584,0.0612303651006053,0.0150188466044428,0.0931181553910402,-0.0899859482466377,-0.00655639332023869,0.0931181553910402,0.0857821200240584,0.0931181553910402,0.0931181553910402,-0.0932038451939537,-0.0931181553910402,0,0.0931181553910402,0.0326615485881768,0.058280331865763,-0.0932038451939537,0.0932038451939537
"ESRP1",0.182309605144632,-0.171431974814941,-0.114854212454212,0.00510093917801828,-0.0824743199366567,-0.180695331567742,0.150662024914167,0.171431974814941,-0.180695331567742,0.114854212454212,-0.180695331567742,-0.180695331567742,0.179931972789116,0.180695331567742,0,-0.180695331567742,0.178352595905685,0.1847755392142,0.0799319727891157,-0.179931972789116
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.182398970649547,0.172907211906616,0.115676130262432,-0.00481108410555452,0.0823797125572811,0.182309605144632,-0.151188895304051,-0.172907211906616,0.182309605144632,-0.115676130262432,0.182309605144632,0.182309605144632,-0.180695331567742,-0.182309605144632,0,0.182309605144632,-0.17856551286807,-0.186007933580397,-0.180695331567742,0.180695331567742
"CD24",-0.182398970649547,0.172907211906616,0.115676130262432,-0.00481108410555452,0.0823797125572811,0.182309605144632,-0.151188895304051,-0.172907211906616,0.182309605144632,-0.115676130262432,0.182309605144632,0.182309605144632,-0.180695331567742,-0.182309605144632,0,0.182309605144632,-0.17856551286807,-0.186007933580397,-0.180695331567742,0.180695331567742
