"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.00894654814530315,-0.106891678766145,-0.0742166883079225,0.107472808381487,0.0523644020923877,0.108895616088667,-0.106891678766145,0.104718477986164,-0.108895616088667,-0.0479614338571367,0.108895616088667,0.108895616088667,-0.108627519573921,0.108895616088667,0,-0.108895616088667,0.103042373715995,-0.0997955096687095,-0.108627519573921,0.108627519573921
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",-0.202106318351535,0.00218269312055773,-0.177965134161798,-0.201139270876741,0.198613119437116,-0.201862755373107,0.00218269312055773,-0.200786292842694,0.201862755373107,-0.144537249478315,-0.201862755373107,-0.201862755373107,0.201837698996259,-0.201862755373107,0,0.201862755373107,0.0598359112192885,-0.0394112652691569,0.201837698996259,-0.201837698996259
"TGFB",0.144278696968338,0.102966041206305,0.228311201518399,0.247070300150818,-0.25695104701834,0.144058011371751,0.102966041206305,0.249086938166193,-0.144058011371751,0.0841475961402412,0.144058011371751,0.144058011371751,-0.143972321568837,0.144058011371751,0,-0.144058011371751,-0.0651210641188746,0.0383619244903558,-0.143972321568837,0.143972321568837
"SNAIL1",-0.144460551888523,-0.103047085780821,-0.228751864031694,-0.247216570262959,0.157278811028253,-0.144278696968338,-0.103047085780821,-0.249438131322429,0.144278696968338,-0.0845578681353787,-0.144278696968338,-0.144278696968338,0.144058011371751,-0.144278696968338,0,0.144278696968338,0.0651922722840775,-0.0384516239970085,0.144058011371751,-0.144058011371751
"MIR340",-0.108895616088667,0.106873400572031,0.0748087730695305,-0.107050044153845,-0.0523644020923877,-0.108627519573921,0.106873400572031,-0.104407748686219,0.108627519573921,0.0479302715012626,-0.108627519573921,-0.108627519573921,0.108372634272307,-0.108627519573921,0,0.108627519573921,-0.103330143500168,0.099643209942849,0.108372634272307,-0.108372634272307
"MIR34",0.144278696968338,0.102966041206305,0.228311201518399,0.247070300150818,-0.25695104701834,0.144058011371751,0.102966041206305,0.249086938166193,-0.144058011371751,0.0841475961402412,0.144058011371751,0.144058011371751,-0.143972321568837,0.144058011371751,0,-0.144058011371751,-0.0651210641188746,0.0383619244903558,-0.143972321568837,0.143972321568837
"MIR200",0.14421536979066,-0.00607057750077666,0.160292101871082,0.347673855256547,-0.150888859484208,0.144022082143498,-0.00607057750077666,0.249910706565985,-0.144022082143498,0.079982617006119,0.144022082143498,0.144022082143498,-0.143667651763751,0.144022082143498,0,-0.144022082143498,0.0184374122690986,-0.028923095233484,-0.143667651763751,0.143667651763751
"MIR190",-0.144058011371751,-0.102887486610861,-0.228443185680299,-0.346548725945034,0.256393943954273,-0.143972321568837,-0.102887486610861,-0.248903644110157,0.143972321568837,-0.0839276225370736,-0.143972321568837,-0.143972321568837,0.143471068436005,-0.143972321568837,0,0.143972321568837,0.0655698041948152,-0.038296806192114,0.143471068436005,-0.143471068436005
"MIR129",-0.201862755373107,0.00233668141744716,-0.0778605316513378,-0.201505571243041,0.198105365903425,-0.201837698996259,0.00233668141744716,-0.200601506886426,0.201837698996259,-0.143778682907559,-0.201837698996259,-0.201837698996259,0.202135761589404,-0.201837698996259,0,0.201837698996259,0.0599180467429024,-0.0390529340687474,0.202135761589404,-0.202135761589404
"MIR1199",0.108895616088667,-0.106873400572031,-0.0748087730695305,0.107050044153845,0.0523644020923877,0.108627519573921,-0.106873400572031,0.104407748686219,-0.108627519573921,-0.0479302715012626,0.108627519573921,0.108627519573921,-0.108372634272307,0.108627519573921,0,-0.108627519573921,0.103330143500168,-0.099643209942849,-0.108372634272307,0.108372634272307
"HAS2",0.108627519573921,-0.107084148727984,-0.0756306908777497,0.107339899226309,0.0527428316098901,0.108372634272307,-0.107084148727984,0.103880878296335,-0.108372634272307,-0.0489348377113083,0.108372634272307,0.108372634272307,-0.208627087198516,0.108372634272307,0,-0.108372634272307,0.103543060462552,-0.0999953226189054,-0.108627087198516,0.108627087198516
"HA",-0.108895616088667,0.106873400572031,0.0748087730695305,-0.107050044153845,-0.0523644020923877,-0.108627519573921,0.106873400572031,-0.104407748686219,0.108627519573921,0.0479302715012626,-0.108627519573921,-0.108627519573921,0.108372634272307,-0.108627519573921,0,0.108627519573921,-0.103330143500168,0.099643209942849,0.108372634272307,-0.108372634272307
"GRHL2",-0.209160629950211,0.218440723772045,0.0949232724949887,-0.200082335675144,-0.0775249278470193,-0.20889596298947,0.218440723772045,-0.193148755077038,0.20889596298947,0.0664805800200911,-0.20889596298947,-0.20889596298947,0.208768574454438,-0.20889596298947,0,0.20889596298947,-0.215451357001039,0.212096890970554,0.208768574454438,-0.108768574454438
"EXTGFB",-0.144278696968338,-0.102966041206305,-0.228311201518399,-0.247070300150818,0.25695104701834,-0.144058011371751,-0.102966041206305,-0.249086938166193,0.144058011371751,-0.0841475961402412,-0.144058011371751,-0.144058011371751,0.143972321568837,-0.144058011371751,0,0.144058011371751,0.0651210641188746,-0.0383619244903558,0.143972321568837,-0.143972321568837
"ESRP1",-0.108627519573921,0.107084148727984,0.0756306908777497,-0.107339899226309,-0.0527428316098901,-0.108372634272307,0.107084148727984,-0.103880878296335,0.108372634272307,0.0489348377113083,-0.108372634272307,-0.108372634272307,0.108627087198516,-0.108372634272307,0,0.108372634272307,-0.103543060462552,0.0999953226189054,0.208627087198516,-0.108627087198516
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.108895616088667,0.106873400572031,0.0748087730695305,-0.107050044153845,-0.0523644020923877,-0.108627519573921,0.106873400572031,-0.104407748686219,0.108627519573921,0.0479302715012626,-0.108627519573921,-0.108627519573921,0.108372634272307,-0.108627519573921,0,0.108627519573921,-0.103330143500168,0.099643209942849,0.108372634272307,-0.108372634272307
"CD24",-0.108895616088667,0.106873400572031,0.0748087730695305,-0.107050044153845,-0.0523644020923877,-0.108627519573921,0.106873400572031,-0.104407748686219,0.108627519573921,0.0479302715012626,-0.108627519573921,-0.108627519573921,0.108372634272307,-0.108627519573921,0,0.108627519573921,-0.103330143500168,0.099643209942849,0.108372634272307,-0.108372634272307
